#  ITASE Antarctic Ice Core 2000-4
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: 
#
#
# Original_Source_URL: 
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2015
# --------------------
# Title 
#	Study_Name: ITASE Antarctic Ice Core 2000-4
# --------------------
# Investigators
#	Investigators:  Steig, E.J.; Mayewski, P.A.; Dixon, D.A.; Kaspari, S.D.;Frey, M.M.; Schneider, D.P.; Arcone, S.A.; Hamilton, G.S.; Spikes, V.B.; Albert, M.; Meese, D.; Gow, A.J.; Shuman, C.A.; White, J.W.C.; Sneed, S.; Flaherty, J.; Wumkes, M.  
# --------------------
# Description_and_Notes
# 	Description:  Water isotope data from the University of Washington, Eric J. Steig and David P. Schneider
#
# --------------------
# Publication
#	Authors: Eric J. STEIG, Paul A. MAYEWSKI, Daniel A. DIXON, Susan D. KASPARI, Markus M. FREY, David P. SCHNEIDER. Steven A. ARCONE,Gordon S. HAMILTON, V. Blue SPIKES, Mary ALBERT,Deb MEESE,
Anthony J. GOW, Christopher A. SHUMAN, James W.C. WHITE, Sharon SNEED,Joseph FLAHERTY, and Mark WUMKES
#	Published_Date_or_Year: 2005
#	Published_Title: High-resolution ice cores from US ITASE (West Antarctica); development and validation of chronologies and estimate of precision and accuracy.
#	Journal_Name: Annals of Glaciology
#	Volume: 41
#	Edition: 	
#	Issue: 
#	Pages: 77-84
#	DOI:  
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: Shallow ice cores were obtained from widely distributed sites across the West Antarctic ice
sheet, as part of the United States portion of the International Trans-Antarctic Scientific Expedition(US ITASE) program. The US ITASE cores have been dated by annual-layer counting, primarily through
the identification of summer peaks in non-sea-salt sulfate (nssSO42–) concentration. Absolute dating accuracy of better than 2 years and relative dating accuracy better than 1 year is demonstrated by theidentification of multiple volcanic marker horizons in each of the cores, Tambora, Indonesia (1815),being the most prominent. Independent validation is provided by the tracing of isochronal layers from site to site using high-frequency ice-penetrating radar observations, and by the timing of mid-winterwarming events in stable-isotope ratios, which demonstrate significantly better than 1 year accuracy in
the last 20 years. Dating precision to 1 month is demonstrated by the occurrence of summer nitrate peaks and stable-isotope ratios in phase with nssSO4 2–, and winter-time sea-salt peaks out of phase, with
phase variation of <1 month. Dating precision and accuracy are uniform with depth, for at least the last 100 years.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant: 

# --------------------
# Site_Information
#	Site_Name: US ITASE 2002-4
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -86.5
#	Southernmost_Latitude: -86.5 
#	Easternmost_Longitude: -107.990
#	Westernmost_Longitude: -107.990
#	Elevation: 1697 m
# --------------------
# Data_Collection
#	Collection_Name: 00ITAS03
#	Earliest_Year: 1592
#	Most_Recent_Year: 2002
#	Time Unit: AD
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##Midpt_year	Age,,,year AD,,,,,N
##d18O  d18O,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: nan
#
Midpt_year	d18O
2002.9398	-38.8163
2002.8193	-43.2611
2002.6988	-44.4300
2002.5783	-39.6707
2002.4579	-42.1809
2002.3374	-43.5028
2002.2169	-46.9650
2002.0963	-47.3766
2001.9521	-44.7494
2001.7742	-44.6374
2001.5861	-41.4893
2001.3980	-41.5971
2001.2099	-40.4680
2001.0218	-37.7282
2000.8337	nan
2000.6456	-41.5223
2000.4575	-43.0526
2000.2694	-44.0896
2000.0767	-45.8931
1999.8168	-43.9594
1999.4944	-41.4588
1999.1733	-40.6540
1998.8855	nan
1998.6321	-38.9711
1998.3813	-41.2076
1998.1352	-40.6434
1997.9502	-40.0649
1997.8274	-43.4101
1997.7107	-43.9506
1997.5941	-39.7633
1997.4775	-36.8239
1997.3608	-36.2782
1997.2441	-39.1397
1997.1275	-38.2347
1997.0189	-37.7914
1996.9303	-41.0618
1996.8536	-35.7052
1996.7768	-37.3194
1996.7000	-36.9209
1996.6232	-39.9337
1996.5464	-42.2714
1996.4697	-42.4668
1996.3929	-44.0274
1996.3161	-43.2228
1997.0992	-41.8742
1997.8897	-45.3396
1997.8275	-45.1833
1997.7654	-46.1270
1997.7033	-45.8919
1997.6412	-45.3343
1997.5790	-44.8199
1997.5169	-45.1530
1997.4547	-45.1195
1997.3926	-41.2003
1997.3305	-39.0414
1997.2684	-39.3955
1997.2063	-40.5376
1997.1441	-41.3341
1997.0820	-41.3531
1997.0238	-41.7752
1996.9742	-41.4784
1996.9313	-40.7418
1996.8904	-39.4314
1996.8495	-38.1505
1996.8086	-38.2874
1996.7677	-38.4393
1996.7268	-37.9992
1996.6860	-39.9386
1996.6451	-42.6411
1996.6042	-44.2215
1996.5633	-44.8103
1996.5224	-44.7329
1996.4815	-44.6267
1996.4406	-44.2286
1996.3997	-45.8674
1996.3588	-46.7692
1996.3179	-47.2023
1996.2770	-47.2073
1996.2361	-47.0222
1996.1952	-46.4435
1996.1543	-44.9030
1996.1135	-42.8710
1996.0726	-42.4381
1996.0315	-41.8862
1995.9888	-41.7585
1995.9438	-41.2554
1995.8981	-41.7083
1995.8523	-43.2632
1995.8065	-44.6270
1995.7607	-45.3495
1995.7148	-44.6400
1995.6693	-37.9696
1995.6240	-39.6270
1995.5786	-40.7814
1995.5333	-43.1058
1995.4880	-44.3091
1995.4426	-45.2263
1995.3973	-45.4265
1995.3520	-45.1876
1995.3066	-44.5942
1995.2613	-44.5657
1995.2160	-43.9379
1995.1707	-38.5677
1995.1253	-42.4303
1995.0800	-40.2898
1995.0325	-38.8514
1994.9777	-38.8092
1994.9122	-39.0932
1994.8411	-39.3840
1994.7700	-39.5771
1994.6990	-40.4218
1994.6280	-40.4829
1994.5569	-40.8770
1994.4859	-41.8238
1994.4148	-43.1591
1994.3438	-43.9374
1994.2728	-43.5857
1994.2017	-42.5847
1994.1307	-41.4766
1994.0597	-40.2642
1993.9907	-39.6041
1993.9245	-39.8316
1993.8591	-40.4787
1993.7939	-41.3820
1993.7287	-42.3300
1993.6635	-43.2826
1993.5983	-44.1870
1993.5331	-44.3328
1993.4679	-44.0678
1993.4027	-43.6053
1993.3375	-43.1331
1993.2723	-42.3918
1993.2071	-41.1368
1993.1419	-40.1474
1993.0762	-38.7584
1993.0070	-38.4675
1992.9260	-39.2600
1992.8363	-42.0414
1992.7466	-43.6121
1992.6569	-44.9366
1992.5672	-45.7156
1992.4774	-45.8714
1992.3877	-45.6440
1992.2980	-44.9873
1992.2083	-44.0251
1992.1186	-43.5715
1992.0311	-43.0063
1991.9564	-42.6761
1991.8922	-43.3495
