# Clipperton Atoll 1874-1994 Sr/Ca and Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:17380
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/wu2014/wu2014-2b.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2014-11-04
#--------------------
# Title
#	Study_Name: Clipperton Atoll 1874-1994 Sr/Ca and Oxygen Isotope Data
#--------------------
# Investigators
#       Investigators: Wu, Henry C.; Moreau, M�lanie; Linsley, Braddock K.; Schrag, Daniel P.; Corr�ge, Thierry
#--------------------
# Description_and_Notes
#	Description: Monthly data from Porites lobata
#--------------------
# Publication 
#       Authors: Wu, Henry C.; Moreau, M�lanie; Linsley, Braddock K.; Schrag, Daniel P.; Corr�ge, Thierry
#       Published_Date_or_Year: 2014     
#       Published_Title: Investigation of sea surface temperature changes from replicated coral Sr/Ca variations in the eastern equatorial Pacific (Clipperton Atoll)
#       Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#       Volume: 412
#       Edition: 
#       Issue: 
#       Pages: 208-222
#       DOI: 10.1016/j.palaeo.2014.07.039
#       Online_Resource: 
#       Full_Citation: 
#       Abstract: Sub-seasonally resolved and replicated coral Sr/Ca time series at Clipperton Atoll (10�18'N, 109�13'W) in the eastern Pacific are assessed as a sea surface temperature (SST) proxy in this region with small seasonal SST variability. The composite coral Sr/Ca time series is a partially replicated record of three live and one sub- modern colony of Porites lobata extending back to 1874. Large inter-colony coral Sr/Ca offsets equate to relative SST differences of 0.6 to 4.3 �C and limit the ability to reconstruct absolute SST changes. Moreover, the replication method revealed a 12-year section of growth in one colony where mean Sr/Ca was anomalously low (~1 �C higher SST) relative to the other colonies without evidence of diagenesis or other significant skeletal alterations. The presence of this anomalous interval supports the need for multi-coral Sr/Ca replication in specific sites or re- gions. The Clipperton Composite Sr/Ca anomaly record is significantly coherent (r = 0.71�0.76, p b 0.001) with gridded instrumental SSTs but with larger amplitude decadal variance that appears to more accurately represent actual SST variability at Clipperton. The amplitude of the secular warming trend during the last century at Clipperton is 0.3 to 0.6 �C larger (~twice as large) than the trend in the poorly �ground-truthed� instrumental SST records for the region. The interannual and decadal variability in Clipperton coral Sr/Ca demonstrates strong coherence to the Pacific Decadal Oscillation and the El Nin~o/Southern Oscillation (ENSO) with reduced ENSO variability from 1920 to late 1930s and enhanced variability in the late twentieth century.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: National Science Foundation
#       Grant: SGER ATM9409368
#------------------
# Site_Information 
#       Site_Name: Clipperton Atoll
#       Location: Ocean>Pacific Ocean>Eastern Pacific Ocean
#	Country: France  
#	Northernmost_Latitude: 10.3 
# 	Southernmost_Latitude: 10.3 
# 	Easternmost_Longitude: -109.216667 
# 	Westernmost_Longitude: -109.216667 
# 	Elevation: -13.1 m
#------------------
# Data_Collection   
#	Collection_Name: 00epac01b 
#	Earliest_Year: 1934.8750017 
#	Most_Recent_Year: 1993.95833267
#	Time_Unit: Years AD 
#	Core_Length: 1.26 m
#	Notes: Core name - 2B. Prevous name - Clipperton 2B Sr/Ca Wu14
#------------------
# Species
#	Species_Name: Porites lobata
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , ,years AD, , Corals and Sclerosponges, , ,N				
##Sr/Ca		Strontium/Calcium, Porites lobata, ,mmol/mol, ,Corals and Sclerosponges, , ,N 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age_AD	Sr/Ca
1993.958333	9.391988
1993.874999	9.361889
1993.791666	9.319804
1993.708333	9.269892
1993.624999	9.237992
1993.541666	9.218027
1993.458333	9.204031
1993.374999	9.194049
1993.291666	9.195950
1993.208333	9.205960
1993.124999	9.215970
1993.041666	9.225980
1992.958333	9.215047
1992.874999	9.190059
1992.791666	9.188957
1992.708333	9.203949
1992.624999	9.207019
1992.541666	9.202022
1992.458333	9.185122
1992.374999	9.160134
1992.291666	9.172313
1992.208333	9.198030
1992.124999	9.190522
1992.041666	9.245882
1991.958333	9.252056
1991.874999	9.222071
1991.791666	9.192086
1991.708333	9.162101
1991.624999	9.155961
1991.541666	9.165956
1991.458333	9.158097
1991.374999	9.138107
1991.291666	9.201334
1991.208333	9.244056
1991.124999	9.257832
1991.041666	9.266037
1990.958333	9.253705
1990.874999	9.187038
1990.791666	9.163963
1990.708333	9.171889
1990.624999	9.191889
1990.541666	9.196037
1990.458333	9.186223
1990.374999	9.146223
1990.291666	9.169628
1990.208333	9.186295
1990.124999	9.282962
1990.041666	9.290186
1989.958333	9.256852
1989.875	9.236760
1989.791666	9.220093
1989.708333	9.236574
1989.625	9.245679
1989.541666	9.223457
1989.458333	9.203426
1989.375	9.186760
1989.291666	9.219628
1989.208333	9.328741
1989.125	9.347554
1989.041666	9.368111
1988.958333	9.348111
1988.875	9.328111
1988.791666	9.300186
1988.708333	9.265593
1988.625	9.218927
1988.541666	9.207926
1988.458333	9.215593
1988.375	9.168927
1988.291666	9.173777
1988.208333	9.246223
1988.125	9.224592
1988.041666	9.219432
1987.958333	9.201655
1987.875	9.191531
1987.791666	9.195975
1987.708333	9.198321
1987.625	9.180544
1987.541666	9.162766
1987.458333	9.148741
1987.375	9.135408
1987.291666	9.189502
1987.208333	9.249801
1987.125	9.284926
1987.041666	9.295025
1986.958333	9.258599
1986.875	9.225946
1986.791666	9.248436
1986.708333	9.250000
1986.625	9.241058
1986.541666	9.222132
1986.458333	9.192145
1986.375	9.183040
1986.291666	9.199814
1986.208333	9.300000
1986.125	9.336481
1986.041666	9.298016
1985.958333	9.242112
1985.875	9.232690
1985.791666	9.235694
1985.708333	9.210000
1985.625	9.210000
1985.541666	9.202327
1985.458333	9.180746
1985.375	9.181820
1985.291666	9.237361
1985.208333	9.281860
1985.125	9.313761
1985.041666	9.320753
1984.958333	9.288389
1984.875	9.220892
1984.791666	9.259782
1984.708333	9.258531
1984.625	9.250000
1984.541666	9.235807
1984.458333	9.150257
1984.375	9.126309
1984.291666	9.186940
1984.208333	9.239851
1984.125	9.232612
1984.041666	9.229901
1983.958333	9.236542
1983.875	9.214053
1983.791666	9.191564
1983.708333	9.176050
1983.625	9.161058
1983.541666	9.147050
1983.458333	9.135805
1983.375	9.124561
1983.291666	9.159628
1983.208333	9.227410
1983.125	9.289442
1983.041666	9.248112
1982.958333	9.228112
1982.875	9.208112
1982.791666	9.198019
1982.708333	9.194685
1982.625	9.191352
1982.541666	9.199907
1982.458333	9.216574
1982.375	9.233240
1982.291666	9.263801
1982.208333	9.274040
1982.125	9.281940
1982.041666	9.295980
1981.958333	9.277570
1981.875	9.240089
1981.791666	9.227536
1981.708333	9.222479
1981.625	9.228726
1981.541667	9.220055
1981.458333	9.205122
1981.375	9.180134
1981.291667	9.199751
1981.208333	9.289602
1981.125	9.340000
1981.041667	9.364876
1980.958333	9.349628
1980.875	9.294054
1980.791667	9.271564
1980.708333	9.276975
1980.625	9.266588
1980.541667	9.246066
1980.458333	9.231073
1980.375	9.202161
1980.291667	9.237554
1980.208333	9.315036
1980.125	9.345408
1980.041667	9.340000
1979.958333	9.327482
1979.875	9.303877
1979.791667	9.284149
1979.708333	9.263357
1979.625	9.298913
1979.541667	9.248298
1979.458333	9.247506
1979.375	9.256395
1979.291667	9.236199
1979.208333	9.249801
1979.125	9.311791
1979.041667	9.363921
1978.958333	9.353833
1978.875	9.322042
1978.791667	9.296376
1978.708333	9.264411
1978.625	9.290000
1978.541667	9.290000
1978.458333	9.228339
1978.375	9.184188
1978.291667	9.219089
1978.208333	9.285910
1978.125	9.308433
1978.041667	9.337941
1977.958333	9.344767
1977.875	9.332042
1977.791667	9.311825
1977.708333	9.287060
1977.625	9.268918
1977.541667	9.225192
