# Caribbean Sclerosponge Oxygen Isotope and Sr/Ca Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1878
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/caribbean/pedro_bank_2003.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2003-10
#--------------------
# Title
#	Study_Name: Caribbean Sclerosponge Oxygen Isotope and Sr/Ca Data
#--------------------
# Investigators
#       Investigators: Haase-Schramm, A.; Böhm, F.; Eisenhauer, A.; Dullo, W.C.; Joachimski, M.M.; Hansen, B.; Reitner, J.
#--------------------
# Description_and_Notes
#	Description: Sr/Ca and oxygen isotope values (VPDB) were measured on aragonitic skeletons  of sclerosponges Ceratoporella nicholsoni. Sr/Ca values were measured with  ICP-AES with external reproducibility of 0.6% (2sem). External precision for  d18O is 0.07 permil (2sd). Age model is based on U/Th dating with average  error of 3%.  sample Pb19: Pedro Bank, 17�32�N, 78�57�W ; 125 mbsl
#--------------------
# Publication 
#       Authors: Haase-Schramm, A.; Böhm, F.; Eisenhauer, A.; Dullo, W.C.; Joachimski, M.M.; Hansen, B.; Reitner, J.
#       Published_Date_or_Year: 2003     
#       Published_Title: Sr/Ca ratios and oxygen isotopes from sclerosponges:  Temperature history of the Caribbean mixed layer and  thermocline during the Little Ice Age
#       Journal_Name: Paleoceanography
#       Volume: 18
#       Edition: 3
#       Issue: 
#       Pages: 1073
#       DOI: 10.1029/2002PA000830
#       Online_Resource: 
#       Full_Citation: Haase-Schramm, A., F. B�hm, A. Eisenhauer,  W.-C. Dullo, M.M. Joachimski, B. Hansen, and J. Reitner, 2003,  Sr/Ca ratios and oxygen isotopes from sclerosponges:  Temperature history of the Caribbean mixed layer and  thermocline during the Little Ice Age, Paleoceanography, Vol. 18, No. 3, 1073, doi:10.1029/2002PA000830.
#       Abstract: We investigate aragonitic skeletons of the Caribbean sclerosponge  Ceratoporella nicholsoni from Jamaica, 20 m below sea level (mbsl),  and Pedro Bank, 125 mbsl. We use d18O and Sr/Ca ratios as temperature  proxies to reconstruct the Caribbean mixed layer and thermocline  temperature history since 1400 A.D. with a decadal time resolution.  Our age models are based on U/Th dating and locating of the radiocarbon  bomb spike. The modern temperature difference between the two sites  is used to tentatively calibrate the C. nicholsoni Sr/Ca thermometer.  The resulting calibration points to a temperature sensitivity of  Sr/Ca in C. nicholsoni aragonite of about -0.1 mmol/mol/K. Our Sr/Ca  records reveal a pronounced warming from the early 19th to the  late 20th century, both at 20 and 125 mbsl. Two temperature minima  in the shallow water record during the late 17th and early 19th century  correspond to the Maunder and Dalton sunspot minima, respectively.  Another major cooling occurred in the late 16th century and is not  correlatable with a sunspot minimum. The temperature contrast between  the two sites decreased from the 14th century to a minimum in the  late 17th century and subsequently increased to modern values  in the early 19th century. This is interpreted as a long-term deepening  and subsequent shoaling of the Caribbean thermocline. The major trends  of the Sr/Ca records are reproduced in both specimens but hardly  reflected in the d18O records.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Pedro Bank, Jamaica
#       Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Caribbean Sea>Jamaica
#	Country: Jamaica 
#	Northernmost_Latitude: 17.53 
# 	Southernmost_Latitude: 17.53 
# 	Easternmost_Longitude: -77.97 
# 	Westernmost_Longitude: -77.97 
# 	Elevation: -125 m  
#------------------
# Data_Collection   
#	Collection_Name: 03jama01b
#	Earliest_Year: 1389
#	Most_Recent_Year: 1992
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: {"database":"LMR_FM"} Core name- Sclerosponge Pb19
#------------------
# Species
#	Species_Name: Ceratoporella nicholsoni
#	Common_Name: 
#------------------
# Chronology: Age model is based on U/Th dating with average error of 3%. Our age models are based on U/Th dating and locating of the radiocarbon bomb spike.
# 
#
# 
#
# 
#
#
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, ,Corals and Sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium,Ceratoporella nicholsoni, ,mmol/mol, ,Corals and Sclerosponges, , ,N 
##err	error value per sample, , ,2 sig, ,Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	Sr/Ca	err
1384	9.786	0.08
1389	9.858	0.079
1393	9.92	0.095
1398	9.913	0.011
1405	9.88	0.049
1413	9.926	0.033
1419	9.833	0.092
1427	9.967	0.031
1431	9.837	0.039
1441	9.88	0.03
1448	9.911	0.041
1454	9.83	0.033
1460	9.85	0.052
1463	9.671	0.118
1471	9.902	0.009
1476	9.793	0.017
1482	9.853	0.041
1489	9.745	0.127
1493	9.772	0.151
1497	9.88	0.076
1504	9.907	0.063
1509	9.858	0.022
1516	9.7	0.081
1522	9.713	0.07
1528	9.813	0.045
1534	9.821	0.066
1540	9.734	0.099
1545	9.768	0.035
1550	9.96	0.011
1554	10.014	0.013
1559	9.856	0.167
1564	9.819	0.129
1568	9.829	0.051
1574	9.894	0.018
1579	9.944	0.035
1585	9.931	0.011
1590	9.921	0.026
1596	9.724	0.104
1601	9.847	0.095
1607	9.896	0.031
1612	9.87	0.048
1617	9.859	0.019
1623	9.804	0.034
1629	9.861	0.029
1635	9.919	0.049
1640	9.896	0.051
1645	9.921	0.032
1650	9.945	0.086
1655	9.823	0.022
1661	9.872	0.038
1665	9.907	0.014
1670	9.923	0.045
1676	9.817	0.112
1682	9.835	0.053
1687	9.785	0.116
1693	9.817	0.044
1698	9.87	0.02
1703	9.627	0.026
1709	9.874	0.125
1715	9.726	0.086
1721	9.833	0.098
1726	9.77	0.029
1731	9.909	0.038
1736	9.973	0.031
1736	9.748	0.04
1741	9.757	0.095
1747	9.836	0.104
1747	9.874	0.089
1752	9.898	0.07
1752	9.867	0.008
1758	9.883	0.033
1758	9.73	0.043
1763	9.806	0.019
1769	9.865	0.079
1774	9.8	0.006
1780	9.87	0.027
1785	9.868	0.065
1791	9.969	0.04
1797	10.017	0.023
1802	9.842	0.032
1808	9.923	0.067
1813	10.148	0.084
1818	9.966	0.011
1823	9.91	0.037
1828	9.944	0.014
1833	10.131	0
1837	9.891	0.062
1843	9.919	0.028
1849	9.932	0
1854	9.898	0.125
1859	9.861	0.082
1865	9.93	0.065
1870	10.097	0.03
1881	9.96	0.066
1885	9.916	0.052
1890	9.742	0.021
1895	9.822	0.028
1897	9.845	0.024
1905	9.66	0.02
1909	9.719	0.066
1911	9.947	0.04
1913	10.062	0.037
1921	9.8	0.03
1927	9.734	0.081
1930	9.654	0.074
1943	9.834	0.029
1945	9.657	0.006
1948	9.897	0.045
1952	9.697	0.037
1957	9.387	0.068
1963	9.565	0.048
1971	9.731	0.051
1974	9.517	0.062
1979	9.714	0.051
1982	9.534	0.028
1987	9.611	0.016
1992	9.479	0.056
