# South China Sea Coral Strontium Data and SST Reconstruction
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1894
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/xisha2004.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2004-11
#--------------------
# Title
#	Study_Name: South China Sea Coral Strontium Data and SST Reconstruction
#--------------------
# Investigators
#       Investigators: Sun, Y.; Sun, M.; Wei, G.; Lee, T.; Nie, B.; Yu, Z.
#--------------------
# Description_and_Notes
#	Description: Strontium contents of a Porites coral collected from the Xisha Island,  South China Sea: A proxy for sea surface temperature of the twentieth century   This dataset contains Sr concentration and calculated Sr-SST data in the  period of 1906 to 1994 for a coral collected from Xisha Island of the  South China Sea. The coral Sr data were determined by isotope dilution-thermal  ionization mass spectrometry method and they were converted to Sr-SST data  by using the coral Sr thermometer described in details in the paper.  Xisha Island is located in the northern part of the South China Sea, 16�51'N, 112�20'E
#--------------------
# Publication 
#       Authors: Sun, Y.; Sun, M.; Wei, G.; Lee, T.; Nie, B.; Yu, Z.
#       Published_Date_or_Year: 2004
#       Published_Title: Strontium contents of a Porites coral from Xisha Island, South China Sea: a proxy for sea-surface temperature of the 20th century.
#       Journal_Name: Paleoceanography
#       Volume: 19
#       Edition: 
#       Issue: PA2004
#       Pages: 
#       DOI: 10.1029/2003PA000959
#       Online_Resource: 
#       Full_Citation: Sun, Y., M. Sun, G. Wei, T. Lee, B. Nie, and Z. Yu. 2004. Strontium contents of a  Porites coral from Xisha Island, South China Sea:  a proxy for  sea-surface temperature of the 20th century.   Paleoceanography 19: PA2004 doi:10.1029/2003PA000959
#       Abstract: A Porites coral collected from Xisha Island, South China Sea, represents a  skeleton secreted in the period from 1906 to 1994. The Sr contents of the  coral vary linearly with the instrument-measured sea-surface temperature (SST),  giving a Sr thermometer: SST = -1.9658 � Sr + 193.26. The reconstructed SST  data show that the late 20th century was warmer (about 1�C) than the early  20th century and that two cooling (1915/1916 and 1947/1948) and three warming  (1935/1936, 1960/1961, and 1976/1977) shifts occurred in the century.  The temperature shifts are more pronounced for winters, implying a close  effect of the west Pacific warm pool and Asian monsoon and suggesting that  the former is a primary force controlling the climatic system of the region.  Results of this study and previously published data indicate a close link  of temperature shifts between the boreal summer and the austral winter  or the boreal winter and the austral summer. The annual SST anomalies  in the South China Sea and the South Pacific reveal the existence of  harmonic but opposite SST variations between the two regions. On the  decadal scale the comparative annual SST anomalies for the South China Sea  and for the equatorial west Pacific show a similarity in temperature  variations, implying that the South China Sea climate is coherent with  climatic regime of the tropical west Pacific. 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Sansha Island, Xisha Islands, South China Sea
#       Location: Ocean>Pacific Ocean>Western Pacific Ocean>South China Sea
#	Country: China 
#	Northernmost_Latitude: 16.85 
# 	Southernmost_Latitude: 16.85 
# 	Easternmost_Longitude: 112.33 
# 	Westernmost_Longitude: 112.33 
# 	Elevation:   
#------------------
# Data_Collection   
#	Collection_Name: 04schi01a 
#	Earliest_Year: 1906
#	Most_Recent_Year: 1994 
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: {"database":"LMR_FM"}
#------------------
# Species
#	Species_Name: Porites sp. 
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Corals and Sclerosponges, , ,N
##Sr	Strontium content of coral, Porites sp., ,mol/g, ,Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	Sr
1906.00	87.9
1906.09	87.4
1906.17	87.2
1906.25	86.6
1906.34	84.9
1906.42	84.6
1906.50	85
1906.59	84.5
1906.67	85.6
1906.75	85
1906.84	86.5
1906.92	86.5
1907.00	86.9
1907.09	86.2
1907.17	85.8
1907.25	84.7
1907.34	84.3
1907.42	83.6
1907.50	84.2
1907.59	85
1907.67	85.8
1907.75	86.3
1907.84	86.8
1907.92	87
1908.00	87.1
1908.09	87
1908.17	87
1908.25	85.6
1908.34	84.4
1908.42	83.7
1908.50	84.6
1908.59	84.6
1908.67	84.8
1908.75	85.4
1908.84	85.9
1908.92	87
1909.00	87.3
1909.09	86.9
1909.17	85.9
1909.25	85
1909.34	84.2
1909.42	83.5
1909.50	84
1909.59	84.4
1909.67	84.9
1909.75	86.2
1909.84	85.3
1909.92	86
1910.00	86.6
1910.09	86
1910.17	86
1910.25	85.2
1910.34	85.1
1910.42	84
1910.50	84.1
1910.59	84.3
1910.67	85
1910.75	85.6
1910.84	86.2
1910.92	86.8
1911.00	87.5
1911.09	86.9
1911.17	86.7
1911.25	85.7
1911.34	84.7
1911.42	83.3
1911.50	84.4
1911.59	84
1911.67	84.8
1911.75	85.5
1911.84	85.6
1911.92	86.6
1912.00	87.4
1912.09	86.3
1912.17	85.6
1912.25	85
1912.34	84.6
1912.42	84.1
1912.50	84.4
1912.59	84.9
1912.67	84.3
1912.75	85.4
1912.84	85.9
1912.92	86.1
1913.00	87.1
1913.09	86.2
1913.17	85.4
1913.25	84.8
1913.34	84.3
1913.42	83.3
1913.50	84.1
1913.59	85.2
1913.67	85.1
1913.75	85
1913.84	86.2
1913.92	87.2
1914.00	87.3
1914.09	87.3
1914.17	87.4
1914.25	85.1
1914.34	83.7
1914.42	82.9
1914.50	83.5
1914.59	84.2
1914.67	84.9
1914.75	85.4
1914.84	85.7
1914.92	85.7
1915.00	86.8
1915.09	86.5
1915.17	86.6
1915.25	85.1
1915.34	83.8
1915.42	82.8
1915.50	83.6
1915.59	82.9
1915.67	84.3
1915.75	84.9
1915.84	85.1
1915.92	85.4
1916.00	86.6
1916.09	86.4
1916.17	85.8
1916.25	84.7
1916.34	84.5
1916.42	84.1
1916.50	84.8
1916.59	85.6
1916.67	86.4
1916.75	86.1
1916.84	86.8
1916.92	87.5
1917.00	88.3
1917.09	87.2
1917.17	86
1917.25	85
1917.34	84.5
1917.42	83.7
1917.50	84.1
1917.59	84.8
1917.67	85.4
1917.75	86.3
1917.84	85.3
1917.92	86
1918.00	86.7
1918.09	86.4
1918.17	86
1918.25	85.5
1918.34	85
1918.42	84.3
1918.50	84.4
1918.59	84.7
1918.67	84.7
1918.75	84.9
1918.84	86.3
1918.92	87.3
1919.00	87.5
1919.09	86.6
1919.17	85.7
1919.25	84.8
1919.34	84.3
1919.42	84.2
1919.50	84.7
1919.59	85.3
1919.67	85.4
1919.75	85.9
1919.84	85.9
1919.92	86.5
1920.00	87.1
1920.09	86.4
1920.17	85.7
1920.25	85.1
1920.34	84.7
1920.42	84.3
1920.50	85.6
1920.59	85.3
1920.67	84.6
1920.75	84.8
1920.84	86.5
1920.92	86.9
1921.00	87.2
1921.09	86.6
1921.17	86
1921.25	85.2
1921.34	84.7
1921.42	84.3
1921.50	85
1921.59	85.5
1921.67	85.8
1921.75	85.5
1921.84	85.5
1921.92	86.5
1922.00	87.5
1922.09	87.4
1922.17	85.3
1922.25	84.9
1922.34	84.2
1922.42	83.9
1922.50	84
1922.59	84.5
1922.67	85
1922.75	85.4
1922.84	86
1922.92	86.6
1923.00	86.8
1923.09	86
1923.17	85.2
1923.25	84.5
1923.34	83.8
1923.42	83.2
1923.50	84.3
1923.59	83.6
1923.67	84
1923.75	84.7
1923.84	85.6
1923.92	86.5
1924.00	87.1
1924.09	85.8
1924.17	85.2
1924.25	84.7
1924.34	84.4
1924.42	84.3
1924.50	84.5
1924.59	84.9
1924.67	84.7
1924.75	84.5
1924.84	85.2
1924.92	86
1925.00	87
1925.09	86.6
1925.17	86.1
1925.25	85.5
1925.34	85
1925.42	84.2
1925.50	84.6
1925.59	84.9
1925.67	85.5
1925.75	84.9
1925.84	86
1925.92	87
1926.00	87.6
1926.09	85.6
1926.17	85.7
1926.25	85.1
1926.34	84
1926.42	83.7
1926.50	84.4
1926.59	85
1926.67	85.6
1926.75	86.2
1926.84	87.2
1926.92	86.8
1927.00	87.6
1927.09	86.9
1927.17	85.9
1927.25	84.6
1927.34	84.9
1927.42	84.6
1927.50	84.8
1927.59	85.4
1927.67	84.8
1927.75	85.8
1927.84	86.4
1927.92	86.7
1928.00	87.1
1928.09	85.1
1928.17	84.5
1928.25	84.5
1928.34	84.3
1928.42	84
1928.50	84.6
1928.59	85.1
1928.67	85.5
1928.75	85.9
1928.84	85.9
1928.92	86.3
1929.00	86.7
1929.09	86.3
1929.17	86.4
1929.25	85.9
1929.34	85.6
1929.42	84.1
1929.50	84.7
1929.59	84.8
1929.67	85.9
1929.75	86.4
1929.84	85.9
1929.92	87.2
1930.00	87.4
1930.09	86.8
1930.17	85.8
1930.25	85.4
1930.34	84.4
1930.42	84.4
1930.50	84.3
1930.59	84.9
1930.67	85.6
1930.75	86
1930.84	86.4
1930.92	86.8
1931.00	87.3
1931.09	86.6
1931.17	87.3
1931.25	86.4
1931.34	85.7
1931.42	84.4
1931.50	84.7
1931.59	85.1
1931.67	85
1931.75	85.1
1931.84	85.5
1931.92	86
1932.00	86.6
1932.09	86.2
1932.17	85.7
1932.25	85.1
1932.34	84.9
1932.42	84.6
1932.50	85.6
1932.59	84.9
1932.67	84.9
1932.75	85.2
1932.84	86.6
1932.92	86.3
1933.00	86.7
1933.09	86.6
1933.17	86.7
1933.25	86.4
1933.34	85.2
1933.42	84.5
1933.50	84.7
1933.59	85.6
1933.67	86.1
1933.75	86.8
1933.84	86.6
1933.92	86.7
1934.00	86.8
1934.09	86.5
1934.17	86
1934.25	85.5
1934.34	84.5
1934.42	84
1934.50	84.8
1934.59	85.3
1934.67	84.1
1934.75	86
1934.84	87
1934.92	87.1
1935.00	87.7
1935.09	87.4
1935.17	86.4
1935.25	85.7
1935.34	85
1935.42	84.3
1935.50	84.3
1935.59	84.6
1935.67	85
1935.75	85.4
1935.84	85.8
1935.92	86
1936.00	86.1
1936.09	85.8
1936.17	85.2
1936.25	84.3
1936.34	84.1
1936.42	83.7
1936.50	84
1936.59	84.4
1936.67	84.2
1936.75	84.2
1936.84	84.2
1936.92	85.2
1937.00	86.3
1937.09	85.9
1937.17	85.5
1937.25	84.9
1937.34	84
1937.42	83.6
1937.50	84.5
1937.59	84.2
1937.67	84.5
1937.75	85
1937.84	85.4
1937.92	85.9
1938.00	86.3
1938.09	85.8
1938.17	85.2
1938.25	84.7
1938.34	84.5
1938.42	83.6
1938.50	84
1938.59	84.4
1938.67	84.9
1938.75	85.3
1938.84	86.3
1938.92	85.6
1939.00	86.9
1939.09	85.5
1939.17	84.9
1939.25	84.4
1939.34	84.6
1939.42	83.7
1939.50	83.7
1939.59	84.4
1939.67	84.6
1939.75	83.8
1939.84	85
1939.92	86.1
1940.00	86.2
1940.09	85.5
1940.17	84.8
1940.25	84
1940.34	83.7
1940.42	83
1940.50	83.4
1940.59	83.3
1940.67	83.9
1940.75	83.7
1940.84	84.2
1940.92	85.6
1941.00	86.1
1941.09	85.2
1941.17	85.5
1941.25	85
1941.34	84.1
1941.42	83
1941.50	83.7
1941.59	83.9
1941.67	84.5
1941.75	85.5
1941.84	85.6
1941.92	85.5
1942.00	85.9
1942.09	85.3
1942.17	84.2
1942.25	84.3
1942.34	84.4
1942.42	84.1
1942.50	84.7
1942.59	84.3
1942.67	84.5
1942.75	85.2
1942.84	86
1942.92	86.2
1943.00	86.7
1943.09	85.8
1943.17	84.6
1943.25	85.1
1943.34	84.6
1943.42	84.3
1943.50	84.8
1943.59	85.8
1943.67	86.7
1943.75	86.4
1943.84	87.2
1943.92	86
1944.00	87.5
1944.09	86.7
1944.17	86.1
