# Svalbard Annual d18O Data (d18O Austfonna)
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource:
#
# Original_Source_URL: 
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2012
# --------------------
# Title 
#	Study_Name: Svalbard Annual d18O Data (d18O Austfonna)
# --------------------
# Investigators
#	Investigators: Isaksson, E.; Divine, D.; Kohler, J.; Martma, T.; Pohjola, V.; Motoyama, H.; Watanabe, O. 
# --------------------
# Description_and_Notes
#	Description: 
#
# --------------------
# Publication
#	Authors: Elisabeth Isaksson, Dmitry Divine, Jack Kohler, Tonu Martma, Veijo Pohjola, Hideaki Motoyama, Okitsugu Watanabe
#	Published_Date_or_Year: 2005-07-22
#	Published_Title: Climate oscillations as recorded in Svalbard ice core d18O records between 1200-1997 AD
#	Journal_Name: Geografiska Annaler
#	Volume: 87
#	Edition: 	
#	Issue: 1
#	Pages: 
#	DOI: 
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: We apply two different time series analytical tools to d18O records from two Svalbard icecores. One ice core is from Lomonosovfonna at 1250 m a.s.l. and the other from Austfonna at 750 m a.s.l. These cores are estimated to cover at least the past 800 years and have been dated using a combination of known reference horizons and glacial modelling. Wavelet analysis reveals low frequency oscillations on the 60–120-year scale on the lower
elevation site Austfonna while the higher altitude site on Lomonosovfonna does not reveal such variability throughout the record. The second method, Significant Zero Crossing of Derivates (SiZer) does not resolve the low-frequency periodicity seen in the wavelet analysis. The low-frequency variability
resolved by the wavelet analysis is similar to what has been found in various climate records including instrumental temperatures and tree-rings, and hasbeen proposed as the most important oscillation for the observed trends in Arctic air temperatures.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant: 
# --------------------
# Site_Information
#	Site_Name: Austfonna
#	Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Svalbard And Jan Mayen
#	Country:  
#	Northernmost_Latitude: 79.830
#	Southernmost_Latitude: 79.830	 
#	Easternmost_Longitude: 24.270
#	Westernmost_Longitude: 24.270
#	Elevation: 750 m
# --------------------
# Data_Collection
#	Collection_Name: 05Sval02
#	Earliest_Year: 1400
#	Most_Recent_Year: 1997
#	Time_Unit: y_ad
#	Notes: {"database":"LMR_FM"}{"database":"PAGES1"}
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age,,,years AD,,,,,N
##d18O	delta 18 oxygen,,,permil SMOW,,Ice Cores,,,N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	d18O
1997	-18.0652
1996	-15.1718
1995	-15.0128
1994	-17.2023
1993	-16.0754
1992	-16.144
1991	-15.808
1990	-16.5345
1989	-15.6436
1988	-15.8198
1987	-15.1793
1986	-15.2112
1985	-16.0376
1984	-16.1097
1983	-15.7731
1982	-16.3866
1981	-15.7999
1980	-14.5506
1979	-15.1729
1978	-15.9216
1977	-16.2051
1976	-15.5317
1975	-15.9686
1974	-16.0747
1973	-15.4876
1972	-15.5942
1971	-14.6975
1970	-15.9259
1969	-15.3114
1968	-16.1278
1967	-16.2707
1966	-17.728
1965	-17.0006
1964	-17.8423
1963	-15.9632
1962	-16.7671
1961	-16.7647
1960	-15.8767
1959	-15.6326
1958	-16.729
1957	-15.7927
1956	-15.5096
1955	-16.2906
1954	-15.68
1953	-16.8123
1952	-14.6394
1951	-15.4525
1950	-14.8839
1949	-14.7615
1948	-17.1396
1947	-15.9191
1946	-15.7532
1945	-16.3671
1944	-16.5498
1943	-16.6608
1942	-15.7802
1941	-16.1053
1940	-15.388
1939	-15.5204
1938	-15.6325
1937	-15.4503
1936	-14.8365
1935	-15.4871
1934	-15.8377
1933	-15.9931
1932	-14.6437
1931	-14.4797
1930	-15.3968
1929	-14.6762
1928	-15.4795
1927	-15.2673
1926	-15.4366
1925	-15.4905
1924	-14.8203
1923	-14.1925
1922	-15.5465
1921	-15.9941
1920	-16.8746
1919	-16.9352
1918	-17.5476
1917	-15.5482
1916	-16.2917
1915	-16.644
1914	-16.0298
1913	-15.8485
1912	-15.9951
1911	-16.9658
1910	-15.3172
1909	-15.781
1908	-15.5519
1907	-15.4817
1906	-15.5389
1905	-15.8945
1904	-15.8673
1903	-15.5601
1902	-15.4775
1901	-15.983
1900	-16.2991
1899	-16.3032
1898	-16.5378
1897	-15.7087
1896	-16.0383
1895	-15.7139
1894	-15.8644
1893	-16.1276
1892	-16.0033
1891	-16.4543
1890	-16.8788
1889	-16.5252
1888	-16.8768
1887	-16.6286
1886	-17.1108
1885	-16.7824
1884	-16.2474
1883	-15.7145
1882	-16.8792
1881	-16.9585
1880	-17.5674
1879	-17.6943
1878	-17.6679
1877	-18.006
1876	-17.1558
1875	-16.2695
1874	-15.8915
1873	-16.269
1872	-16.4351
1871	-17.5866
1870	-16.9977
1869	-18.0744
1868	-17.0905
1867	-16.0355
1866	-16.2015
1865	-15.7565
1864	-15.5617
1863	-16.0599
1862	-17.7512
1861	-15.8043
1860	-15.6064
1859	-15.6051
1858	-16.9688
1857	-17.6562
1856	-15.9561
1855	-16.0037
1854	-18.5352
1853	-17.9678
1852	-17.8643
1851	-18.0395
1850	-16.4604
1849	-19.0741
1848	-17.1482
1847	-16.2559
1846	-17.0269
1845	-16.1587
1844	-15.9951
1843	-15.7534
1842	-16.2063
1841	-15.6757
1840	-16.4213
1839	-16.9912
1838	-17.0966
1837	-16.445
1836	-16.2961
1835	-15.6526
1834	-15.581
1833	-15.8989
1832	-15.6917
1831	-16.2144
1830	-16.8564
1829	-16.1915
1828	-16.3724
1827	-17.0513
1826	-17.2674
1825	-16.2025
1824	-18.7209
1823	-17.3595
1822	-17.365
1821	-16.0346
1820	-17.7095
1819	-16.6833
1818	-16.2585
1817	-15.4057
1816	-16.248
1815	-16.6061
1814	-16.7924
1813	-16.1147
1812	-16.6283
1811	-16.0145
1810	-16.2425
1809	-16.2237
1808	-16.3039
1807	-16.4526
1806	-16.3575
1805	-17.0198
1804	-16.6041
1803	-17.4298
1802	-16.5649
1801	-16.4044
1800	-16.3443
1799	-16.625
1798	-16.9731
1797	-17.1677
1796	-16.7196
1795	-16.5529
1794	-16.0714
1793	-16.732
1792	-16.2758
1791	-16.6691
1790	-16.7149
1789	-16.9338
1788	-16.4859
1787	-17.4786
1786	-17.1804
1785	-17.7587
1784	-17.4148
1783	-16.6681
1782	-15.9496
1781	-16.5854
1780	-16.0422
1779	-16.6989
1778	-17.4002
1777	-17.1091
1776	-16.7447
1775	-16.223
1774	-16.3367
1773	-16.1499
1772	-16.8384
1771	-16.1672
1770	-15.9018
1769	-16.3602
1768	-17.1426
1767	-16.7173
1766	-17.9478
1765	-16.1483
1764	-15.2522
1763	-15.2354
1762	-15.7718
1761	-16.4044
1760	-16.3301
1759	-16.8495
1758	-16.7686
1757	-16.0237
1756	-15.028
1755	-14.9194
1754	-16.157
1753	-16.5823
1752	-17.0675
1751	-15.915
1750	-16.0703
1749	-16.5954
1748	-16.7738
1747	-16.7635
1746	-16.3608
1745	-17.2149
1744	-16.2787
1743	-15.9571
1742	-15.8889
1741	-15.149
1740	-15.9698
1739	-16.3453
1738	-16.1246
1737	-16.3093
1736	-16.7558
1735	-16.0929
1734	-15.9226
1733	-15.3819
1732	-16.0149
1731	-15.952
1730	-16.1655
1729	-16.813
1728	-15.7162
1727	-16.4025
1726	-17.2796
1725	-16.8149
1724	-17.3568
1723	-15.2083
1722	-14.364
1721	-15.4366
1720	-14.0952
1719	-16.0677
1718	-16.1411
1717	-15.8279
1716	-16.2894
1715	-15.5437
1714	-16.8784
1713	-16.8277
1712	-16.7774
1711	-16.516
1710	-16.596
1709	-16.2944
1708	-16.4423
1707	-15.9529
1706	-15.5986
1705	-16.2511
1704	-16.0721
1703	-15.5746
1702	-15.7619
1701	-17.2842
1700	-16.3809
1699	-16.1055
1698	-16.0843
1697	-16.0292
1696	-16.6043
1695	-16.0047
1694	-16.9252
1693	-16.5372
1692	-15.6265
1691	-15.387
1690	-16.0063
1689	-15.409
1688	-15.6326
1687	-16.0224
1686	-16.5191
1685	-15.6049
1684	-16.3374
1683	-16.2484
1682	-16.1758
1681	-15.7815
1680	-16.4055
1679	-16.1557
1678	-16.6581
1677	-16.6336
1676	-17.3382
1675	-16.5809
1674	-16.203
1673	-15.7822
1672	-16.2037
1671	-15.8239
1670	-16.7282
1669	-17.5661
1668	-16.3663
1667	-17.24
1666	-16.0869
1665	-16.1043
1664	-15.8164
1663	-15.8581
1662	-16.2095
1661	-15.4319
1660	-15.616
1659	-15.8799
1658	-15.9965
1657	-16.9193
1656	-16.3961
1655	-16.1704
1654	-15.9567
1653	-16.8346
1652	-16.7521
1651	-16.6257
1650	-15.0955
1649	-15.2503
1648	-15.2429
1647	-15.6985
1646	-16.5662
1645	-15.311
1644	-15.6078
1643	-16.3265
1642	-15.7057
1641	-16.1095
1640	-17.2421
1639	-16.9981
1638	-16.0913
1637	-16.6773
1636	-17.4975
1635	-17.7902
1634	-16.5388
1633	-17.205
1632	-16.3318
1631	-16.9418
1630	-16.7681
1629	-16.2987
1628	-15.5435
1627	-15.8539
1626	-16.0137
1625	-15.4037
1624	-16.1394
1623	-15.8185
1622	-15.9114
1621	-15.3318
1620	-15.3487
1619	-15.7437
1618	-15.656
1617	-15.7202
1616	-15.929
1615	-15.3992
1614	-16.6805
1613	-16.5676
1612	-16.6713
1611	-16.462
1610	-15.4887
1609	-16.0916
1608	-16.4823
1607	-16.2601
1606	-16.5465
1605	-16.8345
1604	-16.1043
1603	-16.8021
1602	-16.2428
1601	-16.9863
1600	-17.1299
1599	-16.5778
1598	-15.9053
1597	-16.1905
1596	-17.3755
1595	-15.8952
1594	-15.7627
1593	-16.2464
1592	-15.9591
1591	-16.559
1590	-16.7087
1589	-16.0033
1588	-16.5163
1587	-16.2108
1586	-15.849
1585	-16.2134
1584	-15.8688
1583	-15.8622
1582	-16.799
1581	-16.0667
1580	-16.1398
1579	-15.4181
1578	-15.7262
1577	-15.0294
1576	-16.0083
1575	-16.0058
1574	-15.9342
1573	-16.6686
1572	-16.7889
1571	-16.8315
1570	-15.9764
1569	-14.6269
1568	-14.5792
1567	-15.7663
1566	-14.631
1565	-15.6878
1564	-15.9317
1563	-15.3293
1562	-14.766
1561	-15.5186
1560	-16.6326
1559	-16.36
1558	-16.8467
1557	-16.3945
1556	-15.2385
1555	-16.0434
1554	-16.2108
1553	-15.0997
1552	-16.0352
1551	-15.7592
1550	-14.4833
1549	-15.8576
1548	-15.5922
1547	-15.6688
1546	-15.4394
1545	-15.413
1544	-15.1923
1543	-16.0378
1542	-16.4676
1541	-14.8467
1540	-15.6637
1539	-15.5993
1538	-15.6881
1537	-15.7221
1536	-16.2144
1535	-16.1022
1534	-16.0423
1533	-15.8779
1532	-14.7152
1531	-15.205
1530	-15.3445
1529	-15.6506
1528	-16.2073
1527	-15.5511
1526	-16.0119
1525	-15.7323
1524	-15.272
1523	-14.9167
1522	-14.7599
1521	-15.5577
1520	-15.5663
1519	-15.1304
1518	-15.3633
1517	-15.7998
1516	-15.3044
1515	-15.3917
1514	-16.0637
1513	-15.275
1512	-15.7069
1511	-16.558
1510	-15.8505
1509	-15.7784
1508	-15.9185
1507	-15.4821
1506	-15.9814
1505	-16.4808
1504	-16.3103
1503	-16.2271
1502	-15.9596
1501	-15.5694
1500	-16.1093
1499	-15.411
1498	-15.5247
1497	-15.4856
1496	-15.2841
1495	-15.5993
1494	-15.6084
1493	-15.7449
1492	-15.3806
1491	-15.9916
1490	-15.7226
1489	-15.8525
1488	-15.7135
1487	-16.6341
1486	-16.0657
1485	-15.9926
1484	-15.8282
1483	-15.4709
1482	-15.6105
1481	-15.5166
1480	-15.4024
1479	-15.5288
1478	-14.8629
1477	-15.4212
1476	-15.9611
1475	-15.1979
1474	-15.6927
1473	-15.7531
1472	-15.6942
1471	-16.0134
1470	-15.7602
