# PARCA Ice Core d3 annual values
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: 
#
# Original_Source_URL: 
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2014
# --------------------
# Title 
#	Study_Name:  PARCA Ice Core d3 annual values
# --------------------
# Investigators
#	Investigators: Mosley-Thompson, E.; Thompson, L.G.; Lin, P.N 
# --------------------
# Description_and_Notes
#	Description: 
#
# --------------------
# Publication
#	Authors: Ellen Mosley-Thompson, Lonnie G. Thompson, Ping-Nan Lin
#	Published_Date_or_Year: 2006
#	Published_Title:  A multicentury ice-core perspective on 20th-century climate change with new contributions from high-Arctic and Greenland (PARCA) cores
#	Journal_Name: Annals of Glaciology
#	Volume: 43
#	Edition: 	
#	Issue: 1
#	Pages: 42-48
#	DOI: 
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: A global collection of high temporally resolved ice-core-derived d18O records is examined to assess whether the proxy records are consistent with contemporaneous observed temperature variations in their respective regions. This is prerequisite to using the older parts of the proxy (d18O) records to assess whether 20th-century temperatures remain within the range of longer-term natural variability. Excluding the high plateaus in East and West Antarctica where 20th-century temperatures show modest cooling, the ice-core records from other regions suggest modest to strong 20th-century warming. The recent warming over Greenland has been modest and spatially variable. The 20th-century warming over both the Barents Sea region and the Tibetan Plateau now falls well outside the range of prior longer-term temperature variability. Similarly, over the South American Andes and the Antarctic Peninsula the recent warming exceeds the long-term mean for the last 1000 and 500 years, respectively. The ice fields in these regions are in danger of being compromised or lost if the present warming trend in these regions persists.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant: 
# --------------------
# Site_Information
#	Site_Name: PARCA D3
#	Location: North America>Greenland
#	Country:  
#	Northernmost_Latitude: 69.80
#	Southernmost_Latitude: 69.80	 
#	Easternmost_Longitude: -44.00
#	Westernmost_Longitude: -44.00
#	Elevation: 2460 m
# --------------------
# Data_Collection
#	Collection_Name: 06PARC02
#	Earliest_Year: 1900
#	Most_Recent_Year: 1998
#	Time_Unit: y_ad
#	Notes: {"database":"LMR_FM"}
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age,,,years AD,,,,,N
##d18O	delta 18 oxygen,,,permil SMOW,,Ice Cores,,,N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	d18O
1998	-26.7
1997	-27.79
1996	-27.36
1995	-30.15
1994	-30.16
1993	-30.06
1992	-30.15
1991	-28.19
1990	-28.72
1989	-28.93
1988	-27.29
1987	-26.19
1986	-29.38
1985	-26.87
1984	-28.6
1983	-29.04
1982	-29.43
1981	-28.38
1980	-29.51
1979	-28.8
1978	-28.5
1977	-26.9
1976	-26.42
1975	-28.22
1974	-29.04
1973	-28.63
1972	-28.43
1971	-28.78
1970	-28.83
1969	-29.72
1968	-27.42
1967	-30.05
1966	-29.93
1965	-28.08
1964	-28.19
1963	-27.4
1962	-26.54
1961	-26.8
1960	-29.08
1959	-28.38
1958	-27.53
1957	-29.58
1956	-28.64
1955	-28.1
1954	-28.71
1953	-28.72
1952	-27.89
1951	-27.86
1950	-28.11
1949	-30.96
1948	-28.76
1947	-29.33
1946	-28.07
1945	-27.11
1944	-28.49
1943	-28.83
1942	-27.35
1941	-27.37
1940	-28.96
1939	-27.01
1938	-30.22
1937	-29.77
1936	-28.36
1935	-28.54
1934	-30.35
1933	-28.4
1932	-26.5
1931	-28.58
1930	-29.92
1929	-27.25
1928	-28.3
1927	-29.53
1926	-30.21
1925	-29.58
1924	-31.6
1923	-29.68
1922	-29.19
1921	-29.76
1920	-29.92
1919	-29.88
1918	-30.96
1917	-28.52
1916	-26.52
1915	-28.06
1914	-29.49
1913	-30.04
1912	-29.48
1911	-28.89
1910	-28.66
1909	-27.4
1908	-26.88
1907	-29.48
1906	-29.82
1905	-29.02
1904	-30.8
1903	-30.72
1902	-27.41
1901	-28.49
1900	-30.04
