# EPICA Dome C Ice Core 800KYr Deuterium Data and Temperature Estimates
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:6080
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc3deuttemp2007.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2007
# --------------------
# Title 
#	Study_Name: EPICA Dome C Ice Core 800KYr Deuterium Data and Temperature Estimates
# --------------------
# Investigators
#	Investigators: Jouzel, J., V. Masson-Delmotte, O. Cattani, G. Dreyfus, S. Falourd, G. Hoffmann, B. Minster, J. Nouet, J.M. Barnola, J. Chappellaz, H. Fischer,J.C. Gallet, S. Johnsen, M. Leuenberger, L. Loulergue, D. Luethi, H. Oerter, F. Parrenin, G. Raisbeck, D. Raynaud, A. Schilt, J. Schwander, E. Selmo, R. Souchez, R. Spahni, B. Stauffer, J.P. Steffensen, B. Stenni, T.F. Stocker, J.L. Tison, M. Werner, and E.W. Wolff
# --------------------
# Description_and_Notes
# 	Description: High-resolution (55cm.) deuterium (dDice) profile from the EPICA Dome C Ice Core, Antarctica (75º 06' S, 123º 21' E), with an optimal accuracy of ± 0.5 ‰ (1 sigma), from the surface down to 3259.7 m.
# --------------------
# Publication
#	Authors: Jouzel, J., V. Masson-Delmotte, O. Cattani, G. Dreyfus, S. Falourd, G. Hoffmann, B. Minster, J. Nouet, J.M. Barnola, J. Chappellaz, H. Fischer, J.C. Gallet, S. Johnsen, M. Leuenberger, L. Loulergue, D. Luethi, H. Oerter, F. Parrenin, G. Raisbeck, D. Raynaud, A. Schilt, J. Schwander, E. Selmo, R. Souchez, R. Spahni, B. Stauffer, J.P. Steffensen, B. Stenni, T.F. Stocker, J.L. Tison, M. Werner, and E.W. Wolff
#	Published_Date_or_Year: 2007-08-10
#	Published_Title: Orbital and Millenial Antarctic Climate Variability over the Past 800,000 years
#	Journal_Name: Science
#	Volume: 317
#	Edition: 	
#	Issue: 5839
#	Pages: 793-797
#	DOI: 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: A high-resolution deuterium profile is now available along the entire 
European Project for Ice Coring in Antarctica Dome C ice core, extending 
this climate record back to marine isotope stage 20.2, ~800,000 years ago. 
Experiments performed with an atmospheric general circulation model 
including water isotopes support its temperature interpretation. 
We assessed the general correspondence between Dansgaard-Oeschger 
events and their smoothed Antarctic counterparts for this Dome C record, 
which reveals the presence of such features with similar amplitudes 
during previous glacial periods. We suggest that the interplay between 
obliquity and precession accounts for the variable intensity of 
interglacial periods in ice core records.
# --------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: EPICA Dome C
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -75.10
#	Southernmost_Latitude: -75.10
#	Easternmost_Longitude: 123.35
#	Westernmost_Longitude: 123.35
#	Elevation: 3240 m
# --------------------
# Data_Collection
#	Collection_Name: 07Epic01
#	Earliest_Year: 801662	
#	Most_Recent_Year: 38.37379
#	Time_Unit: yb_1950
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	Age,,,years before 1950 AD,,,,,N
##delD	delD,,,permil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	delD
38.37	-390.9
46.81	-385.1
55.06	-377.8
64.42	-394.1
73.15	-398.7
81.93	-395.9
90.76	-395.9
99.97	-399.3
109.89	-391.4
119.26	-399.5
129.4	-402.9
139.94	-393.9
150.1	-398.6
160.58	-389.8
171.02	-394.5
181.44	-400.5
191.48	-403.6
201.87	-393.1
212.19	-410.9
223.16	-393.6
233.74	-391.1
244.64	-391.9
255.5	-396.3
266.61	-397
277.77	-404.7
289.25	-398.2
301.04	-395.2
312.44	-403.5
323.85	-398.6
335.58	-399.7
346.88	-396
358.51	-400.2
370.9	-401.6
382.87	-405.4
395.19	-399
407.47	-396.9
418.75	-394.9
430.4	-406.6
442.41	-395.2
454.1	-395.3
466.13	-399.5
478.21	-401
490.4	-393.6
503.06	-410.4
515.65	-401.3
528.76	-398.3
541.61	-388.5
554.93	-391.9
567.75	-400.8
580.6	-387.7
593.51	-401.4
606.47	-401
619.47	-387.3
632.05	-390.2
644.99	-394.5
658.26	-401.9
672.13	-399.8
686.65	-399.9
700.68	-399.1
715.03	-401.9
729.28	-404.8
744.24	-401.6
758.74	-396.7
772.41	-397.1
785.84	-394.2
798.9	-395.9
812.31	-392.7
824.81	-390.4
837.1	-389
849.38	-387
861.97	-402.3
875.37	-392.5
889.09	-404.6
903.17	-390.5
917.33	-402.3
931.98	-400.1
946.98	-399.4
961.23	-400.6
975.76	-393.8
990.16	-398.5
1004.54	-398.7
1018.79	-401.8
1032.38	-395.2
1046.66	-390.1
1060.59	-393.9
1074.8	-400.6
1089.08	-400.9
1103.71	-391.7
1118.16	-399.3
1132.65	-386.7
1146.79	-401.5
1160.92	-398.1
1174.39	-390.4
1188.11	-389.8
1201.5	-390.7
1215.04	-399.3
1229.32	-392.5
1243.6	-393.8
1258.22	-394.4
1272.59	-397
1286.98	-397.8
1301.71	-388.6
1315.87	-394.7
1330.45	-390.6
1344.71	-397
1358.62	-386.6
1372.62	-390.6
1386.62	-397
1400.62	-396.1
1415.92	-398.9
1431.9	-400.2
1447.89	-398.7
1463.27	-389.7
1478.74	-401.6
1494.22	-397.9
1509.68	-399.2
1525.09	-397.6
1540.51	-390.5
1556.34	-401.5
1571.99	-395.7
1588.02	-394.5
1604.08	-402.9
1620.58	-401
1637.11	-391.5
1654.01	-403.4
1670.18	-393.4
1686.02	-393.8
1702.25	-400.8
1719.77	-399.3
1736.97	-396.6
1754.17	-395.3
1770.6	-392.6
1787.4	-404.4
1804.23	-394.4
1821.97	-402.2
1839.34	-401.9
1856.5	-393.8
1872.57	-402.3
1888.99	-385.1
1905.46	-395.9
1922.01	-395.8
1938.21	-398.2
1955.51	-394.8
1972.76	-397.7
1990	-400.3
2007.35	-402.4
2025.24	-396
2043.51	-401.4
2060.99	-386.1
2078.1	-400.1
2095.22	-400.3
2112.53	-393.2
2129.75	-399.7
2147.34	-397.9
2165.32	-402
2184	-398.7
2202.29	-398.6
2219.39	NAN
2236.56	-390.6
2253.39	-394
2270.87	-397.9
2288.78	-394.8
2306.32	-408.2
2326.61	-404.3
2346.9	-399.6
2366.62	-400.8
2385.38	-401.5
2404.54	-407.7
2423.8	-400.5
2443.08	-395.8
2462.51	-399.7
2480.89	-399.6
2499.65	-394.8
2517.8	-398.5
2535.12	-390.2
2552.8	-396.4
2570.84	-392.7
2589.02	-400.4
2607.2	-393.5
2624.54	-390.6
2641.8	-395.2
2659.1	-396.9
2678.04	-399.1
2696.61	-396.9
2714.85	-401
2732.72	-387.9
2750.24	-390.3
2767.45	-390.8
2784.28	-390.2
2801.45	-395.6
2818.39	-387.7
2835.1	-388.9
2851.82	-388.9
2869.82	-395.4
2888.01	-399.5
2906.21	-401.7
2924.22	-392.2
2942.9	-393.9
2961.21	-397.7
2980.45	-401.1
2999.69	-395.7
3018.71	-398.7
3037.35	-395
3055.99	-394.7
3074.14	-395.8
3092.04	-391.8
3110.29	NAN
3128.51	-387.9
