# EPICA Dome C Stable Isotope Data to 44.8 KYrBP
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2492
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc96-iso-45kyr.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2003
# --------------------
# Title 
#	Study_Name: EPICA Dome C Stable Isotope Data to 44.8 KYrBP
# --------------------
# Investigators
#	Investigators: Jouzel, J., V. Masson-Delmotte, O. Cattani, G. Dreyfus, S. Falourd, G. Hoffmann, B. Minster, J. Nouet, J.M. Barnola, J. Chappellaz, H. Fischer,J.C. Gallet, S. Johnsen, M. Leuenberger, L. Loulergue, D. Luethi, H. Oerter, F. Parrenin, G. Raisbeck, D. Raynaud, A. Schilt, J. Schwander, E. Selmo, R. Souchez, R. Spahni, B. Stauffer, J.P. Steffensen, B. Stenni, T.F. Stocker, J.L. Tison, M. Werner, and E.W. Wolff
# --------------------
# Description_and_Notes
# 	Description: EPICA Dome C Stable Isotope Data to 44.8 KYrBP.  
# 
#	The age scale adopted here is the EDC1 (Schwander et al., 2001).   
#   
#	For deltaD data refer to Jouzel et al., 2001 (for ages between 0 and 27.7 ky BP) 
#	and Stenni et al., 2003 (for ages up to 44.8 ky BP).
#   
#	For deuterium excess (d=deltaD-8*delta18O) data refer to Stenni et al., 2001 
#	(for ages between 0 and 27.7 ky BP) and  Stenni et al., 2003 (for ages up to 44.8 ky BP). 
#
#	Some samples were either missing or of very bad quality over two intervals
#	bags 1195-1199: mean sample 1195-0
#	bags 1131-1135: mean sample 1131-0
#	between those levels intervals only one "average" sample has been taken and
#	its value is reported for 5 successive bags
# --------------------
# Publication
#	Authors: Jouzel, J., V. Masson-Delmotte, O. Cattani, G. Dreyfus, S. Falourd, G. Hoffmann, B. Minster, J. Nouet, J.M. Barnola, J. Chappellaz, H. Fischer, J.C. Gallet, S. Johnsen, M. Leuenberger, L. Loulergue, D. Luethi, H. Oerter, F. Parrenin, G. Raisbeck, D. Raynaud, A. Schilt, J. Schwander, E. Selmo, R. Souchez, R. Spahni, B. Stauffer, J.P. Steffensen, B. Stenni, T.F. Stocker, J.L. Tison, M. Werner, and E.W. Wolff
#	Published_Date_or_Year: 2007-08-10
#	Published_Title: Orbital and Millenial Antarctic Climate Variability over the Past 800,000 years
#	Journal_Name: Science
#	Volume: 317
#	Edition: 	
#	Issue: 5839
#	Pages: 793-797
#	DOI: 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: A high-resolution deuterium profile is now available along the entire  European Project for Ice Coring in Antarctica Dome C ice core, extending  this climate record back to marine isotope stage 20.2, ~800,000 years ago.  Experiments performed with an atmospheric general circulation model  including water isotopes support its temperature interpretation.  We assessed the general correspondence between Dansgaard-Oeschger  events and their smoothed Antarctic counterparts for this Dome C record,  which reveals the presence of such features with similar amplitudes  during previous glacial periods. We suggest that the interplay between  obliquity and precession accounts for the variable intensity of  interglacial periods in ice core records.
# --------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
# --------------------
# Site_Information
#	Site_Name: EPICA Dome C
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -75.10
#	Southernmost_Latitude: -75.10
#	Easternmost_Longitude: 123.35
#	Westernmost_Longitude: 123.35
#	Elevation: 3240 m
# --------------------
# Data_Collection
#	Collection_Name: 07Epic02a
#	Earliest_Year: 42821
#	Most_Recent_Year: 42
#	Time_Unit: yb_1950
#	Notes: {"database":"LMR_FM"}
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age,,,years before 1950 AD,,,,,N
##d18O	delta 18 oxygen,,,permil SMOW,,Ice Cores,,,N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	d18O
42.5	-50.12
51.15	-49.16
60.08	-48.14
69.36	-50.35
78.58	-50.94
87.77	-50.6
97.06	-50.52
106.43	-51.07
116.11	-49.97
125.83	-50.89
135.47	-51.6
145.35	-50.45
155.61	-50.81
165.93	-49.98
176.29	-50.62
186.69	-51.07
197.1	-51.72
207.53	-50.11
218.05	-52.51
228.94	-50.22
239.97	-49.92
251.22	-49.86
262.57	-50.44
274.02	-50.7
285.58	-51.7
297.21	-50.98
309.07	-50.72
321.01	-51.68
333.03	-51.17
345.1	-51.26
357.25	-50.64
369.47	-51.5
381.79	-51.56
394.22	-51.89
406.75	-51
419.28	-50.55
431.81	-50.58
444.41	-51.93
457.05	-50.5
469.8	-50.49
482.6	-51.06
495.46	-51.24
508.31	-50.23
521.13	-52.52
534.03	-51.03
546.96	-50.94
559.81	-49.54
572.64	-50.14
585.5	-51.18
598.38	-49.53
611.3	-51.2
624.29	-51.18
637.4	-49.33
650.6	-49.82
663.89	-50.43
677.33	-51.31
690.84	-51.06
704.44	-51.1
718.03	-51.02
731.51	-51.49
745.07	-51.68
758.82	-51.58
772.25	-50.7
785.27	-50.82
798.34	-50.44
811.44	-50.65
824.63	-50.24
837.83	-49.93
850.99	-49.7
864.17	-49.57
877.48	-51.58
890.81	-50.27
904.19	-51.79
917.7	-49.99
931.33	-51.45
945.09	-51.04
958.89	-51.16
972.67	-51.28
986.48	-50.41
1000.49	-51.06
1014.52	-50.98
1028.55	-51.55
1042.56	-50.61
1056.55	-49.76
1070.59	-50.36
1084.65	-51.06
1098.58	-51.2
1112.49	-50.17
1126.5	-51.09
1140.56	-49.6
1154.68	-51.35
1168.75	-50.9
1182.72	-49.91
1196.69	-49.89
1210.64	-50.1
1224.57	-51.15
1238.51	-50.29
1252.64	-50.31
1266.81	-50.3
1281.03	-50.8
1295.24	-50.77
1309.44	-49.77
1323.77	-50.47
1338.25	-50
1352.78	-50.9
1367.34	-49.43
1381.92	-50.25
1396.54	-50.89
1411.37	-50.76
1426.34	-51
1441.6	-51.03
1456.89	-50.98
1472.17	-49.87
1487.48	-51.44
1502.84	-50.93
1518.4	-50.99
1534.05	-50.65
1549.76	-50.03
1565.49	-51.38
1581.25	-50.48
1597.07	-50.38
1613.02	-51.65
1629.07	-51.3
1645.24	-50.27
1661.36	-51.61
1677.42	-50.43
1693.33	-50.47
1709.29	-51.28
1725.75	-51.11
1742.27	-50.64
1758.7	-50.55
1775.06	-50.16
1791.33	-51.68
1807.75	-50.68
1824.29	-51.41
1840.75	-51.45
1857.18	-50.2
1873.65	-51.44
1890.15	-49.36
1906.71	-50.68
1923.21	-50.65
1939.55	-50.89
1956.13	-50.56
1973.01	-50.77
1989.91	-51.29
2006.82	-51.34
2023.8	-50.33
2040.81	-51.36
2057.91	-49.56
2075.06	-51.17
2092.34	-51.13
2109.61	-50.3
2126.85	-51.1
2144.21	-50.86
2161.68	-51.46
2179.29	-51.04
2196.95	-50.89
2214.64	-49.93
2232.37	-49.96
2250.26	-50.31
2268.33	-50.82
2286.75	-50.38
2305.2	-52.07
2323.67	-51.68
2342.16	-50.99
2360.64	-51.17
2379.11	-51.28
2397.55	-52.22
2415.9	-51.22
2434.21	-50.53
2452.44	-51.03
2470.63	-51.04
2488.72	-50.28
2506.69	-50.85
2524.56	-49.87
2542.31	-50.64
2560.01	-50.23
2577.64	-50.94
2595.25	-50.26
2612.79	-49.78
2630.34	-50.29
2647.89	-50.47
2665.39	-51.01
2682.81	-50.5
2700.1	-51.27
2717.31	-49.59
2734.42	-49.89
2751.49	-49.91
2768.53	-49.9
2785.61	-50.48
2802.81	-49.63
2820.15	-49.79
2837.69	-49.59
2855.29	-50.5
2872.92	-51.17
2890.5	-51.6
2908.1	-50.09
2925.99	-50.42
2943.98	-50.77
2962.05	-51.24
2980.13	-50.58
2998.19	-51.07
3016.33	-50.71
3034.58	-50.57
3052.76	-50.64
3070.92	-50.18
3089.37	NAN
3107.93	-49.46
3126.72	-51.71
3145.59	-51.17
3164.59	-51.64
3183.64	-50.18
3202.78	-51.2
3221.95	-51.98
3241.15	-50.28
3260.36	-51.09
3279.56	-51.41
3298.74	-50.03
3317.89	-50.99
3336.98	-51.75
3356.02	-50.66
3374.98	-50.85
3393.86	-50.88
3412.65	-50.72
3431.35	-50.53
3449.98	-50.31
3468.51	-51.5
