# EPICA Dome C Ice Cores Deuterium Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2477
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/epica_domec/edc_dd.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2004
# --------------------
# Title 
#	Study_Name: EPICA Dome C Ice Cores Deuterium Data
# --------------------
# Investigators
#	Investigators: Jouzel et al.; EPICA community members
# --------------------
# Description_and_Notes
# 	Description: Deuterium data from EPICA Dome C ice cores, 6.6-3140.5 metres, 
#	also presented as 3 kyr averages, 0-741 kyr.
#
#	dD was determined on meltwater from 55 cm long sections. 
#	The current dataset was derived using a "quick" mode 
#	(each sample is measured twice instead of four times), 
#	leading to a typical accuracy of 1.5‰, whereas we aim 
#	for a final precision of 0.5‰ over the entire core.  
#	The data here correspond to values averaged across seven 
#	successive samples (depth scale) or averaged across 
#	3000 year intervals. Ages are given on timescale EDC2 
#	(EPICA Community Members, Eight glacial cycles from an 
#	Antarctic ice core, Nature, 429 (6992), 623-628, 2004).
# --------------------
# Publication
#	Authors: EPICA community members
#	Published_Date_or_Year: 2004-06-10
#	Published_Title: Eight glacial cycles from an Antarctic ice core
#	Journal_Name: Nature
#	Volume: 429
#	Edition: 	
#	Issue: 6992
#	Pages: 623-628
#	DOI: 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: The Antarctic Vostok ice core provided compelling evidence of the nature of climate, 
and of climate feedbacks, over the past 420,000 years. Marine records suggest that 
the amplitude of climate variability was smaller before that time, but such records 
are often poorly resolved. Moreover, it is not possible to infer the abundance of 
greenhouse gases in the atmosphere from marine records. Here we report the recovery 
of a deepice core from Dome C, Antarctica, that provides a climate record for the 
past 740,000 years. For the four most recent glacial cycles, the data agree well 
with the record from Vostok. The earlier period, between 740,000 and 430,000 years 
ago, was characterized by less pronounced warmth in interglacial periods in Antarctica, 
but a higher proportion of each cycle was spent in the warm mode. The transition 
from glacial to interglacial conditions about 430,000 years ago (Termination V) 
resembles the transition into the present interglacial period in terms of the 
magnitude of change in temperatures and greenhouse gases, but there are significant 
differences in the patterns of change. The interglacial stage following Termination 
V was exceptionally long-28,000 years compared to, for example, the 12,000 years 
recorded so far in the present interglacial period. Given the similarities between 
this earlier warm period and today, our results may imply that without human 
intervention, a climate similar to the present one would extend well into the future.
#
# --------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
# --------------------
# Site_Information
#	Site_Name: EPICA Dome C
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -75.10
#	Southernmost_Latitude: -75.10
#	Easternmost_Longitude: 123.35
#	Westernmost_Longitude: 123.35
#	Elevation: 3240 m
# --------------------
# Data_Collection
#	Collection_Name: 07Epic03
#	Earliest_Year: 739973
#	Most_Recent_Year: 70
#	Time_Unit: yb_1950
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	Age,,,years before 1950,,,,,N
##delD	delD,,,permil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	deltaD
70.000	-391.20
138.500	-396.49
215.500	-398.19
294.500	-398.11
374.775	-400.07
460.325	-398.49
549.875	-397.83
639.625	-394.86
730.425	-400.54
821.825	-392.33
915.575	-398.81
1014.775	-396.96
1114.175	-396.37
1212.525	-393.51
1310.125	-394.30
1410.575	-395.44
1516.875	-396.86
1625.275	-397.49
1736.350	-397.54
1852.450	-396.51
1971.900	-397.89
2092.650	-396.96
2215.350	-396.97
2343.400	-402.41
2474.600	-397.01
2604.150	-395.10
2729.300	-393.74
2848.850	-393.96
2970.225	-396.33
3094.375	-395.95
3221.425	-399.50
3351.975	-397.56
3478.525	-394.81
3601.225	-393.87
3723.125	-393.87
3850.125	-396.24
3982.850	-394.44
4117.600	-395.27
4251.000	-395.20
4381.550	-395.00
4515.400	-396.20
4653.500	-396.91
4789.950	-395.27
4926.050	-396.07
5061.450	-394.10
5198.050	-395.53
5338.825	-399.23
5478.925	-396.94
5616.450	-395.29
5752.600	-393.10
5892.450	-397.51
6033.100	-396.41
6172.525	-397.56
6315.525	-397.54
6459.325	-400.19
6605.225	-398.03
6752.300	-396.24
6897.050	-398.96
7046.400	-402.01
7199.350	-398.90
7352.600	-402.39
7500.700	-395.30
7644.900	-397.46
7792.200	-398.07
7940.075	-400.49
8092.125	-404.27
8247.775	-400.67
8401.725	-401.09
8551.750	-398.37
8700.200	-398.94
8850.975	-398.61
9000.225	-396.29
9150.525	-398.83
9300.325	-394.07
9444.125	-392.28
9588.325	-394.63
9731.575	-391.67
9870.475	-391.30
10009.600	-393.06
10150.700	-392.03
10289.800	-389.14
10429.500	-393.50
10573.050	-392.61
10714.650	-388.41
10857.650	-392.41
11007.950	-392.94
11160.300	-394.27
11311.700	-392.01
11462.200	-391.79
11611.450	-391.80
11760.550	-390.56
11912.600	-393.01
12065.350	-392.40
12222.850	-398.23
12391.700	-401.76
12570.000	-407.20
12755.600	-409.31
12949.100	-412.14
13154.050	-415.66
13363.750	-415.10
13571.700	-414.10
13772.650	-410.77
13970.650	-413.57
14174.700	-414.96
14381.900	-411.74
14583.450	-407.67
14775.200	-402.99
14964.450	-404.94
15163.800	-410.74
15375.050	-412.16
15582.700	-410.93
15791.450	-413.19
16013.650	-418.67
16240.850	-418.26
16471.200	-418.99
16713.900	-423.57
16968.800	-423.94
17229.050	-428.26
17500.600	-433.73
17788.350	-433.81
18088.800	-438.79
18404.550	-439.89
18729.600	-441.44
19058.150	-441.93
19390.150	-440.89
19722.250	-442.46
20051.750	-439.79
20387.250	-443.77
20728.100	-441.41
21057.850	-441.40
21380.300	-442.01
21707.050	-442.31
22038.700	-441.83
22369.600	-441.11
22693.050	-440.20
23021.650	-443.51
23354.350	-440.17
23688.850	-442.79
24021.100	-439.33
24344.500	-439.47
24673.000	-443.17
25008.150	-442.99
25346.000	-443.47
25686.850	-444.50
26032.900	-445.16
26376.500	-444.66
26717.100	-443.97
27057.400	-444.24
27398.500	-444.60
27738.300	-443.81
28066.400	-439.00
28386.500	-437.79
28717.250	-443.73
29048.450	-437.46
29370.850	-440.43
29680.550	-435.89
29977.750	-437.13
30287.650	-439.87
30615.100	-442.47
30956.800	-440.91
31292.500	-438.43
31623.450	-444.04
31955.100	-441.71
32267.350	-435.11
32574.950	-437.73
32893.950	-441.66
33218.250	-438.54
33531.450	-434.86
33847.200	-438.40
34188.200	-442.99
34523.750	-438.61
34832.250	-434.80
35135.400	-433.37
35444.200	-435.43
35760.200	-436.67
36081.300	-437.91
36398.650	-435.79
36717.500	-436.70
37029.700	-431.80
37325.850	-429.71
37606.500	-422.69
37888.000	-429.23
38175.600	-427.01
38462.000	-428.13
38752.650	-429.96
