# Mayotte Coral Coupled Sr/Ca and d18O Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:8424
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/indian_ocean/mayotte2008.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2009-04
#--------------------
# Title
#	Study_Name: Mayotte Coral Coupled Sr/Ca and d18O Data
#--------------------
# Investigators
#       Investigators: Zinke, J.; Pfeiffer, M.; Timm, O.; Dullo, W.C.; Kroon, D.; Thomassin, B.A.
#--------------------
# Description_and_Notes
#	Description: Coupled Sr/Ca and d18O measurements from a Porites solida coral  at Mayotte (Comoro Archipelago), 12�39'S, 45�06'E, used as a proxy  for d18Oseawater and hydrological variability (P-E) in the western  tropical Indian Ocean.  
#--------------------
# Publication 
#       Authors: Zinke, J.; Pfeiffer, M.; Timm, O.; Dullo, W.C.; Kroon, D.; Thomassin, B.A.
#       Published_Date_or_Year: 2008-12-10     
#       Published_Title: Mayotte coral reveals hydrological changes in the western  Indian Ocean between 1881 and 1994.
#       Journal_Name: Geophys. Res. Lett.
#       Volume: 35
#       Edition: 
#       Issue: L23707
#       Pages: 
#       DOI: 10.1029/2008GL035634
#       Online_Resource: http://onlinelibrary.wiley.com/doi/10.1029/2008GL035634/abstract
#       Full_Citation: Zinke, J., M. Pfeiffer, O. Timm, W.-C. Dullo, D. Kroon,  and B. A. Thomassin. 2008.   Mayotte coral reveals hydrological changes in the western  Indian Ocean between 1881 and 1994.  Geophys. Res. Lett., 35, L23707, doi:10.1029/2008GL035634.
#       Abstract: We reconstruct the hydrologic history of the tropical western Indian Ocean by calculating the d18Oseawater from coupled coral Sr/Ca and d18O measurements in a massive Porites coral from Mayotte (Comoros) between 1881 and 1994. We found that the precipitation-evaporation balance varies naturally on time scales of 5-6 years and 18-25 years. High (low) SSTs are associated with positive (negative) d18Oseawater implying that atmospheric variability is linked with remote climate modes in the Indian Ocean and the tropical/extratropical Pacific Ocean. Warm El Nino-Southern Oscillation events are associated with a negative freshwater balance at Mayotte. This case study demonstrates that a much denser network of d18Oseawater reconstructions is crucial for understanding the spatial patterns of hydrological conditions.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: German Science Foundation (KIHZ)
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Nederlandse Organisatie voor Wetenschappelijk Onderzoek
#       Grant: 854.00.034
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Japan Agency for Marine-Earth Science and Technology (JAMSTEC) International Pacific Research Center
#       Grant:
#------------------
# Funding_Agency 
#       Funding_Agency_Name: DFG
#       Grant: PF 676/1, Leibniz award
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Japan Agency for Marine-Earth Science and Technology (JAMSTEC)
#       Grant:
#------------------
# Site_Information 
#       Site_Name: Mayotte Island, Comoros Archipelago
#       Location: Ocean>Indian Ocean>Comoros
#	Country: France 
#	Northernmost_Latitude: -12.65
# 	Southernmost_Latitude: -12.65
# 	Easternmost_Longitude: 45.10
# 	Westernmost_Longitude: 45.10
# 	Elevation: -2 m
#------------------
# Data_Collection   
#	Collection_Name: 08como01a
#	Earliest_Year: 1881
#	Most_Recent_Year: 1994
#	Time_Unit: y_ad
#	Core_Length: 2.38 m
#	Notes: 
#------------------
# Species
#	Species_Name: Porites solida
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Corals and Sclerosponges, , ,N
##d18O	delta 18 Oxygen, Porites solida, , permil VPDB, , Corals and Sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Porites solida, ,mmol/mol, ,Corals and Sclerosponges, , ,N 
##d18O_sw	reconstructed sea water delta 18 Oxygen, sea water, , permil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O	Sr/Ca	d18O_sw
1881.62	-4.65	8.948	0.38
1881.79	-4.865	8.797	0.643
1881.96	-4.883	8.785	0.664
1882.12	-5.02	8.752	0.632
1882.29	-4.98	8.778	0.588
1882.46	-4.845	8.879	0.401
1882.62	-4.695	8.955	0.311
1882.79	-5.028	8.87	0.248
1882.96	-4.993	8.797	0.514
1883.12	-5.025	8.762	0.595
1883.29	-4.877	8.757	0.757
1883.46	-4.693	8.817	0.752
1883.62	-4.64	8.956	0.364
1883.79	-4.823	8.921	0.292
1883.96	-4.973	8.886	0.253
1884.12	-4.99	8.851	0.348
1884.29	-4.887	8.838	0.49
1884.46	-4.748	8.862	0.552
1884.62	-4.69	8.985	0.222
1884.79	-4.807	8.962	0.176
1884.96	-4.877	8.879	0.371
1885.12	-4.865	8.808	0.609
1885.29	-4.843	8.821	0.59
1885.46	-4.833	8.933	0.242
1885.62	-4.65	8.993	0.236
1885.79	-4.76	8.884	0.471
1885.96	-4.88	8.819	0.559
1886.12	-4.85	8.788	0.688
1886.29	-4.99	8.81	0.478
1886.46	-4.5	8.863	0.797
1886.62	-4.48	9.002	0.378
1886.79	-4.738	8.871	0.534
1886.96	-4.87	8.762	0.75
1887.12	-4.95	8.715	0.819
1887.29	-4.84	8.735	0.865
1887.46	-4.52	8.833	0.872
1887.62	-4.42	8.966	0.553
1887.79	-4.51	8.894	0.689
1887.96	-4.85	8.823	0.576
1888.12	-4.96	8.752	0.692
1888.29	-4.89	8.722	0.857
1888.46	-4.69	8.821	0.74
1888.62	-4.47	8.961	0.517
1888.79	-4.7	8.871	0.574
1888.96	-4.85	8.8	0.648
1889.12	-5.2	8.755	0.443
1889.29	-4.93	8.785	0.617
1889.46	-4.92	8.863	0.378
1889.62	-4.865	8.96	0.124
1889.79	-4.894	8.9	0.287
1889.96	-5.06	8.815	0.39
1890.12	-5.03	8.784	0.52
1890.29	-4.87	8.797	0.639
1890.46	-4.762	8.876	0.495
1890.62	-4.72	8.904	0.447
1890.79	-4.79	8.837	0.59
1890.96	-5.01	8.771	0.581
1891.12	-5.07	8.705	0.73
1891.29	-5.14	8.682	0.734
1891.46	-4.97	8.738	0.725
1891.62	-4.57	8.898	0.617
1891.79	-4.783	8.847	0.567
1891.96	-4.933	8.804	0.553
1892.12	-5.025	8.759	0.605
1892.29	-4.977	8.776	0.599
1892.46	-4.757	8.843	0.605
1892.62	-4.5	8.911	0.648
1892.79	-4.96	8.895	0.238
1892.96	-4.94	8.801	0.557
1893.12	-4.985	8.735	0.72
1893.29	-4.74	8.741	0.945
1893.46	-4.695	8.83	0.708
1893.62	-4.65	8.941	0.4
1893.79	-4.88	8.859	0.43
1893.96	-4.89	8.801	0.607
1894.12	-4.97	8.728	0.756
1894.29	-4.98	8.77	0.615
1894.46	-4.62	8.89	0.594
1894.62	-4.58	8.951	0.439
1894.79	-4.772	8.866	0.517
1894.96	-4.81	8.772	0.776
1895.12	-4.845	8.725	0.891
1895.29	-4.863	8.739	0.83
1895.46	-4.78	8.815	0.671
1895.62	-4.53	8.899	0.655
1895.79	-4.73	8.785	0.816
1895.96	-4.81	8.738	0.885
1896.12	-4.84	8.72	0.913
1896.29	-4.81	8.764	0.804
1896.46	-4.85	8.884	0.38
1896.62	-4.7	8.924	0.405
1896.79	-4.798	8.873	0.468
1896.96	-4.917	8.796	0.593
1897.12	-5.01	8.759	0.618
1897.29	-5.123	8.755	0.519
1897.46	-4.87	8.767	0.734
1897.62	-4.68	8.931	0.402
1897.79	-4.79	8.917	0.338
1897.96	-4.96	8.874	0.303
1898.12	-5	8.848	0.346
1898.29	-5.01	8.873	0.258
1898.46	-5.06	8.918	0.064
1898.62	-4.48	8.967	0.489
1898.79	-4.573	8.906	0.589
1898.96	-4.71	8.824	0.713
1899.12	-4.89	8.818	0.553
1899.29	-4.91	8.829	0.497
1899.46	-4.837	8.903	0.336
1899.62	-4.67	8.984	0.243
1899.79	-4.745	8.903	0.428
1899.96	-4.82	8.831	0.579
1900.12	-4.965	8.803	0.524
1900.29	-4.93	8.807	0.545
1900.46	-4.75	8.937	0.315
1900.62	-4.35	8.983	0.566
1900.79	-4.68	8.851	0.657
1900.96	-4.907	8.819	0.53
1901.12	-4.99	8.763	0.627
1901.29	-4.973	8.801	0.521
1901.46	-4.867	8.836	0.519
1901.62	-4.6	8.987	0.306
1901.79	-4.692	8.873	0.575
1901.96	-4.853	8.841	0.515
1902.12	-4.97	8.769	0.626
1902.29	-4.9	8.801	0.594
1902.46	-4.793	8.903	0.377
1902.62	-4.51	8.912	0.633
1902.79	-4.647	8.837	0.735
1902.96	-4.933	8.797	0.574
