#  Global and Hemispheric 400 Year Glacier Length Temperature Reconstructions
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:13544
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/leclercq2012/leclercq2012global.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
# --------------------
# Contribution_date
#	Date: 2012-11-30
# --------------------
# Title 
#	  Study_Name:  Global and Hemispheric 400 Year Glacier Length Temperature Reconstructions
# --------------------
# Investigators
#	  Investigators:  Leclercq, P.W.; Oerlemans, J.
# --------------------
# Description_and_Notes
# 	Description:  Global, Northern hemisphere, and Southern hemisphere temperature reconstructions for period 1600 to 2000, based on world-wide glacier length changes. Data are the reconstructed temperature anomaly w.r.t. the 1961-1990 average temperature, plus the uncertainty at 95% confidence interval.
# --------------------
# Publication
#	  Authors:  Paul Willem Leclercq and Johannes Oerlemans
#	  Published_Date_or_Year:  2012- 03- 01
#	  Published_Title:  Global and hemispheric temperature reconstruction from glacier length fluctuations
#	  Journal_Name: Climate Dynamics
#	  Volume: 38
#	  Edition: 5-6
#	  Issue: 1065-1079
#	  Pages: 437-449
#	  DOI: 10.1007/s00382-011-1145-7
#	  Online_Resource:  
#	  Full_Citation:  
#	  Abstract:  Temperature reconstructions for recent centuries provide a historical context for the warming over the twentieth century. We reconstruct annual averaged surface temperatures of the past 400 years on hemispherical and global scale from glacier length fluctuations. We use the glacier length records of 308 glaciers. The reconstruction is a temperature proxy with decadal resolution that is completely independent of other temperature records. Temperatures are derived from glacier length changes using a linear response equation and an analytical glacier model that is calibrated on numerical model results. The global and hemispherical temperatures reconstructed from glacier length fluctuations are in good agreement with the instrumental record of the last century. Furthermore our results agree with existing multi-proxy reconstructions of temperature in the pre-instrumental period. The temperature record obtained from glacier fluctuations confirms the pronounced warming of the twentieth century, giving a global cumulative warming of 0.94 Â± 0.31 K over the period 1830-2000 and a cumulative warming of 0.84 Â± 0.35 K over the period 1600-2000.
# --------------------
# Funding_Agency
#	  Funding_Agency_Name: 
#	  Grant:  
# --------------------
# Site_Information
#	Site_Name: Global
#	Location: Geographic Region> Global
#	Country:  
#	Northernmost_Latitude: 90
#	Southernmost_Latitude: -90
#	Easternmost_Longitude: 180
#	Westernmost_Longitude: -180
#	Elevation:
# --------------------
# Data_Collection
#	Collection_Name: 12Glob01
#	Earliest_Year: 1660
#	Most_Recent_Year: 2000
#	Time_Unit: y_ad
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	Age,,,years AD,,,,,N 
##temp_anom	surface temperature anomaly, , , , degrees C, Climate Reconstructions, , ,  anomaly w.r.t. the 1961-1990 mean, N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	temp_anom
1005	-0.162
1006	-0.206
1007	-0.206
1008	-0.206
1009	-0.134
1010	-0.08
1011	-0.08
1012	-0.08
1013	-0.111
1014	-0.165
1015	-0.196
1016	-0.196
1017	-0.111
1018	-0.05
1019	-0.05
1020	-0.067
1021	-0.067
1022	-0.067
1023	-0.067
1024	-0.09
1025	-0.006
1026	0.048
1027	0.079
1028	-0.015
1029	-0.046
1030	-0.046
1031	-0.1
1032	-0.1
1033	-0.069
1034	-0.039
1035	-0.039
1036	-0.069
1037	-0.093
1038	-0.154
1039	-0.216
1040	-0.247
1041	-0.301
1042	-0.301
1043	-0.331
1044	-0.488
1045	-0.519
1046	-0.465
1047	-0.495
1048	-0.472
1049	-0.441
1050	-0.357
1051	-0.272
1052	-0.277
1053	-0.223
1054	-0.215
1055	-0.174
1056	-0.174
1057	-0.174
1058	-0.207
1059	-0.23
1060	-0.284
1061	-0.23
1062	-0.308
1063	-0.28
1064	-0.334
1065	-0.298
1066	-0.159
1067	-0.213
1068	-0.213
1069	-0.203
1070	-0.203
1071	-0.257
1072	-0.405
1073	-0.311
1074	-0.334
1075	-0.334
1076	-0.347
1077	-0.4
1078	-0.316
1079	-0.316
1080	-0.262
1081	-0.136
1082	-0.029
1083	0.12
1084	0.048
1085	0.133
1086	0.187
1087	0.146
1088	0.092
1089	0.156
1090	0.182
1091	0.128
1092	0.111
1093	0.196
1094	0.142
1095	0.088
1096	0.016
1097	0.029
1098	0.07
1099	0.101
1100	-0.048
1101	-0.002
1102	0.136
1103	-0.012
1104	-0.151
1105	-0.205
1106	-0.151
1107	-0.133
1108	-0.21
1109	-0.251
1110	-0.318
1111	-0.274
1112	-0.251
1113	-0.43
1114	-0.389
1115	-0.336
1116	-0.258
1117	-0.272
1118	-0.289
1119	-0.351
1120	-0.436
1121	-0.471
1122	-0.502
1123	-0.758
1124	-0.65
1125	-0.619
1126	-0.589
1127	-0.666
1128	-0.622
1129	-0.55
1130	-0.412
1131	-0.255
1132	-0.076
1133	-0.036
1134	0.126
1135	0.059
1136	0.146
1137	0.061
1138	0.03
1139	0.022
1140	-0.008
1141	-0.052
1142	-0.083
1143	-0.19
1144	-0.186
1145	-0.311
1146	-0.378
1147	-0.424
1148	-0.316
1149	-0.231
1150	-0.375
1151	-0.34
1152	-0.283
1153	-0.198
1154	-0.305
1155	-0.405
1156	-0.279
1157	-0.159
1158	-0.297
1159	-0.351
1160	-0.374
1161	-0.254
1162	-0.389
1163	-0.398
1164	-0.428
1165	-0.146
1166	-0.111
1167	-0.016
1168	-0.039
1169	-0.08
1170	-0.049
1171	-0.049
1172	-0.018
1173	-0.039
1174	-0.085
1175	-0.139
1176	-0.269
1177	-0.228
1178	-0.376
1179	-0.363
1180	-0.153
1181	-0.058
1182	-0.089
1183	-0.089
1184	0.063
1185	0.176
1186	0.176
1187	0.252
1188	0.234
1189	0.36
1190	0.352
1191	0.349
1192	0.287
1193	0.385
1194	0.354
1195	0.364
1196	0.253
1197	0.253
1198	0.24
1199	0.217
1200	0.046
1201	0.189
1202	0.125
1203	0.133
1204	0.004
1205	-0.06
1206	-0.123
1207	-0.197
1208	-0.274
1209	-0.369
1210	-0.404
1211	-0.327
1212	-0.517
1213	-0.481
1214	-0.714
1215	-0.576
1216	-0.606
1217	-0.614
1218	-0.676
1219	-0.648
1220	-0.707
1221	-0.649
1222	-0.679
1223	-0.49
1224	-0.562
1225	-0.454
1226	-0.478
1227	-0.298
1228	-0.213
1229	-0.106
1230	-0.111
1231	0.074
1232	0.133
1233	0.187
1234	0.116
1235	0.17
1236	0.2
1237	0.17
1238	0.085
1239	0.062
1240	0.092
1241	0.177
1242	0.123
1243	0.136
1244	0.119
1245	-0.02
1246	0.034
1247	-0.015
1248	-0.099
1249	-0.14
1250	-0.242
1251	-0.273
1252	-0.26
1253	-0.381
1254	-0.386
1255	-0.355
1256	-0.186
1257	-0.263
1258	-0.245
1259	-0.16
1260	-0.12
1261	0.006
1262	0.037
1263	0.118
1264	0.167
1265	0.073
1266	0.108
1267	-0.013
1268	0.118
1269	0.221
1270	0.096
1271	0.149
1272	0.121
1273	0.117
1274	0.035
1275	0.13
1276	0.068
1277	0.073
1278	0.235
1279	0.235
1280	0.239
1281	0.316
1282	0.347
1283	0.339
1284	0.529
1285	0.472
1286	0.482
1287	0.62
1288	0.544
1289	0.436
1290	0.318
1291	0.318
1292	0.475
1293	0.39
1294	0.466
1295	0.305
1296	0.362
1297	0.321
1298	0.379
1299	0.492
1300	0.344
1301	0.259
1302	0.205
1303	0.044
1304	0.057
1305	-0.199
1306	-0.284
1307	-0.297
1308	-0.387
1309	-0.544
1310	-0.741
1311	-0.61
1312	-0.61
1313	-0.664
1314	-0.61
1315	-0.623
1316	-0.462
1317	-0.538
1318	-0.588
1319	-0.48
1320	-0.329
1321	-0.275
1322	-0.275
1323	-0.055
1324	0.094
1325	-0.006
1326	0.083
1327	0.191
1328	0.365
1329	0.258
1330	0.151
1331	0.115
1332	0.2
1333	0.092
1334	-0.087
1335	-0.313
1336	-0.205
1337	-0.42
1338	-0.545
1339	-0.568
1340	-0.394
1341	-0.488
1342	-0.586
1343	-0.496
1344	-0.312
1345	-0.096
1346	0.052
1347	0.057
1348	0.208
1349	0.203
1350	0.118
1351	0.092
1352	0.379
1353	0.339
1354	0.138
1355	0.151
1356	0.061
1357	-0.021
1358	-0.079
1359	-0.231
1360	-0.198
1361	-0.229
1362	-0.347
1363	-0.423
1364	-0.387
1365	-0.428
1366	-0.437
1367	-0.429
1368	-0.298
1369	-0.193
1370	0.004
1371	0.115
1372	0.079
1373	0.079
1374	-0.034
1375	0.073
1376	0.202
1377	0.114
1378	0.124
1379	0.074
1380	0.141
1381	0.128
1382	-0.041
1383	0.228
1384	0.192
1385	0.238
1386	0.287
1387	0.171
1388	0.197
1389	0.007
1390	0.044
1391	-0.1
1392	-0.069
1393	0.01
1394	-0.197
1395	-0.076
1396	0.005
1397	0.015
1398	0.051
1399	-0.02
1400	0.031
1401	0
1402	0.013
1403	-0.161
1404	-0.215
1405	-0.089
1406	-0.146
1407	-0.143
1408	-0.261
1409	-0.181
1410	-0.168
1411	-0.101
1412	-0.214
1413	-0.273
1414	-0.296
1415	-0.166
1416	-0.246
1417	-0.233
