# Crete, Milcent - Oxygen Isotope and Accumulation Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2428
#
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/gisp/milcent/mc73-1y.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 1973
# --------------------
# Title 
#	Study_Name: Crete, Milcent - Oxygen Isotope and Accumulation Data
# --------------------
# Investigators
#	Investigators:  Dansgaard, W.; Johnsen, S.J.; Reeh, N.; Gundestrup, N.; Clausen, H.B.; Hammer, C.U.   
# --------------------
# Description_and_Notes
#	Description: 
# --------------------
# Publication
#	Authors: W. DANSGAARD, S. J. JOHNSEN, N. REEH, N. GUNDESTRUP, H. B. CLAUSEN & C. U. HAMMER
#	Published_Date_or_Year: 1975-05-01
#	Published_Title: Climatic changes, Norsemen and modern man
#	Journal_Name: Nature
#	Volume: 255
#	Edition: 	
#	Issue: 
#	Pages: 24-28
#	DOI: 10.1038/255024a0
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: Oxygen isotope analysis of anew ice core from the crest of the Greenland ice sheet reveals a climatic record of the past 1,420 years. Climatic changes of medium frequencies are in phase with corresponding changes in Iceland and England, whilst long-term changes at mid Atlantic longitudes are out of phase with Europe and North America. Reconciliation with Norse history suggests a strong climatic impact, and a parallel is drawn to the present critical situation of the human society.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
# --------------------
# Site_Information
#	Site_Name: 
#	Location: 
#	Country: 
#	Northernmost_Latitude: 72.56
#	Southernmost_Latitude: 72.56	 
#	Easternmost_Longitude: -38.45
#	Westernmost_Longitude: -38.45
#	Elevation: 3212 m
# --------------------
# Data_Collection
#	Collection_Name: 73Milc01
#	Earliest_Year: 1176
#	Most_Recent_Year: 1967 
#	Time_Unit: y_ad
#	Notes: {"database":"LMR_FM"}
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age,,,years AD,,,,,N
##d18O	delta 18 oxygen,,,permil SMOW,,Ice Cores,,,N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age 	d18O
1967	-32.06
1966	-28.93
1965	-29.09
1964	-28.14
1963	-29.44
1962	-28.76
1961	-27.87
1960	-29.56
1959	-28.87
1958	-28.82
1957	-29.06
1956	-28.27
1955	-28.81
1954	-28.77
1953	-28.94
1952	-28.07
1951	-28.88
1950	-29.43
1949	-30.73
1948	-29.36
1947	-28.91
1946	-28.29
1945	-28.45
1944	-29.41
1943	-30.45
1942	-28.65
1941	-27.4
1940	-30.54
1939	-29.01
1938	-29.86
1937	-31.36
1936	-27.76
1935	-29.48
1934	-29.84
1933	-29.18
1932	-27.47
1931	-28.97
1930	-29.57
1929	-27.73
1928	-28.83
1927	-30.32
1926	-30.14
1925	-29.39
1924	-31.29
1923	-28.71
1922	-30.58
1921	-33.07
1920	-30.53
1919	-31.25
1918	-31.58
1917	-29.56
1916	-25.69
1915	-29.04
1914	-30.74
1913	-29.62
1912	-29.12
1911	-30.79
1910	-29.43
1909	-27.79
1908	-29.07
1907	-29.39
1906	-30.39
1905	-29.89
1904	-33.17
1903	-30.31
1902	-26.64
1901	-28.95
1900	-30.43
1899	-30.82
1898	-29.49
1897	-29.75
1896	-28.68
1895	-27.61
1894	-28.55
1893	-28.72
1892	-28.32
1891	-30.33
1890	-31.45
1889	-29.61
1888	-28.48
1887	-29.14
1886	-30.37
1885	-31.07
1884	-32.64
1883	-31.17
1882	-30.97
1881	-29.72
1880	-28.62
1879	-29.23
1878	-28.57
1877	-31.02
1876	-29.58
1875	-29.63
1874	-30.09
1873	-29.64
1872	-28.75
1871	-28.41
1870	-29.55
1869	-29.23
1868	-31.87
1867	-29.03
1866	-29.52
1865	-30.93
1864	-29.54
1863	-31.37
1862	-32.31
1861	-30.15
1860	-30.06
1859	-30.19
1858	-29.96
1857	-29.32
1856	-28.97
1855	-30.33
1854	-29.47
1853	-29.79
1852	-27.95
1851	-28.5
1850	-28.28
1849	-29.2
1848	-28.49
1847	-29.12
1846	-29.17
1845	-30.09
1844	-29.46
1843	-29.76
1842	-28.67
1841	-28.52
1840	-29.11
1839	-31.5
1838	-29.34
1837	-30.22
1836	-31.21
1835	-31.26
1834	-29.07
1833	-30.05
1832	-29.6
1831	-29.05
1830	-28.88
1829	-29.8
1828	-28.63
1827	-30.23
1826	-31
1825	-29.36
1824	-28.7
1823	-29.71
1822	-28.6
1821	-28.91
1820	-28.47
1819	-29.42
1818	-31.73
1817	-31.89
1816	-29.85
1815	-29.45
1814	-30.14
1813	-30.64
1812	-28.44
1811	-29.49
1810	-30.45
1809	-29.38
1808	-28.36
1807	-27.84
1806	-29.9
1805	-29.55
1804	-29.36
1803	-29.7
1802	-31.37
1801	-28.28
1800	-29.78
1799	-30.66
