# Crete, Milcent - Oxygen Isotope and Accumulation Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2428
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/gisp/crete/ct85h-1y.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 1988
# --------------------
# Title 
#	Study_Name: Crete, Milcent - Oxygen Isotope and Accumulation Dataa
# --------------------
# Investigators
#	Investigators:  Clausen, H.B.;Gundestrup, N.;Johnsen, S.J.;Bindschadler, R.;Zwally, J. 
# --------------------
# Description_and_Notes
# 	Description: 
#
# --------------------
# Publication
#	Authors: H.B. Clausen, N.S. Gundestrup, S.J. Johnsen, R. Bindschadler, and J. Zwalley
#	Published_Date_or_Year: 1988
#	Published_Title:  Glaciological Investigations in the Crete area, central Greenland: A search for a new deep-drilling site.
#	Journal_Name: Annals of Glaciology
#	Volume: 10
#	Edition: 	
#	Issue: 
#	Pages: 10-15
#	DOI: 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: The results of the 1984-85 post-GISP campaigns incentral Greenland are presented. Eight ice cores were obtained, some spanning up to 360 years. We present: I. Geographical positions and elevations at the drill sites, Il. Density and temperature in the bore holes, Ill. Filtered 6180 profiles and accumulation-rate variations along the ice cores.The 6180 and accumulation profiles, along with those from the 400 m Crete ice core obtained in 1974, are compared. The accumulation-rate series over a large region have a very high coherence. This indicates that a single bore hole in this region would give a representative accumulation time series over a long period. Further, it appears that for this region there is a linear relation between the measured annual accumulation rate and the mean annual 6 180 values. Thus the area between Crete and Summit, just west of the ice divide, seems to be favorable for a deep-drilling operation. 
# --------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant: 
# --------------------
# Site_Information
#	Site_Name: Crete
#	Location: North America>Greenland
#	Country: 
#	Northernmost_Latitude: 71.12
#	Southernmost_Latitude: 71.12
#	Easternmost_Longitude: -44.58
#	Westernmost_Longitude: -44.58
#	Elevation: 2410 m
# --------------------
# Data_Collection
#	Collection_Name: 74Cret01
#	Earliest_Year: 1859
#	Most_Recent_Year: 1973
#	Time_Unit: y_ad
#	Notes: {"database":"LMR_FM"}
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age,,,years AD,,,,,N
##d18O	delta 18 oxygen,,,permil SMOW,,Ice Cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	d18O
1973.000	-39.12
1972.938	-39.63
1972.875	-39.05
1972.813	-37.32
1972.750	-35
1972.688	-32.43
1972.625	-31.46
1972.563	-31.03
1972.500	-31.11
1972.438	-31.08
1972.375	-30.76
1972.313	-29.08
1972.250	-28.43
1972.188	-29.2
1972.125	-30.49
1972.063	-32.05
1972.000	-32.86
1971.938	-33.25
1971.875	-33.43
1971.813	-34.63
1971.750	-37.22
1971.688	-39.51
1971.625	-39.72
1971.563	-37.91
1971.500	-34.17
1971.438	-33.73
1971.375	-32.63
1971.313	-30.4
1971.250	-28.63
1971.188	-27.98
1971.125	-28.39
1971.063	-30.97
1971.000	-33.86
1970.938	-35.45
1970.875	-36.2
1970.813	-36.72
1970.750	-37
1970.688	-37.08
1970.625	-37.25
1970.563	-37.19
1970.500	-36.06
1970.438	-34.61
1970.375	-32.56
1970.313	-30.08
1970.250	-27.78
1970.188	-27.01
1970.125	-27.53
1970.063	-28.83
1970.000	-32.39
1969.938	-34.04
1969.875	-35.31
1969.813	-36.04
1969.750	-35.81
1969.688	-35.37
1969.625	-35.58
1969.563	-36.06
1969.500	-36.88
1969.438	-37.64
1969.375	-36.86
1969.313	-35.05
1969.250	-33.09
1969.188	-31.53
1969.125	-30.4
1969.063	-29.77
1969.000	-29.42
1968.938	-29.55
1968.875	-30.49
1968.813	-32.08
1968.750	-33.62
1968.688	-35.05
1968.625	-35.56
1968.563	-35.61
1968.500	-35.56
1968.438	-34.26
1968.375	-32.61
1968.313	-31.07
1968.250	-30.35
1968.188	-29.52
1968.125	-29.65
1968.063	-30.55
1968.000	-32.52
1967.938	-34.44
1967.875	-35.96
1967.813	-37.06
1967.750	-38.08
1967.688	-38.2
1967.625	-38.59
1967.563	-39.04
1967.500	-39.24
1967.438	-38.21
1967.375	-36.45
1967.313	-34.93
1967.250	-34.21
1967.188	-33.92
1967.125	-33.64
1967.063	-33.87
1967.000	-35.1
1966.938	-35.78
1966.875	-35.8
1966.813	-34.34
1966.750	-34.01
1966.688	-32.8
1966.625	-31.94
1966.563	-30.71
1966.500	-30.15
1966.438	-30.88
1966.375	-31.3
1966.313	-31.53
1966.250	-32.65
1966.188	-34.71
1966.125	-35.78
1966.063	-36.54
1966.000	-36.39
1965.938	-35.96
1965.875	-35.53
1965.813	-34.79
1965.750	-33.2
1965.688	-31.55
1965.625	-30.8
1965.563	-30.94
1965.500	-32.24
1965.438	-33.75
1965.375	-34.49
1965.313	-33.97
1965.250	-33.56
1965.188	-33.04
1965.125	-32.79
1965.063	-33.21
1965.000	-34.12
1964.938	-35.38
1964.875	-37.09
1964.813	-38.01
1964.750	-37.97
1964.688	-37.03
1964.625	-35.65
1964.563	-34.36
1964.500	-33.11
1964.438	-32.08
1964.375	-31.84
1964.313	-32
1964.250	-32.73
1964.188	-33.4
1964.125	-33.92
1964.063	-34.74
1964.000	-35.14
1963.938	-35.27
1963.875	-34.95
1963.813	-34.44
1963.750	-34.08
1963.688	-34
