# Newall Glacier Ice Core Data
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
# Online_resource:https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:2427
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/antarctica/newall/pit_88_chem.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 1998
# --------------------
# Title 
#	Study_Name:Newall Glacier Ice Core Data 
# --------------------
# Investigators
#	Investigators: Mayewski, P.A.; Lyons, W.B.; Zielinski, G.; Twickler, M.; Whitlow, S.; Dibb, J.; Grootes, P.; Taylor, K.; Whung, P.Y.; Fosberry, L.; Wake, C.; Welch, K.
# --------------------
# Description_and_Notes
# 	Description: Newall Glacier (162o30'E, 77o35'S) 
#	6M snow pit dug and sampled in 1987, 2.25 cm sampling interval 
#	4M snow pit dug and sampled in 1988, 1 cm sampling interval 
#
# --------------------
# Publication
#	Authors: P. A. Mayewski, W. B. Lyons, G. Zielinski, M. Twickler, S. Whitlow, J. Dibb1, P. Grootes, K. Taylor, P.-Y. Whung, L. Fosberry, C. Wake andK. Welch
#	Published_Date_or_Year: 1995
#	Published_Title: An Ice-Core-Based, Late Holocene History for the Transantarctic Mountains, Antarctica
#	Journal_Name: Contributions to Antarctic Research IV, Antarctic Res Series
#	Volume: 67		
#	Edition: 	
#	Issue: 
#	Pages: 33-45
#	DOI: 
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: 
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: Newall Glacier
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -77.58
#	Southernmost_Latitude: -77.58
#	Easternmost_Longitude: -85.25
#	Westernmost_Longitude: -85.25
#	Elevation: 2700m
# --------------------
# Data_Collection
#	Collection_Name: 87Newa01
#	Earliest_Year: 1942
#	Most_Recent_Year: 1989
#	Time Unit: AD
#
# --------------------
# Variables
#	
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	Age,,,year AD,,,,,N
##d18O		d18O,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age_AD	d18O
1989	-33.48
1988.8	-38.75
1988.6	-40.49
1988.4	-34.65
1988.2	-30.19
1988	-27.43
1987.9	-28.08
1987.8	-26.46
1987.7	-26.43
1987.6	-26.88
1987.5	-27.7
1987.4	-29.17
1987.3	-30.37
1987.2	-31.12
1987.1	-31.96
1987	-32.07
1986.87	-32.65
1986.75	-31.44
1986.62	-31.3
1986.5	-30.76
1986.37	-30.02
1986.25	-29.42
1986.12	-29.14
1986	-28.58
1985.83	-28.24
1985.66	-28.05
1985.5	-28.18
1985.33	-28.22
1985.16	-28.37
1985	-28.18
1984.91	-28.1
1984.83	-27.91
1984.75	-28.06
1984.66	-27.89
1984.58	-28.08
1984.5	-28.1
1984.41	-28.49
1984.33	-28.84
1984.25	-29.26
1984.17	-29.71
1984.08	-30.23
1984	-30.71
1983.67	-31.05
1983.34	-31.6
1983	-32.08
1982.85	-32.68
1982.71	-32.97
1982.57	-33.33
1982.42	-33.64
1982.28	-33.8
1982.14	-33.8
1982	-33.69
1981.8	-33.57
1981.6	-33.31
1981.4	-32.95
1981.2	-32.67
1981	-31.98
1980.92	-31.41
1980.85	-30.66
1980.78	-30.22
1980.71	-29.9
1980.64	-29.57
1980.57	-29.38
1980.5	-29.14
1980.42	-29.14
1980.35	-29
1980.28	-28.94
1980.21	-28.8
1980.14	-28.73
1980.07	-28.71
1980	-28.66
1979.94	-28.56
1979.88	-28.49
1979.83	-28.46
1979.77	-28.3
1979.72	-28.11
1979.66	-28.09
1979.61	-27.82
1979.55	-27.71
1979.5	-27.55
1979.44	-27.27
1979.38	-27.09
1979.33	-26.95
1979.27	-26.66
1979.22	-26.54
1979.16	-26.19
1979.11	-26.05
1979.05	-25.73
1979	-25.58
1978.88	-25.28
1978.77	-25.07
1978.66	-24.88
1978.55	-24.7
1978.44	-24.53
1978.33	-24.49
1978.22	-24.35
1978.11	-24.23
1978	-24.21
1977.9	-24.27
1977.81	-24.38
1977.72	-24.44
1977.63	-24.76
1977.54	-25.01
1977.45	-25.29
1977.36	-25.76
1977.27	-26.07
1977.18	-26.65
1977.09	-26.94
1977	-999
1976.9	-999
1976.8	-999
1976.7	-999
1976.6	-999
1976.5	-999
1976.4	-999
1976.3	-999
1976.2	-999
1976.1	-999
1976	-999
1975.8	-33.48
1975.6	-33.61
1975.4	-33.59
1975.2	-33.64
1975	-34.01
1974.92	-33.87
1974.85	-33.76
1974.78	-33.71
1974.71	-33.73
1974.64	-33.58
1974.57	-33.66
1974.5	-33.56
1974.42	-33.38
1974.35	-33.23
1974.28	-33.2
1974.21	-33.04
1974.14	-32.92
1974.07	-32.84
1974	-32.72
1973.8	-32.53
1973.6	-32.47
