# AGASSIZ Ice Core
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: 
#
# Original_Source_URL: 
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2015
# --------------------
# Title 
#	Study_Name: AGASSIZ Ice Core
#
# --------------------
# Investigators
#	Investigators: Fisher, D.A.; Koerner, R.M.
# --------------------
# Description_and_Notes
#	Description: 
#
# --------------------
# Publication
#	Authors: David A. Fisher, Roy M. Koerner
#	Published_Date_or_Year: 1994-06
#	Published_Title: Signal and noise in four ice-core records from the Agassiz Ice Cap, Ellesmere Island, Canada: details of the last millennium for stable isotopes, melt and solid conductivity
#	Journal_Name: The Holocene
#	Volume: 4
#	Edition: 	
#	Issue: 2 
#	Pages: 113-120
#	DOI: 10.1177/095968369400400201
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: Four ice cores and two deep pit/auger sequences from the top of the Agassiz Ice Cap have been variously analysed for delta(O18), ECM (solid conductivity) and ice melt-layer stratigraphy. The high- resolution data are presented on time scales covering about the last 1000 years. The 8 time series are compared and the noise examined in terms of snow-drifting and wind-scouring of winter snow from the higher exposed parts of flow lines. The highly scoured 8 records reflect a mixture of summer-biased conditions and the amount of winter-scoured snow. Sites away from the ridges and domes are not scoured. The signal part of the scoured and unscoured sites is obtained by stacking (averaging normalized series). The stacked unscoured series of 8 and accumulation are compared to similar stacked series from central Greenland for the last century of annual averages. The comparison is surprisingly good suggesting that at these resolutions low-noise 8 series have some coherence over fairly large distances. The percentage melt series are presented and compared to those from the Devon Island Ice Cap.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant: 
# --------------------
# Site_Information
#	Site_Name: Agassiz Ice Cap
#	Location: North America>Canada	
#	Country: Canada
#	Northernmost_Latitude: 80.7
#	Southernmost_Latitude: 80.7
#	Easternmost_Longitude: -72.830
#	Westernmost_Longitude: -72.830
#	Elevation: 2616 m
# --------------------
# Data_Collection
#	Collection_Name: 94Agas01
#	Earliest_Year: 1216
#	Most_Recent_Year: 1972
#	Time Unit: AD
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	Age,,,year AD,,,,,N
##d18O 		dO18,,,per mil SMOW,,ice cores,,,N
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing variables: NAN
#
age_AD	d18O
1972.0000	-27.9000
1971.0000	-26.0800
1970.0000	-25.9900
1969.0000	-28.2400
1968.0000	-26.5700
1967.0000	-26.4400
1966.0000	-26.4700
1965.0000	-26.9500
1964.0000	-27.6000
1963.0000	-27.5100
1962.0000	-27.1800
1961.0000	-26.5000
1960.0000	-26.7800
1959.0000	-25.4300
1958.0000	-25.1700
1957.0000	-24.9700
1956.0000	-24.6800
1955.0000	-24.4800
1954.0000	-26.3200
1953.0000	-25.9900
1952.0000	-26.4100
1951.0000	-27.2000
1950.0000	-28.2200
1949.0000	-28.1600
1948.0000	-27.9100
1947.0000	-27.9400
1946.0000	-28.1800
1945.0000	-27.7600
1944.0000	-27.6500
1943.0000	-27.4100
1942.0000	-27.0200
1941.0000	-27.3500
1940.0000	-27.2100
1939.0000	-27.0600
1938.0000	-26.9000
1937.0000	-26.7000
1936.0000	-27.0100
1935.0000	-27.3200
1934.0000	-27.0600
1933.0000	-26.6000
1932.0000	-26.9300
1931.0000	-29.0800
1930.0000	-28.3900
1929.0000	-27.7000
1928.0000	-27.1500
1927.0000	-27.6300
1926.0000	-28.1600
1925.0000	-28.2900
1924.0000	-28.0000
1923.0000	-27.7100
1922.0000	-27.7800
1921.0000	-27.9300
1920.0000	-27.8300
1919.0000	-27.7800
1918.0000	-27.7500
1917.0000	-27.7400
1916.0000	-27.7600
1915.0000	-27.5800
1914.0000	-27.2300
1913.0000	-26.9700
1912.0000	-27.1400
1911.0000	-27.4200
1910.0000	-26.6600
1909.0000	-26.9400
1908.0000	-27.5700
1907.0000	-28.1200
1906.0000	-28.2600
1905.0000	-27.7900
1904.0000	-27.5700
1903.0000	-27.3300
1902.0000	-27.1300
1901.0000	-26.9900
1900.0000	-26.4000
1899.0000	-26.2400
1898.0000	-26.1100
1897.0000	-26.8500
1896.0000	-27.0000
1895.0000	-27.2100
1894.0000	-27.1400
1893.0000	-27.1000
1892.0000	-27.0900
1891.0000	-26.9600
1890.0000	-26.6900
1889.0000	-26.6300
1888.0000	-26.5900
1887.0000	-26.5000
1886.0000	-26.5300
1885.0000	-26.5800
1884.0000	-27.3300
1883.0000	-27.9000
1882.0000	-29.4100
1881.0000	-29.2900
1880.0000	-29.0200
1879.0000	-28.0400
1878.0000	-28.3600
1877.0000	-28.4500
1876.0000	-28.0600
1875.0000	-27.8300
1874.0000	-27.6600
1873.0000	-27.4600
1872.0000	-27.4700
1871.0000	-27.5000
1870.0000	-27.7400
1869.0000	-27.3300
1868.0000	-26.9200
1867.0000	-26.1600
1866.0000	-27.5600
1865.0000	-28.1100
1864.0000	-28.2600
1863.0000	-28.3100
1862.0000	-28.3700
1861.0000	-28.4300
1860.0000	-28.5000
1859.0000	-28.8600
1858.0000	-29.3700
1857.0000	-30.9700
1856.0000	-30.9300
1855.0000	-30.6800
1854.0000	-30.0500
1853.0000	-29.7100
1852.0000	-29.4900
1851.0000	-29.2500
1850.0000	-27.6300
1849.0000	-27.4400
1848.0000	-27.3600
1847.0000	-27.4400
1846.0000	-27.4100
1845.0000	-27.6200
1844.0000	-28.0600
1843.0000	-27.7600
1842.0000	-27.7400
1841.0000	-27.7600
1840.0000	-27.8900
1839.0000	-28.2000
1838.0000	-28.4600
1837.0000	-28.8000
1836.0000	-28.4600
1835.0000	-28.1700
1834.0000	-27.8000
1833.0000	-27.7200
1832.0000	-27.7800
1831.0000	-27.8500
1830.0000	-27.5600
1829.0000	-27.4500
1828.0000	-27.5000
1827.0000	-27.6600
1826.0000	-27.7300
1825.0000	-27.8500
1824.0000	-28.0200
1823.0000	-28.4000
1822.0000	-28.3600
1821.0000	-28.3300
1820.0000	-28.2900
1819.0000	-27.9700
1818.0000	-26.9400
1817.0000	-26.3500
1816.0000	-26.7600
1815.0000	-27.6000
1814.0000	-27.7200
1813.0000	-27.5400
1812.0000	-27.3500
1811.0000	-27.1700
1810.0000	-27.0400
1809.0000	-27.0900
1808.0000	-27.2500
1807.0000	-27.4100
1806.0000	-27.6800
1805.0000	-27.9100
1804.0000	-28.0500
1803.0000	-28.2100
1802.0000	-27.9400
1801.0000	-27.6900
1800.0000	-27.4400
1799.0000	-27.0600
1798.0000	-27.2600
1797.0000	-27.2600
1796.0000	-26.8200
1795.0000	-27.2000
1794.0000	-27.2600
1793.0000	-27.1500
1792.0000	-26.9600
1791.0000	-27.1700
1790.0000	-27.5500
1789.0000	-28.2000
1788.0000	-28.4900
1787.0000	-28.4300
1786.0000	-28.1000
1785.0000	-27.0200
1784.0000	-27.1200
1783.0000	-27.2300
1782.0000	-27.3600
1781.0000	-27.2600
1780.0000	-27.2300
1779.0000	-27.3100
1778.0000	-27.1100
1777.0000	-26.8700
1776.0000	-27.9100
1775.0000	-28.1400
1774.0000	-28.0700
1773.0000	-28.2200
1772.0000	-28.3700
1771.0000	-28.2600
1770.0000	-28.1900
1769.0000	-28.0200
1768.0000	-27.8400
1767.0000	-27.7100
1766.0000	-27.4100
1765.0000	-27.2700
1764.0000	-26.9300
1763.0000	-27.0100
1762.0000	-27.0700
1761.0000	-27.2800
1760.0000	-27.4200
1759.0000	-27.9600
1758.0000	-27.8700
1757.0000	-27.7600
1756.0000	-27.5900
1755.0000	-27.5100
1754.0000	-28.0200
1753.0000	-28.0000
1752.0000	-27.8600
1751.0000	-27.7600
1750.0000	-27.6700
1749.0000	-28.0100
1748.0000	-28.1300
1747.0000	-28.5700
1746.0000	-28.6000
1745.0000	-28.6500
1744.0000	-29.0100
1743.0000	-29.1900
1742.0000	-28.8300
1741.0000	-29.0200
1740.0000	-30.0600
1739.0000	-30.0300
1738.0000	-29.9800
1737.0000	-29.0600
1736.0000	-28.5400
1735.0000	-29.1000
1734.0000	-29.2300
1733.0000	-29.8600
1732.0000	-29.6800
1731.0000	-29.4400
1730.0000	-29.8400
1729.0000	-29.9300
1728.0000	-29.5700
1727.0000	-29.1200
1726.0000	-28.4600
1725.0000	-28.3600
1724.0000	-28.3100
1723.0000	-28.0100
1722.0000	-28.3200
1721.0000	-29.0000
1720.0000	-29.1500
1719.0000	-29.2600
1718.0000	-28.1900
1717.0000	-27.9500
1716.0000	-27.4500
1715.0000	-27.6100
1714.0000	-27.8600
1713.0000	-27.8400
1712.0000	-27.8000
1711.0000	-27.7500
1710.0000	-27.5100
1709.0000	-27.5100
1708.0000	-27.8700
1707.0000	-27.8900
1706.0000	-28.3600
1705.0000	-28.4700
1704.0000	-28.6500
1703.0000	-28.7400
1702.0000	-28.7600
1701.0000	-28.7900
1700.0000	-28.8700
1699.0000	-29.0700
1698.0000	-29.0800
1697.0000	-29.1900
1696.0000	-29.1900
1695.0000	-28.9000
1694.0000	-28.8600
1693.0000	-29.0000
1692.0000	-28.2000
1691.0000	-27.6700
1690.0000	-27.3100
1689.0000	-27.4200
1688.0000	-27.4700
1687.0000	-27.6200
1686.0000	-28.1300
1685.0000	-28.7200
1684.0000	-29.1600
1683.0000	-29.5200
1682.0000	-29.6900
1681.0000	-29.1000
1680.0000	-28.9200
1679.0000	-28.8200
1678.0000	-28.6900
1677.0000	-28.7100
1676.0000	-28.6300
1675.0000	-28.5200
1674.0000	-28.3300
1673.0000	-28.1800
1672.0000	-28.2000
1671.0000	-28.2100
1670.0000	-27.9000
1669.0000	-27.6900
1668.0000	-27.5400
1667.0000	-27.4200
1666.0000	-27.7400
1665.0000	-28.3200
1664.0000	-28.8400
1663.0000	-29.4000
1662.0000	-28.9100
1661.0000	-28.3700
1660.0000	-27.9800
1659.0000	-27.8100
1658.0000	-27.9400
1657.0000	-28.5400
1656.0000	-28.6200
1655.0000	-28.0900
1654.0000	-27.3300
1653.0000	-27.2800
1652.0000	-27.4500
1651.0000	-27.8200
1650.0000	-28.6500
1649.0000	-29.1400
1648.0000	-29.5400
1647.0000	-29.8500
1646.0000	-29.2800
1645.0000	-29.0600
1644.0000	-29.3600
1643.0000	-30.5000
1642.0000	-28.3700
1641.0000	-29.0000
1640.0000	-29.7900
1639.0000	-27.6500
1638.0000	-27.2300
1637.0000	-27.1200
1636.0000	-27.1500
1635.0000	-27.1900
1634.0000	-27.2500
1633.0000	-27.3000
1632.0000	-27.6700
1631.0000	-27.7600
1630.0000	-27.9100
1629.0000	-28.0900
1628.0000	-28.2000
1627.0000	-28.2800
1626.0000	-28.5100
1625.0000	-28.6500
1624.0000	-28.5900
1623.0000	-28.3500
1622.0000	-28.1500
1621.0000	-27.6300
1620.0000	-27.5900
1619.0000	-27.5500
1618.0000	-27.6300
1617.0000	-27.7700
1616.0000	-28.0700
1615.0000	-28.0500
1614.0000	-28.0000
1613.0000	-27.7400
1612.0000	-27.5900
1611.0000	-27.4700
1610.0000	-27.3500
1609.0000	-27.3800
1608.0000	-27.4400
1607.0000	-27.7300
1606.0000	-27.8600
1605.0000	-28.1000
1604.0000	-28.2700
1603.0000	-28.4300
1602.0000	-28.7400
1601.0000	-28.7200
1600.0000	-28.5700
1599.0000	-28.8700
1598.0000	-29.0400
1597.0000	-28.5000
1596.0000	-28.4200
1595.0000	-28.2800
1594.0000	-28.1400
1593.0000	-28.0700
1592.0000	-27.8800
1591.0000	-27.9900
1590.0000	-28.1900
1589.0000	-28.6000
1588.0000	-28.7900
1587.0000	-29.3000
1586.0000	-29.3600
1585.0000	-29.4800
1584.0000	-28.9300
