# GISP2 Stable Isotopes (Deuterium, High Resolution) 
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_study_id:17798
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/greenland/summit/gisp2/isotopes/deltad.txt
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 1997
# --------------------
# Title 
#	Study_Name: GISP2 Stable Isotopes (Deuterium, High Resolution)
# --------------------
# Investigators
#	Investigators:  Barlow, L.K., Rogers, J.C., Serreze, M.C., Barry, R.G. 
# --------------------
# Description_and_Notes
# 	Description: These are the high resolution (~10 samples per year) hydrogen isotope (delta deuterium) data produced in the Stable Isotope Laboratory of at theUniversity of Colorado. All data are from the GISP2 "B" core.  The ages given in this file are from the final B-core timescale (filebcoreage.dat). 
#
# --------------------
# Publication
#	Authors: L. K. Barlow, J. C. Rogers, M. C. Serreze, R. G. Barry
#	Published_Date_or_Year: 1997
#	Published_Title: Aspects of climate variability in the North Atlantic sector: Discussion and relation to the Greenland Ice Sheet Project 2 high-resolution isotopic signal
#	Journal_Name: Jounral of Geophysical Research, Oceans
#	Volume: 102
#	Edition: 	
#	Issue: C12
#	Pages: 26333-26344
#	DOI: 10.1029/96JC02401
#	Online_Resource: 
#	Full_Citation:  
#	Abstract: This paper reviews aspects of climate variability in the North Atlantic sector that may influence the seasonal to decadal scale isotopic signal in the Greenland Ice Sheet Project 2 (GISP2) ice core. Interpretation of the isotopic signal and its spatial applicability at the seasonal level requires investigation into synoptic scale climatology. We discuss possible climatic influences of (1) likely source regions of precipitation reaching the GISP2 site, (2) the characteristics of cyclone activity over the North Atlantic sector, and (3) changes in major atmospheric features such as the mean sea level Icelandic Low and Azores High pressure systems, the North Atlantic Oscillation, and the Baffin trough. Next, we evaluate correlations between the GISP2 deuterium isotopic signal and coastal temperatures with atmospheric pressure patterns, thereby deriving climatic interpretations of the high-resolution isotopic record. The GISP2 site is influenced by both the Icelandic Low to the southeast and Davis Strait/Baffin Bay storms to the southwest and west. The North Atlantic Oscillation influences the GISP2 isotopic signal through the seesaw in winter temperatures between west Greenland and northern Europe. Agreement in excursion directions of GISP2 isotopes and east Greenland and Iceland temperature records is associated with different positions of the Baffin trough in winter and also with anomalous 500-mbar net geostrophic flow. Linkages between isotopic excursion direction and atmospheric variability need to be explored further by comparison with additional seasonal data sets from other Greenland ice cores.
# --------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant: 
# --------------------
# Site_Information
#	Site_Name: GISP2
#	Location: North America>Greenland
#	Country: 
#	Northernmost_Latitude: 72.583
#	Southernmost_Latitude: 72.583
#	Easternmost_Longitude: -37.683
#	Westernmost_Longitude: -37.683
#	Elevation: 3230 m
# --------------------
# Data_Collection
#	Collection_Name: 97GISP01
#	Earliest_Year: 679.94
#	Most_Recent_Year: -36.7942
#	Time_Unit: yb_1950
#	Notes: {"database":"LMR_FM"}
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age,,,years before 1950 AD,,,,,N
##delD	delta deuterium,,,permil SMOW,,Ice Cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age	delD
-36.7942	-204.03
-36.7519	-212.57
-36.7096	-221.11
-36.6673	-236.64
-36.6250	-252.64
-36.5827	-264.41
-36.5404	-276.17
-36.4981	-283.42
-36.4558	-289.84
-36.4135	-292.31
-36.3712	-294.82
-36.3289	-300.00
-36.2866	-306.58
-36.2443	-318.81
-36.2020	-326.21
-36.1597	-325.70
-36.1174	-319.10
-36.0751	-307.73
-36.0327	-293.27
-35.9851	-277.75
-35.9191	-269.36
-35.8531	-261.05
-35.7871	-248.55
-35.7211	-239.21
-35.6551	-237.67
-35.5891	-241.75
-35.5231	-252.19
-35.4571	-269.12
-35.3911	-289.53
-35.3251	-304.51
-35.2591	-318.10
-35.1931	-312.31
-35.1272	-303.59
-35.0612	-282.98
-34.9964	-269.20
-34.9471	-258.61
-34.8979	-249.39
-34.8486	-239.04
-34.7994	-226.17
-34.7501	-220.69
-34.7009	-221.75
-34.6516	-234.40
-34.6024	-250.77
-34.5531	-263.22
-34.5039	-272.30
-34.4546	-275.84
-34.4054	-274.52
-34.3561	-272.50
-34.3069	-271.76
-34.2576	-268.31
-34.2084	-262.46
-34.1591	-249.55
-34.1099	-235.97
-34.0606	-231.23
-34.0114	-226.95
-33.9648	-223.43
-33.9189	-223.12
-33.8731	-225.39
-33.8273	-231.58
-33.7814	-239.95
-33.7356	-250.27
-33.6898	-261.16
-33.6440	-272.88
-33.5981	-285.42
-33.5523	-301.37
-33.5065	-315.51
-33.4606	-312.62
-33.4148	-304.90
-33.3690	-294.59
-33.3231	-285.05
-33.2773	-276.66
-33.2315	-270.41
-33.1857	-259.25
-33.1398	-248.64
-33.0940	-242.37
-33.0482	-237.99
-33.0023	-235.76
-32.9334	-236.14
-32.8632	-240.61
-32.7930	-250.15
-32.7227	-269.80
-32.6525	-295.07
-32.5823	-315.67
-32.5121	-329.95
-32.4419	-339.72
-32.3717	-347.89
-32.3015	-345.15
-32.2313	-332.89
-32.1611	-300.53
-32.0908	-273.77
-32.0206	-253.03
-31.9314	-248.76
-31.8343	-257.64
-31.7372	-277.55
-31.6401	-290.01
-31.5430	-298.37
-31.4459	-302.63
-31.3488	-298.37
-31.2517	-290.52
-31.1546	-279.54
-31.0575	-266.25
-30.9741	-254.24
-30.9106	-243.64
-30.8471	-233.04
-30.7846	-234.43
-30.7211	-240.21
-30.6576	-249.53
-30.5941	-256.40
-30.5307	-263.04
-30.4672	-270.41
-30.4037	-282.59
-30.3402	-295.59
-30.2767	-307.74
-30.2132	-315.85
-30.1497	-311.13
-30.0862	-298.20
-30.0228	-280.17
-29.9641	-263.51
-29.9081	-248.96
-29.8522	-242.39
-29.7962	-238.55
-29.7403	-240.82
-29.6843	-248.94
-29.6284	-262.14
-29.5724	-274.59
-29.5165	-285.16
-29.4605	-294.05
-29.4045	-301.54
-29.3486	-307.74
-29.2926	-311.10
-29.2367	-303.80
-29.1807	-290.85
-29.1248	-276.86
-29.0688	-271.13
-29.0129	-269.69
-28.9331	-272.64
-28.8462	-288.23
-28.7593	-303.89
-28.6725	-316.34
-28.5856	-322.25
-28.4987	-316.87
-28.4132	-311.03
-28.3263	-306.46
-28.2394	-303.34
-28.1525	-295.88
-28.0656	-283.08
-27.9868	-266.89
-27.9327	-248.69
-27.8785	-242.18
-27.8244	-242.36
-27.7703	-249.34
-27.7162	-259.23
-27.6620	-269.41
-27.6079	-278.81
-27.5538	-287.26
-27.4997	-293.60
-27.4456	-297.74
-27.3914	-297.58
-27.3373	-292.63
-27.2832	-287.50
-27.2291	-281.80
-27.1750	-272.96
-27.1209	-260.54
-27.0667	-245.13
-27.0126	-228.66
-26.9578	-220.30
-26.9028	-216.63
-26.8478	-218.39
-26.7927	-223.70
-26.7377	-236.84
