# Arc_12 - PAGES 2K Torneträsk Maximum density Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Arc_12 - Torneträsk
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Grudd, H. 2008. Torneträsk tree-ring width and density AD 500-2004: a test of climatic sensitivity and a new 1500-year reconstru... <Preview truncated at 128 characters>  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Torneträsk
#	Location: Arctic
#	Country: Scandinavia
#	Northernmost_Latitude: 68.26
#	Southernmost_Latitude: 68.26
#	Easternmost_Longitude: 19.6
#	Westernmost_Longitude: 19.6
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Arc_12
#	Earliest_Year: 500
#	Most_Recent_Year: 2004
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"relationship":"positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##clim_signal	Maximum density, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	clim_signal
500.0	9.01
501.0	8.32
502.0	9.09
503.0	8.8
504.0	6.48
505.0	7.84
506.0	8.35
507.0	8.91
508.0	7.91
509.0	8.53
510.0	8.22
511.0	6.28
512.0	8.75
513.0	9.81
514.0	9.28
515.0	7.28
516.0	8.21
517.0	8.87
518.0	8.72
519.0	9.8
520.0	8.45
521.0	7.86
522.0	7.82
523.0	8.16
524.0	7.7
525.0	8.27
526.0	8.44
527.0	6.97
528.0	9.09
529.0	8.9
530.0	7.39
531.0	9.21
532.0	9.22
533.0	8.65
534.0	9.37
535.0	9.38
536.0	6.0
537.0	7.91
538.0	6.42
539.0	8.78
540.0	7.47
541.0	6.23
542.0	9.63
543.0	7.1
544.0	7.16
545.0	8.31
546.0	8.24
547.0	8.03
548.0	8.79
549.0	7.25
550.0	7.91
551.0	7.12
552.0	8.25
553.0	8.83
554.0	7.97
555.0	8.0
556.0	9.24
557.0	7.46
558.0	9.6
559.0	8.71
560.0	7.3
561.0	8.56
562.0	8.68
563.0	7.61
564.0	7.5
565.0	7.96
566.0	8.24
567.0	8.03
568.0	8.62
569.0	7.18
570.0	9.08
571.0	8.97
572.0	7.85
573.0	8.32
574.0	5.94
575.0	7.36
576.0	8.04
577.0	8.29
578.0	8.01
579.0	8.11
580.0	8.74
581.0	8.98
582.0	7.55
583.0	8.08
584.0	8.19
585.0	7.13
586.0	7.97
587.0	8.83
588.0	8.39
589.0	6.48
590.0	8.85
591.0	7.7
592.0	8.99
593.0	8.04
594.0	8.97
595.0	8.37
596.0	7.96
597.0	7.31
598.0	8.02
599.0	8.18
600.0	8.19
601.0	7.77
602.0	8.73
603.0	7.49
604.0	9.35
605.0	8.45
606.0	9.21
607.0	6.78
608.0	7.77
609.0	7.39
610.0	8.31
611.0	7.06
612.0	8.73
613.0	7.57
614.0	7.53
615.0	7.96
616.0	9.57
617.0	7.02
618.0	7.25
619.0	7.0
620.0	9.74
621.0	7.96
622.0	8.6
623.0	8.13
624.0	7.23
625.0	7.53
626.0	7.51
627.0	7.0
628.0	7.91
629.0	7.76
630.0	8.27
631.0	7.47
632.0	8.31
633.0	9.26
634.0	8.65
635.0	7.24
636.0	7.3
637.0	8.5
638.0	8.25
639.0	6.96
640.0	8.28
641.0	8.08
642.0	7.73
643.0	7.07
644.0	7.39
645.0	8.64
646.0	8.02
647.0	6.42
648.0	6.99
649.0	7.82
650.0	7.38
651.0	6.64
652.0	8.32
653.0	7.58
654.0	7.3
655.0	6.19
656.0	7.71
657.0	8.09
658.0	7.73
659.0	6.42
660.0	7.56
661.0	6.75
662.0	6.51
663.0	7.49
664.0	7.07
665.0	6.9
666.0	7.13
667.0	7.91
668.0	7.99
669.0	6.82
670.0	7.83
671.0	8.34
672.0	8.24
673.0	8.04
674.0	9.12
675.0	8.25
676.0	6.47
677.0	8.03
678.0	8.1
679.0	7.52
680.0	8.03
681.0	7.73
682.0	8.02
683.0	9.01
684.0	6.75
685.0	7.07
686.0	8.53
687.0	7.28
688.0	8.61
689.0	8.63
690.0	8.84
691.0	7.92
692.0	7.1
693.0	8.05
694.0	7.24
695.0	8.17
696.0	9.17
697.0	9.16
698.0	7.84
699.0	8.77
700.0	7.75
701.0	7.43
702.0	7.87
703.0	8.79
704.0	8.84
705.0	8.05
706.0	8.57
707.0	8.85
708.0	8.2
709.0	7.71
710.0	7.46
711.0	7.45
712.0	7.78
713.0	7.95
714.0	8.9
715.0	8.26
716.0	8.73
717.0	8.72
718.0	8.4
719.0	8.59
720.0	8.09
721.0	9.12
722.0	8.29
723.0	7.84
724.0	7.95
725.0	8.39
726.0	9.41
727.0	7.7
728.0	8.22
729.0	9.1
730.0	9.66
731.0	8.42
732.0	8.89
733.0	8.35
734.0	8.89
735.0	7.99
736.0	9.93
737.0	7.93
738.0	7.35
739.0	7.2
740.0	7.56
741.0	7.94
742.0	8.19
743.0	7.67
744.0	7.45
745.0	7.57
