# Asi_102 - PAGES 2K GANGCD Total ring width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_102 - GANGCD
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation:   /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: GANGCD
#	Location: Asia
#	Country: India (IN)
#	Northernmost_Latitude: 30.98
#	Southernmost_Latitude: 30.98
#	Easternmost_Longitude: 78.93
#	Westernmost_Longitude: 78.93
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_102
#	Earliest_Year: 1567.0
#	Most_Recent_Year: 1998.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"database":"LMR_FM"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1567.0	1.514
1568.0	1.066
1569.0	0.712
1570.0	0.797
1571.0	0.797
1572.0	1.464
1573.0	1.212
1574.0	0.919
1575.0	0.791
1576.0	0.869
1577.0	0.808
1578.0	0.935
1579.0	0.722
1580.0	0.73
1581.0	0.607
1582.0	0.838
1583.0	0.822
1584.0	0.662
1585.0	1.071
1586.0	1.032
1587.0	0.874
1588.0	0.693
1589.0	1.038
1590.0	1.462
1591.0	1.031
1592.0	1.101
1593.0	0.82
1594.0	0.599
1595.0	0.773
1596.0	1.668
1597.0	1.371
1598.0	1.534
1599.0	1.037
1600.0	1.211
1601.0	1.01
1602.0	0.998
1603.0	0.982
1604.0	0.963
1605.0	0.943
1606.0	0.922
1607.0	0.901
1608.0	0.881
1609.0	0.864
1610.0	0.745
1611.0	1.104
1612.0	1.238
1613.0	0.723
1614.0	0.595
1615.0	0.963
1616.0	0.969
1617.0	1.37
1618.0	1.072
1619.0	1.226
1620.0	1.096
1621.0	1.017
1622.0	0.792
1623.0	0.886
1624.0	0.64
1625.0	0.784
1626.0	1.14
1627.0	1.293
1628.0	0.836
1629.0	1.791
1630.0	0.965
1631.0	0.952
1632.0	1.234
1633.0	1.279
1634.0	0.94
1635.0	1.047
1636.0	1.407
1637.0	1.191
1638.0	0.845
1639.0	0.897
1640.0	0.971
1641.0	1.053
1642.0	0.436
1643.0	0.727
1644.0	0.728
1645.0	1.152
1646.0	0.931
1647.0	0.714
1648.0	0.614
1649.0	0.914
1650.0	0.601
1651.0	0.846
1652.0	1.146
1653.0	1.393
1654.0	1.443
1655.0	1.132
1656.0	1.32
1657.0	1.275
1658.0	0.871
1659.0	1.638
1660.0	1.15
1661.0	0.81
1662.0	1.234
1663.0	0.551
1664.0	0.846
1665.0	0.387
1666.0	0.717
1667.0	0.856
1668.0	2.105
1669.0	1.065
1670.0	1.442
1671.0	1.357
1672.0	0.983
1673.0	0.736
1674.0	0.581
1675.0	0.345
1676.0	0.561
1677.0	0.82
1678.0	0.763
1679.0	0.722
1680.0	0.824
1681.0	0.951
1682.0	0.884
1683.0	1.877
1684.0	1.436
1685.0	1.151
1686.0	2.109
1687.0	1.401
1688.0	0.953
1689.0	1.77
1690.0	1.358
1691.0	1.275
1692.0	0.763
1693.0	0.409
1694.0	0.684
1695.0	1.693
1696.0	1.491
1697.0	0.7
1698.0	0.778
1699.0	0.672
1700.0	0.674
1701.0	0.913
1702.0	1.232
1703.0	0.537
