# Asi_113 - PAGES 2K ONB Total ring width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_113 - ONB
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Yasue, K. (unpublished)  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: ONB
#	Location: Asia
#	Country: Japan (JP)
#	Northernmost_Latitude: 43.22
#	Southernmost_Latitude: 43.22
#	Easternmost_Longitude: 145.47
#	Westernmost_Longitude: 145.47
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_113
#	Earliest_Year: 1511
#	Most_Recent_Year: 1998
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##clim_signal	Total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	clim_signal
1511.0	0.752
1512.0	1.081
1513.0	1.216
1514.0	1.341
1515.0	1.221
1516.0	0.974
1517.0	1.053
1518.0	0.822
1519.0	0.81
1520.0	0.73
1521.0	0.779
1522.0	0.957
1523.0	0.822
1524.0	0.909
1525.0	1.097
1526.0	0.962
1527.0	1.001
1528.0	1.135
1529.0	0.975
1530.0	1.102
1531.0	0.982
1532.0	0.945
1533.0	1.019
1534.0	1.013
1535.0	0.956
1536.0	1.113
1537.0	1.166
1538.0	1.028
1539.0	1.338
1540.0	1.196
1541.0	1.288
1542.0	1.044
1543.0	0.908
1544.0	0.758
1545.0	1.006
1546.0	1.204
1547.0	1.172
1548.0	0.914
1549.0	0.903
1550.0	0.769
1551.0	1.04
1552.0	0.69
1553.0	0.887
1554.0	0.703
1555.0	0.657
1556.0	0.707
1557.0	0.875
1558.0	0.641
1559.0	0.728
1560.0	0.679
1561.0	0.869
1562.0	0.974
1563.0	0.875
1564.0	0.593
1565.0	0.818
1566.0	0.92
1567.0	1.138
1568.0	0.354
1569.0	0.996
1570.0	0.921
1571.0	0.831
1572.0	0.91
1573.0	1.02
1574.0	0.912
1575.0	1.024
1576.0	0.901
1577.0	1.042
1578.0	0.931
1579.0	0.809
1580.0	1.014
1581.0	1.111
1582.0	1.01
1583.0	1.029
1584.0	1.101
1585.0	1.173
1586.0	1.14
1587.0	1.035
1588.0	1.217
1589.0	1.1
1590.0	1.159
1591.0	1.15
1592.0	0.723
1593.0	0.854
1594.0	0.959
1595.0	0.821
1596.0	0.828
1597.0	0.704
1598.0	0.986
1599.0	0.889
1600.0	0.896
1601.0	1.073
1602.0	1.284
1603.0	1.009
1604.0	0.937
1605.0	0.868
1606.0	0.959
1607.0	1.141
1608.0	0.965
1609.0	0.863
1610.0	1.042
1611.0	0.946
1612.0	0.725
1613.0	0.942
1614.0	1.072
1615.0	1.133
1616.0	1.305
1617.0	1.152
1618.0	1.18
1619.0	1.048
1620.0	0.794
1621.0	0.855
1622.0	1.177
1623.0	0.923
1624.0	0.815
1625.0	0.79
1626.0	0.607
1627.0	0.676
1628.0	0.654
1629.0	0.762
1630.0	0.838
1631.0	0.639
1632.0	0.711
1633.0	0.897
1634.0	0.887
1635.0	1.043
1636.0	1.29
1637.0	1.296
1638.0	0.995
1639.0	1.159
1640.0	1.12
1641.0	0.839
1642.0	0.787
1643.0	0.904
1644.0	0.898
1645.0	1.118
1646.0	0.945
1647.0	1.079
1648.0	0.961
1649.0	0.926
1650.0	0.983
1651.0	0.76
1652.0	0.905
1653.0	0.821
1654.0	0.952
1655.0	0.837
1656.0	0.918
1657.0	1.065
1658.0	1.054
1659.0	1.112
1660.0	1.044
1661.0	1.34
1662.0	1.257
1663.0	1.09
1664.0	1.124
1665.0	0.882
1666.0	0.963
1667.0	0.837
1668.0	0.652
1669.0	0.788
1670.0	0.945
1671.0	0.941
1672.0	0.966
1673.0	1.061
1674.0	1.159
1675.0	1.609
1676.0	1.229
1677.0	1.225
1678.0	0.974
1679.0	0.975
1680.0	1.084
1681.0	1.083
1682.0	0.858
1683.0	0.847
1684.0	1.063
1685.0	1.145
1686.0	1.082
1687.0	0.997
1688.0	1.105
1689.0	0.921
1690.0	0.83
1691.0	0.889
1692.0	0.703
1693.0	1.078
1694.0	0.888
1695.0	0.787
1696.0	1.488
1697.0	1.186
1698.0	1.104
1699.0	1.185
1700.0	1.372
1701.0	1.022
1702.0	1.011
1703.0	1.031
1704.0	1.003
1705.0	0.615
1706.0	0.922
1707.0	0.833
1708.0	1.04
1709.0	0.901
1710.0	0.792
1711.0	1.027
1712.0	0.753
1713.0	0.937
1714.0	0.908
1715.0	0.761
1716.0	0.613
1717.0	0.998
1718.0	1.103
1719.0	0.974
1720.0	0.802
1721.0	0.937
1722.0	0.786
1723.0	0.785
1724.0	0.983
1725.0	1.051
1726.0	0.97
1727.0	0.962
1728.0	0.896
1729.0	1.168
1730.0	1.218
1731.0	1.152
1732.0	1.128
1733.0	0.758
1734.0	0.702
1735.0	1.003
1736.0	0.995
1737.0	0.902
1738.0	1.175
1739.0	1.278
1740.0	1.114
1741.0	1.358
1742.0	1.106
1743.0	0.853
1744.0	0.992
1745.0	0.984
1746.0	1.027
1747.0	0.83
1748.0	0.902
1749.0	0.643
1750.0	0.579
1751.0	0.729
1752.0	0.747
1753.0	0.766
1754.0	0.922
1755.0	0.654
1756.0	0.856
1757.0	0.775
1758.0	0.871
1759.0	0.806
1760.0	0.885
1761.0	0.964
1762.0	1.22
1763.0	1.013
1764.0	1.009
1765.0	1.075
1766.0	1.076
1767.0	1.242
1768.0	1.272
1769.0	1.318
1770.0	1.127
1771.0	0.978
1772.0	1.006
1773.0	1.143
