# Asi_137 - PAGES 2K KOKKIY Total ring width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_137 - KOKKIY
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Solomina, O.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: KOKKIY
#	Location: Asia
#	Country: Kazakhstan (KZ)
#	Northernmost_Latitude: 42.42
#	Southernmost_Latitude: 42.42
#	Easternmost_Longitude: 78.97
#	Westernmost_Longitude: 78.97
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_137
#	Earliest_Year: 1551.0
#	Most_Recent_Year: 2004.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"database":"LMR_FM"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1551.0	0.885
1552.0	1.266
1553.0	0.865
1554.0	0.979
1555.0	1.262
1556.0	1.032
1557.0	1.27
1558.0	1.016
1559.0	1.129
1560.0	1.109
1561.0	1.027
1562.0	0.769
1563.0	1.063
1564.0	0.835
1565.0	0.851
1566.0	0.902
1567.0	1.134
1568.0	0.922
1569.0	0.791
1570.0	0.713
1571.0	0.772
1572.0	0.79
1573.0	0.846
1574.0	1.088
1575.0	0.967
1576.0	0.873
1577.0	1.0
1578.0	0.931
1579.0	1.0
1580.0	0.972
1581.0	0.968
1582.0	1.149
1583.0	1.144
1584.0	1.183
1585.0	0.978
1586.0	0.866
1587.0	0.802
1588.0	1.031
1589.0	0.8
1590.0	0.743
1591.0	0.811
1592.0	0.841
1593.0	0.81
1594.0	0.917
1595.0	1.022
1596.0	1.002
1597.0	1.106
1598.0	0.953
1599.0	1.043
1600.0	1.034
1601.0	1.067
1602.0	1.255
1603.0	1.092
1604.0	1.091
1605.0	1.306
1606.0	1.478
1607.0	1.346
1608.0	1.205
1609.0	1.227
1610.0	1.088
1611.0	1.064
1612.0	1.362
1613.0	1.553
1614.0	1.294
1615.0	1.102
1616.0	1.283
1617.0	1.244
1618.0	1.125
1619.0	1.085
1620.0	1.208
1621.0	1.053
1622.0	0.93
1623.0	0.899
1624.0	0.834
1625.0	1.074
1626.0	0.911
1627.0	0.848
1628.0	1.015
1629.0	1.129
1630.0	0.872
1631.0	0.98
1632.0	1.021
1633.0	0.839
1634.0	0.732
1635.0	1.243
1636.0	1.092
1637.0	1.118
1638.0	0.902
1639.0	0.866
1640.0	1.04
1641.0	0.785
1642.0	0.829
1643.0	0.842
1644.0	0.957
1645.0	0.813
1646.0	1.012
1647.0	0.908
1648.0	1.067
1649.0	1.156
1650.0	0.989
1651.0	1.225
1652.0	1.197
1653.0	0.998
1654.0	1.187
1655.0	1.232
1656.0	0.915
1657.0	0.916
1658.0	1.078
1659.0	0.991
1660.0	0.984
1661.0	1.156
1662.0	1.022
1663.0	1.008
1664.0	1.23
1665.0	1.063
1666.0	0.953
1667.0	1.004
1668.0	1.136
1669.0	0.845
1670.0	0.899
1671.0	1.071
1672.0	1.034
1673.0	1.017
1674.0	1.14
1675.0	1.165
1676.0	0.944
1677.0	1.343
1678.0	1.113
1679.0	0.956
1680.0	0.868
1681.0	1.043
1682.0	0.906
1683.0	1.259
1684.0	1.098
1685.0	0.927
1686.0	0.887
1687.0	0.827
1688.0	1.161
1689.0	1.138
1690.0	0.988
1691.0	1.106
1692.0	0.761
