# Asi_147 - PAGES 2K KHELLS Total ring width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_147 - KHELLS
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Jacoby, G.C.; D'Arrigo, R.D.; Pederson, N.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: KHELLS
#	Location: Asia
#	Country: Mongolia (MG)
#	Northernmost_Latitude: 49.92
#	Southernmost_Latitude: 49.92
#	Easternmost_Longitude: 91.57
#	Westernmost_Longitude: 91.57
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_147
#	Earliest_Year: 1326.0
#	Most_Recent_Year: 1997.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##clim_signal	Total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	clim_signal
1326.0	1.707
1327.0	1.554
1328.0	0.973
1329.0	0.483
1330.0	0.952
1331.0	1.3
1332.0	0.999
1333.0	1.305
1334.0	1.69
1335.0	1.252
1336.0	1.12
1337.0	1.304
1338.0	0.987
1339.0	0.869
1340.0	0.952
1341.0	1.414
1342.0	0.98
1343.0	1.14
1344.0	0.907
1345.0	0.97
1346.0	1.217
1347.0	1.112
1348.0	0.969
1349.0	0.639
1350.0	1.058
1351.0	1.382
1352.0	1.293
1353.0	0.8
1354.0	1.274
1355.0	1.203
1356.0	1.271
1357.0	1.062
1358.0	0.918
1359.0	0.762
1360.0	0.876
1361.0	1.025
1362.0	0.961
1363.0	0.926
1364.0	0.592
1365.0	1.055
1366.0	0.972
1367.0	1.159
1368.0	0.898
1369.0	0.793
1370.0	0.517
1371.0	0.412
1372.0	0.849
1373.0	0.833
1374.0	0.973
1375.0	0.701
1376.0	0.531
1377.0	0.543
1378.0	0.919
1379.0	0.805
1380.0	0.697
1381.0	1.175
1382.0	1.759
1383.0	1.378
1384.0	1.303
1385.0	0.492
1386.0	0.801
1387.0	0.781
1388.0	0.991
1389.0	1.144
1390.0	1.287
1391.0	1.124
1392.0	1.235
1393.0	1.147
1394.0	1.458
1395.0	0.748
1396.0	1.669
1397.0	1.202
1398.0	1.623
1399.0	0.573
1400.0	0.932
1401.0	0.889
1402.0	0.806
1403.0	1.031
1404.0	0.584
1405.0	0.825
1406.0	0.989
1407.0	0.659
1408.0	0.908
1409.0	1.112
1410.0	0.925
1411.0	0.861
1412.0	1.014
1413.0	1.218
1414.0	0.793
1415.0	1.022
1416.0	1.042
1417.0	1.027
1418.0	1.39
1419.0	1.052
1420.0	1.121
1421.0	1.665
1422.0	1.024
1423.0	1.117
1424.0	1.285
1425.0	1.468
1426.0	1.762
1427.0	1.241
1428.0	1.791
1429.0	1.317
1430.0	0.968
1431.0	1.843
1432.0	1.221
1433.0	0.555
1434.0	0.495
1435.0	0.509
1436.0	0.393
1437.0	0.472
1438.0	0.602
1439.0	0.78
1440.0	0.741
1441.0	0.451
1442.0	0.401
1443.0	0.875
1444.0	0.966
1445.0	1.165
1446.0	1.052
1447.0	1.223
1448.0	0.755
1449.0	0.802
1450.0	0.483
1451.0	0.478
1452.0	0.659
1453.0	0.733
1454.0	0.659
1455.0	0.764
1456.0	0.723
1457.0	0.535
1458.0	0.705
1459.0	0.558
1460.0	0.548
1461.0	0.464
1462.0	0.552
