# Asi_151 - PAGES 2K MANDLS Total ring width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_151 - MANDLS
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Cook ER, Anchukaitis KJ, Buckley BM, D'Arrigo RD, Jacoby GC, Wright WE (2010) Asian monsoon failure and megadrought during the last millennium. Science 328:486-491  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: MANDLS
#	Location: Asia
#	Country: Mongolia (MG)
#	Northernmost_Latitude: 46.82
#	Southernmost_Latitude: 46.82
#	Easternmost_Longitude: 100.12
#	Westernmost_Longitude: 100.12
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_151
#	Earliest_Year: 1411.0
#	Most_Recent_Year: 2001.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"database":"LMR_FM"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1411.0	1.02
1412.0	1.215
1413.0	1.041
1414.0	0.782
1415.0	0.643
1416.0	0.807
1417.0	0.986
1418.0	0.74
1419.0	0.876
1420.0	1.483
1421.0	1.36
1422.0	1.252
1423.0	1.025
1424.0	1.187
1425.0	1.258
1426.0	1.094
1427.0	1.112
1428.0	0.847
1429.0	0.858
1430.0	1.159
1431.0	1.283
1432.0	1.055
1433.0	0.799
1434.0	0.798
1435.0	0.801
1436.0	0.635
1437.0	0.71
1438.0	1.092
1439.0	1.305
1440.0	0.971
1441.0	1.034
1442.0	0.625
1443.0	1.263
1444.0	1.5
1445.0	1.319
1446.0	1.253
1447.0	0.517
1448.0	0.615
1449.0	1.217
1450.0	0.899
1451.0	0.729
1452.0	1.297
1453.0	0.958
1454.0	1.319
1455.0	1.421
1456.0	1.021
1457.0	0.548
1458.0	0.407
1459.0	0.415
1460.0	0.853
1461.0	1.302
1462.0	1.342
1463.0	1.279
1464.0	1.32
1465.0	0.616
1466.0	1.225
1467.0	0.959
1468.0	1.257
1469.0	0.976
1470.0	0.509
1471.0	1.086
1472.0	1.146
1473.0	0.804
1474.0	0.663
1475.0	0.569
1476.0	1.126
1477.0	0.869
1478.0	0.875
1479.0	0.635
1480.0	0.934
1481.0	0.591
1482.0	0.487
1483.0	0.895
1484.0	1.066
1485.0	1.043
1486.0	1.155
1487.0	0.592
1488.0	0.643
1489.0	1.107
1490.0	1.49
1491.0	1.17
1492.0	0.27
1493.0	0.412
1494.0	0.786
1495.0	0.33
1496.0	0.986
1497.0	0.959
1498.0	1.181
1499.0	1.659
1500.0	1.471
1501.0	0.471
1502.0	1.269
1503.0	1.636
1504.0	1.53
1505.0	1.353
1506.0	1.475
1507.0	0.597
1508.0	0.98
1509.0	1.239
1510.0	1.624
1511.0	0.951
1512.0	0.219
1513.0	1.017
1514.0	0.713
1515.0	0.673
1516.0	0.817
1517.0	0.467
1518.0	1.211
1519.0	1.01
1520.0	0.979
1521.0	1.02
1522.0	1.299
1523.0	1.015
1524.0	0.944
1525.0	1.043
1526.0	0.917
1527.0	1.668
1528.0	0.845
1529.0	1.131
1530.0	1.266
1531.0	1.681
1532.0	0.429
1533.0	0.846
1534.0	1.031
1535.0	1.119
1536.0	1.033
1537.0	1.229
1538.0	1.31
1539.0	1.221
1540.0	0.913
1541.0	0.494
1542.0	0.225
1543.0	0.462
1544.0	0.748
1545.0	0.895
1546.0	0.57
1547.0	0.591
1548.0	0.788
1549.0	0.753
1550.0	1.174
1551.0	1.421
1552.0	1.597
1553.0	1.191
1554.0	0.979
1555.0	1.216
1556.0	0.901
