# Asi_174 - PAGES 2K LANGTD Total ring width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_174 - LANGTD
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Krusic, P.J.; Zuber, R.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: LANGTD
#	Location: Asia
#	Country: Nepal (NP)
#	Northernmost_Latitude: 28.18
#	Southernmost_Latitude: 28.18
#	Easternmost_Longitude: 85.43
#	Westernmost_Longitude: 85.43
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_174
#	Earliest_Year: 1559.0
#	Most_Recent_Year: 1993.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"database":"LMR_FM"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1559.0	1.172
1560.0	1.21
1561.0	1.145
1562.0	1.307
1563.0	1.368
1564.0	1.37
1565.0	1.152
1566.0	1.036
1567.0	0.972
1568.0	1.039
1569.0	1.037
1570.0	0.845
1571.0	0.884
1572.0	0.989
1573.0	0.935
1574.0	0.85
1575.0	0.691
1576.0	0.737
1577.0	0.898
1578.0	0.862
1579.0	1.026
1580.0	1.201
1581.0	1.175
1582.0	1.007
1583.0	1.001
1584.0	1.061
1585.0	1.0
1586.0	1.001
1587.0	1.062
1588.0	0.685
1589.0	0.799
1590.0	0.936
1591.0	1.022
1592.0	0.926
1593.0	0.978
1594.0	1.243
1595.0	1.109
1596.0	0.998
1597.0	1.249
1598.0	1.055
1599.0	1.004
1600.0	1.035
1601.0	1.087
1602.0	0.929
1603.0	0.88
1604.0	1.024
1605.0	0.908
1606.0	0.808
1607.0	0.808
1608.0	0.789
1609.0	1.33
1610.0	1.228
1611.0	1.013
1612.0	1.288
1613.0	1.274
1614.0	1.193
1615.0	1.155
1616.0	1.412
1617.0	1.397
1618.0	1.158
1619.0	1.169
1620.0	0.861
1621.0	0.639
1622.0	0.624
1623.0	0.823
1624.0	1.061
1625.0	0.793
1626.0	0.724
1627.0	0.792
1628.0	0.906
1629.0	0.867
1630.0	0.702
1631.0	0.713
1632.0	0.795
1633.0	0.845
1634.0	0.968
1635.0	0.991
1636.0	0.937
1637.0	0.926
1638.0	0.963
1639.0	0.888
1640.0	0.74
1641.0	0.856
1642.0	1.202
1643.0	1.152
1644.0	0.957
1645.0	1.137
1646.0	1.041
1647.0	0.765
1648.0	0.633
1649.0	0.635
1650.0	0.73
1651.0	0.981
1652.0	0.737
1653.0	0.792
1654.0	1.08
1655.0	1.443
1656.0	0.962
1657.0	0.763
1658.0	1.001
1659.0	0.738
1660.0	0.785
1661.0	0.858
1662.0	1.008
1663.0	0.935
1664.0	1.245
1665.0	1.26
1666.0	1.058
1667.0	1.043
1668.0	0.928
1669.0	0.989
1670.0	1.205
1671.0	1.264
1672.0	1.105
1673.0	0.999
1674.0	1.197
1675.0	0.866
1676.0	0.763
1677.0	0.813
1678.0	0.578
1679.0	0.653
1680.0	0.895
1681.0	0.935
1682.0	0.914
1683.0	1.01
1684.0	1.004
1685.0	1.235
1686.0	1.302
1687.0	1.025
1688.0	0.767
1689.0	0.792
1690.0	1.092
1691.0	0.802
1692.0	0.729
1693.0	0.688
1694.0	0.781
1695.0	0.743
1696.0	0.708
1697.0	0.722
