# Asi_191 - PAGES 2K BUKPIG Total ring width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_191 - BUKPIG
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation:   /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: BUKPIG
#	Location: Asia
#	Country: Pakistan (PK)
#	Northernmost_Latitude: 35.68
#	Southernmost_Latitude: 35.68
#	Easternmost_Longitude: 71.63
#	Westernmost_Longitude: 71.63
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_191
#	Earliest_Year: 1403.0
#	Most_Recent_Year: 2005.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##clim_signal	Total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	clim_signal
1403.0	0.648
1404.0	0.917
1405.0	0.974
1406.0	0.883
1407.0	0.793
1408.0	0.725
1409.0	0.775
1410.0	1.105
1411.0	0.911
1412.0	2.002
1413.0	1.304
1414.0	0.999
1415.0	1.076
1416.0	1.044
1417.0	1.273
1418.0	1.158
1419.0	1.176
1420.0	1.371
1421.0	1.451
1422.0	1.322
1423.0	1.198
1424.0	1.301
1425.0	1.165
1426.0	1.119
1427.0	1.313
1428.0	1.106
1429.0	0.978
1430.0	1.081
1431.0	1.121
1432.0	1.241
1433.0	1.207
1434.0	1.023
1435.0	1.288
1436.0	1.471
1437.0	1.284
1438.0	1.369
1439.0	1.367
1440.0	1.543
1441.0	1.404
1442.0	1.078
1443.0	1.372
1444.0	1.25
1445.0	1.191
1446.0	1.151
1447.0	1.018
1448.0	1.074
1449.0	1.05
1450.0	1.146
1451.0	1.26
1452.0	1.223
1453.0	1.41
1454.0	0.992
1455.0	0.841
1456.0	0.894
1457.0	0.966
1458.0	0.97
1459.0	0.901
1460.0	0.932
1461.0	1.027
1462.0	0.956
1463.0	0.986
1464.0	0.918
1465.0	0.769
1466.0	0.728
1467.0	0.86
1468.0	1.34
1469.0	1.143
1470.0	1.256
1471.0	1.257
1472.0	1.022
1473.0	1.088
1474.0	1.075
1475.0	0.99
1476.0	1.137
1477.0	1.169
1478.0	1.145
1479.0	0.948
1480.0	0.923
1481.0	0.906
1482.0	1.01
1483.0	0.809
1484.0	0.916
1485.0	0.849
1486.0	0.914
1487.0	0.956
1488.0	1.034
1489.0	0.78
1490.0	0.889
1491.0	0.788
1492.0	0.709
1493.0	0.797
1494.0	0.914
1495.0	0.819
1496.0	0.943
1497.0	0.897
1498.0	0.885
1499.0	0.951
1500.0	1.018
1501.0	0.806
1502.0	0.833
1503.0	0.94
1504.0	0.964
1505.0	0.818
1506.0	0.78
1507.0	0.848
1508.0	0.793
1509.0	0.841
1510.0	0.791
1511.0	0.9
1512.0	0.9
1513.0	0.999
1514.0	0.956
1515.0	0.874
1516.0	0.717
1517.0	1.068
1518.0	0.958
1519.0	0.861
1520.0	0.826
1521.0	0.834
1522.0	0.901
1523.0	0.916
1524.0	0.821
1525.0	1.087
1526.0	1.229
1527.0	1.157
1528.0	1.077
1529.0	1.455
1530.0	0.95
1531.0	0.733
1532.0	0.718
1533.0	0.822
1534.0	0.849
1535.0	0.938
1536.0	0.96
1537.0	0.834
1538.0	0.91
1539.0	0.918
1540.0	0.856
1541.0	0.945
1542.0	1.175
1543.0	1.317
1544.0	1.022
1545.0	1.012
1546.0	0.707
1547.0	0.872
1548.0	0.92
1549.0	0.704
1550.0	0.697
1551.0	0.783
1552.0	0.669
1553.0	0.635
1554.0	0.671
1555.0	0.802
1556.0	0.969
1557.0	0.83
1558.0	0.918
1559.0	0.79
1560.0	0.839
1561.0	0.814
1562.0	0.814
1563.0	0.876
1564.0	0.973
1565.0	0.964
1566.0	1.044
1567.0	1.004
1568.0	0.825
1569.0	0.98
1570.0	0.898
1571.0	0.863
1572.0	0.838
1573.0	0.867
1574.0	0.95
1575.0	0.832
1576.0	0.874
1577.0	1.053
1578.0	0.998
1579.0	0.933
1580.0	0.783
1581.0	0.922
1582.0	0.867
1583.0	0.946
1584.0	1.055
1585.0	0.963
1586.0	0.819
1587.0	0.983
1588.0	0.797
1589.0	0.849
1590.0	0.638
1591.0	0.798
1592.0	0.801
1593.0	0.917
1594.0	0.841
1595.0	0.715
1596.0	0.764
1597.0	0.883
1598.0	0.768
1599.0	0.879
1600.0	0.916
1601.0	0.955
1602.0	0.664
1603.0	0.891
1604.0	1.013
1605.0	0.898
1606.0	1.123
1607.0	1.076
1608.0	0.681
1609.0	0.895
1610.0	0.953
1611.0	0.779
1612.0	1.062
1613.0	1.11
1614.0	1.021
1615.0	0.676
1616.0	0.976
1617.0	0.951
1618.0	0.708
1619.0	0.69
1620.0	1.004
1621.0	1.059
1622.0	0.9
1623.0	1.068
1624.0	1.039
1625.0	1.028
1626.0	0.895
1627.0	0.919
1628.0	1.175
1629.0	1.24
1630.0	1.149
1631.0	1.229
1632.0	1.431
1633.0	1.317
1634.0	1.221
1635.0	1.184
1636.0	1.151
1637.0	1.077
1638.0	1.281
1639.0	1.384
1640.0	0.85
1641.0	1.417
1642.0	1.393
1643.0	1.399
1644.0	1.227
1645.0	1.147
1646.0	1.256
1647.0	1.491
1648.0	1.287
1649.0	1.016
1650.0	1.032
1651.0	1.89
1652.0	0.975
1653.0	0.865
1654.0	1.129
1655.0	1.078
1656.0	1.442
1657.0	1.083
1658.0	0.877
1659.0	0.778
1660.0	0.735
1661.0	1.16
1662.0	0.79
1663.0	0.784
1664.0	0.931
1665.0	0.942
1666.0	1.008
1667.0	0.825
1668.0	1.243
1669.0	1.024
1670.0	0.923
1671.0	1.446
1672.0	1.278
1673.0	0.974
1674.0	0.897
1675.0	1.166
1676.0	0.956
1677.0	0.831
1678.0	0.941
1679.0	0.93
1680.0	1.301
1681.0	0.954
1682.0	1.217
1683.0	0.924
1684.0	1.007
1685.0	0.888
1686.0	0.993
1687.0	1.176
1688.0	1.205
1689.0	1.096
1690.0	1.171
1691.0	1.086
1692.0	0.798
1693.0	1.045
1694.0	0.951
1695.0	1.196
1696.0	1.041
1697.0	1.024
1698.0	0.799
1699.0	1.008
1700.0	0.929
1701.0	0.915
1702.0	0.817
1703.0	0.909
1704.0	0.778
1705.0	0.753
1706.0	0.863
1707.0	0.971
1708.0	0.932
1709.0	0.942
1710.0	0.984
1711.0	0.83
1712.0	1.01
1713.0	0.957
1714.0	1.11
1715.0	1.037
1716.0	0.928
1717.0	0.846
1718.0	1.056
1719.0	0.977
1720.0	0.861
1721.0	0.837
1722.0	0.859
1723.0	0.801
1724.0	0.64
1725.0	0.622
1726.0	0.522
1727.0	0.66
1728.0	0.787
1729.0	0.842
1730.0	0.565
1731.0	0.81
1732.0	0.883
1733.0	0.773
1734.0	0.917
1735.0	0.841
1736.0	0.897
1737.0	0.854
1738.0	0.964
1739.0	0.945
1740.0	0.845
1741.0	0.808
1742.0	0.801
1743.0	0.72
1744.0	0.881
1745.0	0.893
1746.0	0.813
1747.0	1.078
1748.0	1.087
1749.0	0.836
1750.0	0.748
1751.0	0.747
1752.0	0.91
1753.0	0.887
1754.0	0.585
1755.0	0.794
1756.0	0.921
1757.0	0.917
1758.0	0.756
1759.0	0.75
1760.0	0.782
1761.0	0.709
1762.0	0.802
1763.0	0.891
1764.0	0.849
1765.0	0.732
1766.0	0.81
1767.0	0.721
1768.0	0.58
1769.0	0.668
1770.0	0.79
1771.0	0.756
1772.0	0.778
1773.0	0.832
1774.0	0.794
1775.0	0.575
1776.0	0.883
1777.0	0.714
1778.0	0.634
1779.0	0.742
1780.0	0.93
1781.0	1.023
1782.0	0.623
1783.0	0.995
1784.0	0.588
1785.0	0.478
1786.0	0.787
1787.0	0.887
1788.0	0.822
1789.0	0.978
1790.0	0.752
1791.0	1.035
1792.0	0.912
1793.0	1.199
1794.0	1.098
1795.0	1.026
1796.0	1.073
1797.0	1.062
1798.0	0.944
1799.0	1.148
1800.0	1.006
1801.0	0.925
1802.0	0.692
1803.0	1.032
1804.0	1.208
1805.0	1.014
1806.0	0.854
1807.0	1.084
1808.0	1.105
1809.0	0.755
1810.0	0.992
1811.0	0.831
1812.0	0.948
1813.0	0.976
1814.0	1.125
1815.0	0.478
1816.0	1.045
1817.0	0.992
1818.0	0.994
1819.0	0.99
1820.0	0.795
1821.0	0.993
1822.0	0.89
1823.0	1.001
1824.0	1.033
1825.0	1.072
1826.0	0.925
1827.0	1.123
1828.0	1.087
1829.0	0.822
1830.0	0.882
1831.0	0.924
1832.0	0.984
1833.0	1.244
1834.0	1.257
1835.0	0.835
1836.0	1.02
1837.0	1.282
1838.0	1.07
1839.0	1.115
1840.0	1.152
1841.0	0.933
1842.0	1.22
1843.0	1.267
1844.0	1.127
1845.0	1.245
1846.0	1.003
1847.0	1.104
1848.0	0.994
1849.0	0.942
1850.0	1.048
1851.0	1.099
1852.0	0.98
1853.0	0.964
1854.0	1.053
1855.0	1.043
1856.0	1.022
1857.0	0.941
1858.0	1.154
1859.0	1.081
1860.0	0.993
1861.0	0.625
1862.0	1.067
1863.0	0.868
1864.0	1.027
1865.0	0.801
1866.0	0.953
1867.0	0.84
1868.0	0.927
1869.0	0.962
1870.0	0.755
1871.0	0.687
1872.0	0.94
1873.0	1.015
1874.0	0.981
1875.0	1.037
1876.0	1.071
1877.0	1.023
1878.0	1.029
1879.0	0.794
1880.0	0.853
1881.0	0.715
1882.0	0.887
1883.0	0.973
1884.0	1.081
1885.0	0.994
1886.0	0.944
1887.0	0.95
1888.0	0.983
1889.0	1.037
1890.0	0.891
1891.0	0.958
1892.0	0.745
1893.0	0.817
1894.0	0.802
1895.0	0.723
1896.0	0.853
1897.0	0.961
1898.0	0.943
1899.0	0.785
1900.0	0.995
1901.0	0.946
1902.0	0.418
1903.0	0.903
1904.0	0.777
1905.0	0.857
1906.0	1.036
1907.0	1.038
1908.0	1.062
1909.0	0.885
1910.0	1.029
1911.0	1.114
1912.0	1.017
1913.0	1.064
1914.0	0.921
1915.0	1.085
1916.0	1.12
1917.0	0.824
1918.0	0.741
1919.0	1.099
1920.0	0.966
1921.0	1.167
1922.0	1.226
1923.0	1.365
1924.0	1.538
1925.0	0.997
1926.0	1.288
1927.0	1.137
1928.0	1.334
1929.0	0.782
1930.0	1.277
1931.0	1.418
1932.0	1.28
1933.0	1.052
1934.0	1.201
1935.0	1.242
1936.0	1.187
1937.0	1.144
1938.0	1.265
1939.0	1.22
1940.0	1.271
1941.0	1.245
1942.0	1.504
1943.0	1.585
1944.0	1.231
1945.0	1.225
1946.0	0.977
1947.0	1.154
1948.0	0.896
1949.0	1.203
1950.0	1.18
1951.0	1.007
1952.0	1.144
1953.0	1.206
1954.0	1.153
1955.0	1.004
1956.0	0.922
1957.0	1.038
1958.0	1.348
1959.0	1.132
1960.0	1.114
1961.0	1.135
1962.0	1.123
1963.0	1.35
1964.0	1.217
1965.0	1.446
