# Asi_193 - PAGES 2K CGPPIG Total ring width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_193 - CGPPIG
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation:   /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: CGPPIG
#	Location: Asia
#	Country: Pakistan (PK)
#	Northernmost_Latitude: 35.9
#	Southernmost_Latitude: 35.9
#	Easternmost_Longitude: 71.73
#	Westernmost_Longitude: 71.73
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_193
#	Earliest_Year: 1260.0
#	Most_Recent_Year: 2005.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##clim_signal	Total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	clim_signal
1260.0	0.914
1261.0	0.679
1262.0	0.751
1263.0	0.746
1264.0	0.769
1265.0	1.004
1266.0	0.732
1267.0	0.871
1268.0	1.136
1269.0	1.459
1270.0	1.229
1271.0	0.976
1272.0	0.918
1273.0	0.875
1274.0	1.059
1275.0	0.805
1276.0	0.912
1277.0	0.912
1278.0	0.912
1279.0	1.055
1280.0	1.132
1281.0	1.212
1282.0	1.099
1283.0	1.329
1284.0	0.96
1285.0	1.129
1286.0	0.953
1287.0	1.077
1288.0	0.822
1289.0	1.238
1290.0	1.033
1291.0	1.113
1292.0	0.876
1293.0	0.994
1294.0	0.913
1295.0	1.005
1296.0	0.929
1297.0	1.057
1298.0	1.077
1299.0	0.824
1300.0	1.181
1301.0	0.889
1302.0	1.0
1303.0	0.992
1304.0	1.362
1305.0	1.377
1306.0	1.486
1307.0	1.154
1308.0	1.196
1309.0	1.302
1310.0	1.169
1311.0	1.223
1312.0	1.159
1313.0	1.197
1314.0	1.498
1315.0	1.145
1316.0	1.382
1317.0	1.192
1318.0	0.967
1319.0	1.101
1320.0	0.924
1321.0	1.299
1322.0	1.537
1323.0	1.208
1324.0	1.38
1325.0	1.107
1326.0	0.995
1327.0	1.108
1328.0	1.087
1329.0	1.163
1330.0	1.407
1331.0	1.128
1332.0	1.254
1333.0	1.295
1334.0	1.27
1335.0	1.326
1336.0	1.256
1337.0	1.259
1338.0	1.255
1339.0	1.342
1340.0	1.294
1341.0	1.326
1342.0	1.288
1343.0	1.17
1344.0	1.047
1345.0	1.274
1346.0	1.529
1347.0	1.335
1348.0	1.253
1349.0	1.187
1350.0	0.997
1351.0	1.198
1352.0	1.187
1353.0	1.025
1354.0	1.032
1355.0	1.148
1356.0	1.268
1357.0	0.988
1358.0	0.991
1359.0	0.85
1360.0	0.909
1361.0	0.863
1362.0	0.916
1363.0	1.045
1364.0	1.034
1365.0	1.069
1366.0	1.01
1367.0	0.98
1368.0	1.124
1369.0	0.896
1370.0	0.8
1371.0	0.843
1372.0	1.0
1373.0	1.007
1374.0	1.186
1375.0	1.278
1376.0	1.187
1377.0	1.072
1378.0	0.999
1379.0	1.059
1380.0	1.034
1381.0	1.21
1382.0	0.821
1383.0	0.761
1384.0	0.894
1385.0	0.988
1386.0	1.047
1387.0	0.944
1388.0	1.058
1389.0	0.96
1390.0	0.961
1391.0	0.882
1392.0	1.122
1393.0	0.9
