# Asi_228 - PAGES 2K MCCHFH Total ring width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_228 - MCCHFH
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Sano M, Furuta F, Sweda T (2009) Tree-ring-width chronology of Larix gmelinii as an indicator of changes in early summer temperature in east-central Kamchatka. Journal of Forest Research 14:147–154, DOI:110.1007/s10310-10009-10123-y  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: MCCHFH
#	Location: Asia
#	Country: Vietnam (VM)
#	Northernmost_Latitude: 21.67
#	Southernmost_Latitude: 21.67
#	Easternmost_Longitude: 104.1
#	Westernmost_Longitude: 104.1
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_228
#	Earliest_Year: 1470.0
#	Most_Recent_Year: 2003.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##clim_signal	Total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	clim_signal
1470.0	0.808
1471.0	0.923
1472.0	0.905
1473.0	0.869
1474.0	0.916
1475.0	0.927
1476.0	1.009
1477.0	0.868
1478.0	1.003
1479.0	0.938
1480.0	0.815
1481.0	0.947
1482.0	0.908
1483.0	0.893
1484.0	0.652
1485.0	0.844
1486.0	0.897
1487.0	0.635
1488.0	0.584
1489.0	0.643
1490.0	0.754
1491.0	0.796
1492.0	0.719
1493.0	0.577
1494.0	0.816
1495.0	0.771
1496.0	1.047
1497.0	0.815
1498.0	0.978
1499.0	1.037
1500.0	1.042
1501.0	1.12
1502.0	1.08
1503.0	1.054
1504.0	1.025
1505.0	0.952
1506.0	1.084
1507.0	1.231
1508.0	1.269
1509.0	0.932
1510.0	0.965
1511.0	1.096
1512.0	1.314
1513.0	1.282
1514.0	0.893
1515.0	0.928
1516.0	0.988
1517.0	1.018
1518.0	0.921
1519.0	0.799
1520.0	0.875
1521.0	1.034
1522.0	1.0
1523.0	0.918
1524.0	0.987
1525.0	0.8
1526.0	1.163
1527.0	0.948
1528.0	0.96
1529.0	0.951
1530.0	0.894
1531.0	0.976
1532.0	0.933
1533.0	0.966
1534.0	0.855
1535.0	0.905
1536.0	1.041
1537.0	0.814
1538.0	0.916
1539.0	0.848
1540.0	0.723
1541.0	0.866
1542.0	0.857
1543.0	0.745
1544.0	0.872
1545.0	0.9
1546.0	0.96
1547.0	0.913
1548.0	0.945
1549.0	1.052
1550.0	1.138
1551.0	1.117
1552.0	1.038
1553.0	1.027
1554.0	0.984
1555.0	1.045
1556.0	0.915
1557.0	0.987
1558.0	0.884
1559.0	1.086
1560.0	1.14
1561.0	0.908
1562.0	1.03
1563.0	0.943
1564.0	0.775
1565.0	0.749
1566.0	0.861
1567.0	1.038
1568.0	1.132
1569.0	1.349
1570.0	1.404
1571.0	1.477
1572.0	1.652
1573.0	1.236
1574.0	1.052
1575.0	1.048
1576.0	1.081
1577.0	0.958
1578.0	0.941
1579.0	0.912
1580.0	1.023
1581.0	0.949
1582.0	0.798
1583.0	0.895
1584.0	0.946
1585.0	1.051
1586.0	1.005
1587.0	1.059
1588.0	1.104
1589.0	1.019
1590.0	1.34
1591.0	1.159
1592.0	1.306
1593.0	1.163
1594.0	1.077
1595.0	1.177
1596.0	1.105
1597.0	1.028
1598.0	0.941
1599.0	0.892
1600.0	1.139
1601.0	1.424
1602.0	1.189
1603.0	1.286
1604.0	0.959
1605.0	1.035
1606.0	0.803
1607.0	0.884
1608.0	0.697
1609.0	0.696
1610.0	0.607
1611.0	0.758
1612.0	1.014
1613.0	1.188
1614.0	0.94
