# Asi_39 - PAGES 2K XCHSIC Total ring width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_39 - XCHSIC
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Cook ER, Anchukaitis KJ, Buckley BM, D'Arrigo RD, Jacoby GC, Wright WE (2010) Asian monsoon failure and megadrought during the last millennium. Science 328:486-493  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: XCHSIC
#	Location: Asia
#	Country: China (CH)
#	Northernmost_Latitude: 28.98
#	Southernmost_Latitude: 28.98
#	Easternmost_Longitude: 99.93
#	Westernmost_Longitude: 99.93
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_39
#	Earliest_Year: 1380
#	Most_Recent_Year: 2007
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##clim_signal	Total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	clim_signal
1380.0	0.931
1381.0	0.903
1382.0	0.868
1383.0	0.833
1384.0	0.977
1385.0	0.925
1386.0	0.994
1387.0	0.983
1388.0	0.97
1389.0	0.948
1390.0	0.86
1391.0	0.936
1392.0	1.178
1393.0	1.689
1394.0	1.877
1395.0	1.491
1396.0	1.131
1397.0	1.137
1398.0	1.319
1399.0	1.306
1400.0	1.262
1401.0	1.272
1402.0	1.397
1403.0	1.285
1404.0	1.169
1405.0	1.095
1406.0	1.029
1407.0	0.859
1408.0	0.835
1409.0	0.837
1410.0	0.851
1411.0	0.722
1412.0	0.716
1413.0	0.558
1414.0	0.706
1415.0	0.717
1416.0	0.8
1417.0	0.815
1418.0	0.875
1419.0	0.816
1420.0	0.796
1421.0	0.749
1422.0	0.751
1423.0	0.757
1424.0	0.94
1425.0	1.147
1426.0	1.011
1427.0	0.969
1428.0	1.111
1429.0	1.155
1430.0	1.264
1431.0	1.209
1432.0	1.2
1433.0	1.276
1434.0	1.341
1435.0	1.231
1436.0	1.173
1437.0	1.315
1438.0	0.974
1439.0	1.026
1440.0	0.982
1441.0	0.686
1442.0	0.653
1443.0	0.674
1444.0	0.592
1445.0	0.615
1446.0	0.612
1447.0	0.761
1448.0	0.824
1449.0	0.725
1450.0	0.752
1451.0	0.623
1452.0	0.731
1453.0	0.673
1454.0	0.862
1455.0	0.668
1456.0	0.699
1457.0	0.68
1458.0	1.013
1459.0	1.173
1460.0	1.254
1461.0	1.119
1462.0	1.399
1463.0	1.258
1464.0	1.302
1465.0	1.23
1466.0	1.064
1467.0	1.129
1468.0	0.961
1469.0	1.098
1470.0	1.101
1471.0	1.13
1472.0	1.142
1473.0	1.215
1474.0	1.017
1475.0	1.242
1476.0	1.2
1477.0	1.294
1478.0	1.248
1479.0	1.212
1480.0	1.188
1481.0	1.328
1482.0	1.32
1483.0	1.116
1484.0	0.946
1485.0	1.033
1486.0	0.952
1487.0	0.975
1488.0	0.832
1489.0	0.989
1490.0	0.956
1491.0	0.982
1492.0	0.812
1493.0	0.809
1494.0	0.826
1495.0	0.946
1496.0	1.058
1497.0	1.377
1498.0	1.444
1499.0	1.616
1500.0	1.209
1501.0	1.378
1502.0	1.447
1503.0	1.187
1504.0	1.077
1505.0	1.22
1506.0	1.167
1507.0	1.084
1508.0	1.007
1509.0	0.916
1510.0	0.938
1511.0	1.201
1512.0	1.071
1513.0	1.069
1514.0	0.981
1515.0	0.906
1516.0	0.777
1517.0	1.195
1518.0	1.062
1519.0	0.885
1520.0	1.014
1521.0	0.947
