# Asi_4 - PAGES 2K KUR2LS Total ring width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_4 - KUR2LS
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation:   /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: KUR2LS
#	Location: Asia
#	Country: Altai Mountains (AT)
#	Northernmost_Latitude: 50.30
#	Southernmost_Latitude: 50.30
#	Easternmost_Longitude: 87.83
#	Westernmost_Longitude: 87.83
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_4
#	Earliest_Year: 1538
#	Most_Recent_Year: 2000
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##clim_signal	Total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	clim_signal
1538.0	0.847
1539.0	0.923
1540.0	0.794
1541.0	0.889
1542.0	0.732
1543.0	1.112
1544.0	1.046
1545.0	0.912
1546.0	0.646
1547.0	0.889
1548.0	0.922
1549.0	1.324
1550.0	1.417
1551.0	1.497
1552.0	1.322
1553.0	0.741
1554.0	0.977
1555.0	1.114
1556.0	1.128
1557.0	1.632
1558.0	1.341
1559.0	0.875
1560.0	0.991
1561.0	1.327
1562.0	0.765
1563.0	1.072
1564.0	0.761
1565.0	1.0
1566.0	1.143
1567.0	0.949
1568.0	1.097
1569.0	0.812
1570.0	0.506
1571.0	0.659
1572.0	0.797
1573.0	0.657
1574.0	1.07
1575.0	0.676
1576.0	0.808
1577.0	0.607
1578.0	0.877
1579.0	0.798
1580.0	1.165
1581.0	0.779
1582.0	0.844
1583.0	0.828
1584.0	1.229
1585.0	0.991
1586.0	1.043
1587.0	1.335
1588.0	1.275
1589.0	0.299
1590.0	0.749
1591.0	0.896
1592.0	1.374
1593.0	1.056
1594.0	0.79
1595.0	1.008
1596.0	1.216
1597.0	1.172
1598.0	0.91
1599.0	0.934
1600.0	0.607
1601.0	0.352
1602.0	0.723
1603.0	0.612
1604.0	1.042
1605.0	1.203
1606.0	1.151
1607.0	1.381
1608.0	1.085
1609.0	1.449
1610.0	0.872
1611.0	1.48
1612.0	1.916
1613.0	1.576
1614.0	1.797
1615.0	1.182
1616.0	1.584
1617.0	1.632
1618.0	1.397
1619.0	1.137
1620.0	1.02
1621.0	1.394
1622.0	0.985
1623.0	1.139
1624.0	0.72
1625.0	0.946
1626.0	1.041
1627.0	0.583
1628.0	0.544
1629.0	0.809
1630.0	0.939
1631.0	1.146
1632.0	1.388
1633.0	0.973
1634.0	0.995
1635.0	1.146
1636.0	1.719
1637.0	1.308
1638.0	1.57
1639.0	1.132
1640.0	1.696
1641.0	1.005
1642.0	0.825
1643.0	0.647
1644.0	0.869
1645.0	0.895
1646.0	0.657
1647.0	0.724
1648.0	0.728
1649.0	1.156
1650.0	0.698
1651.0	0.901
1652.0	0.547
1653.0	1.115
1654.0	0.715
1655.0	1.168
1656.0	0.587
1657.0	0.793
1658.0	0.685
1659.0	0.78
1660.0	0.647
1661.0	0.935
1662.0	0.84
1663.0	0.533
1664.0	0.547
1665.0	0.847
1666.0	0.826
1667.0	0.991
1668.0	0.654
1669.0	0.905
1670.0	0.464
1671.0	0.678
