# Asi_52 - PAGES 2K MQBXJP Total ring width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_52 - MQBXJP
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation:   /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: MQBXJP
#	Location: Asia
#	Country: China (CH)
#	Northernmost_Latitude: 34.78
#	Southernmost_Latitude: 34.78
#	Easternmost_Longitude: 99.78
#	Westernmost_Longitude: 99.78
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_52
#	Earliest_Year: 470.0
#	Most_Recent_Year: 2001.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"database":"LMR_FM"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
470.0	1.061
471.0	1.647
472.0	0.833
473.0	1.931
474.0	1.002
475.0	1.466
476.0	0.914
477.0	1.655
478.0	1.562
479.0	0.756
480.0	1.317
481.0	1.445
482.0	0.643
483.0	0.436
484.0	1.058
485.0	1.766
486.0	2.014
487.0	1.73
488.0	0.846
489.0	1.29
490.0	1.792
491.0	1.154
492.0	0.955
493.0	1.738
494.0	1.368
495.0	1.489
496.0	1.485
497.0	1.018
498.0	0.872
499.0	0.353
500.0	1.035
501.0	1.189
502.0	0.373
503.0	0.637
504.0	0.917
505.0	0.565
506.0	0.999
507.0	0.627
508.0	0.272
509.0	0.408
510.0	0.613
511.0	0.745
512.0	1.217
513.0	0.608
514.0	1.108
515.0	0.353
516.0	0.91
517.0	0.592
518.0	0.455
519.0	0.55
520.0	0.607
521.0	0.552
522.0	0.756
523.0	0.496
524.0	0.891
525.0	0.492
526.0	0.675
527.0	0.99
528.0	0.414
529.0	0.834
530.0	1.084
531.0	0.595
532.0	0.767
533.0	0.743
534.0	0.94
535.0	0.928
536.0	1.541
537.0	1.151
538.0	1.17
539.0	0.709
540.0	1.499
541.0	1.542
542.0	1.431
543.0	1.344
544.0	0.468
545.0	0.747
546.0	1.188
547.0	1.097
548.0	0.316
549.0	0.469
550.0	0.608
551.0	1.093
552.0	1.215
553.0	1.136
554.0	1.03
555.0	1.12
556.0	0.438
557.0	0.626
558.0	1.245
559.0	0.786
560.0	1.07
561.0	1.264
562.0	0.671
563.0	1.284
564.0	1.025
565.0	0.929
566.0	1.087
567.0	0.823
568.0	1.334
569.0	0.943
570.0	1.179
571.0	1.203
572.0	1.366
573.0	1.059
574.0	0.553
575.0	0.772
576.0	1.701
577.0	1.22
578.0	1.449
579.0	1.067
580.0	1.036
581.0	1.415
582.0	1.125
583.0	0.535
584.0	0.696
585.0	0.592
586.0	1.034
587.0	0.743
588.0	1.05
589.0	1.011
590.0	1.036
591.0	0.991
592.0	1.08
593.0	0.84
594.0	0.743
595.0	0.671
596.0	1.214
597.0	0.798
598.0	1.18
599.0	1.617
600.0	1.022
601.0	0.562
602.0	0.263
603.0	0.978
604.0	0.907
605.0	1.368
606.0	1.175
607.0	1.069
608.0	0.91
609.0	0.98
610.0	0.9
611.0	1.208
612.0	0.628
613.0	0.481
614.0	0.337
615.0	0.662
616.0	0.762
617.0	1.251
618.0	0.81
619.0	0.978
620.0	0.876
621.0	1.05
622.0	0.724
623.0	1.062
