# Asi_6 - PAGES 2K MSALLS Total ring width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_6 - MSALLS
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation:   /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: MSALLS
#	Location: Asia
#	Country: Altai Mountains (AT)
#	Northernmost_Latitude: 49.17
#	Southernmost_Latitude: 49.17
#	Easternmost_Longitude: 87.28
#	Westernmost_Longitude: 87.28
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_6
#	Earliest_Year: 1542
#	Most_Recent_Year: 2000
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##clim_signal	Total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	clim_signal
1542.0	1.131
1543.0	1.152
1544.0	1.032
1545.0	0.834
1546.0	0.776
1547.0	0.781
1548.0	1.131
1549.0	1.036
1550.0	1.092
1551.0	1.037
1552.0	1.199
1553.0	0.652
1554.0	1.102
1555.0	0.842
1556.0	1.022
1557.0	0.797
1558.0	1.054
1559.0	1.033
1560.0	0.827
1561.0	0.785
1562.0	0.92
1563.0	1.297
1564.0	1.058
1565.0	1.054
1566.0	1.189
1567.0	0.961
1568.0	0.7
1569.0	0.697
1570.0	0.713
1571.0	0.95
1572.0	1.016
1573.0	1.456
1574.0	1.19
1575.0	1.051
1576.0	1.306
1577.0	1.303
1578.0	1.218
1579.0	0.622
1580.0	0.877
1581.0	1.009
1582.0	0.615
1583.0	0.527
1584.0	1.186
1585.0	1.166
1586.0	1.437
1587.0	1.233
1588.0	1.163
1589.0	0.966
1590.0	1.019
1591.0	0.889
1592.0	1.338
1593.0	1.14
1594.0	1.1
1595.0	1.582
1596.0	1.268
1597.0	0.931
1598.0	0.923
1599.0	1.014
1600.0	0.621
1601.0	0.437
1602.0	0.688
1603.0	0.489
1604.0	0.747
1605.0	0.684
1606.0	0.926
1607.0	0.82
1608.0	1.253
1609.0	1.339
1610.0	0.914
1611.0	1.018
1612.0	0.953
1613.0	0.733
1614.0	0.83
1615.0	0.826
1616.0	1.383
1617.0	0.994
1618.0	1.002
1619.0	0.789
1620.0	0.548
1621.0	0.983
1622.0	1.008
1623.0	0.933
1624.0	0.892
1625.0	1.275
1626.0	1.255
1627.0	0.63
1628.0	0.961
1629.0	0.991
1630.0	1.121
1631.0	0.945
1632.0	1.149
1633.0	1.198
1634.0	0.778
1635.0	1.291
1636.0	1.639
1637.0	1.71
1638.0	1.274
1639.0	1.326
1640.0	0.799
1641.0	0.45
1642.0	0.789
1643.0	0.759
1644.0	1.057
1645.0	0.685
1646.0	0.614
1647.0	0.859
1648.0	1.055
1649.0	1.033
1650.0	0.847
1651.0	0.806
1652.0	0.848
1653.0	1.123
1654.0	0.848
1655.0	0.958
1656.0	0.933
1657.0	0.998
1658.0	0.941
1659.0	1.148
1660.0	1.095
1661.0	1.015
1662.0	1.067
1663.0	1.291
1664.0	1.227
1665.0	0.971
1666.0	0.803
1667.0	1.193
1668.0	0.943
1669.0	1.128
1670.0	1.251
1671.0	1.326
1672.0	1.283
1673.0	1.201
1674.0	0.984
