# Asi_63 - PAGES 2K SANGTS Total ring width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_63 - SANGTS
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation:   /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: SANGTS
#	Location: Asia
#	Country: China (CH)
#	Northernmost_Latitude: 33.65
#	Southernmost_Latitude: 33.65
#	Easternmost_Longitude: 107.8
#	Westernmost_Longitude: 107.8
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_63
#	Earliest_Year: 1575.0
#	Most_Recent_Year: 1991.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"database":"LMR_FM"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1575.0	1.275
1576.0	0.883
1577.0	1.063
1578.0	0.856
1579.0	1.194
1580.0	0.879
1581.0	0.936
1582.0	0.806
1583.0	1.075
1584.0	1.085
1585.0	0.585
1586.0	0.862
1587.0	0.978
1588.0	1.034
1589.0	0.899
1590.0	1.037
1591.0	0.677
1592.0	0.88
1593.0	0.674
1594.0	1.169
1595.0	1.179
1596.0	1.076
1597.0	1.578
1598.0	1.288
1599.0	1.012
1600.0	0.739
1601.0	1.304
1602.0	1.0
1603.0	1.035
1604.0	1.399
1605.0	1.673
1606.0	2.212
1607.0	1.76
1608.0	1.46
1609.0	1.116
1610.0	0.968
1611.0	1.047
1612.0	0.929
1613.0	0.547
1614.0	1.292
1615.0	0.997
1616.0	0.788
1617.0	0.742
1618.0	0.771
1619.0	0.907
1620.0	0.871
1621.0	0.626
1622.0	0.792
1623.0	2.341
1624.0	1.339
1625.0	1.339
1626.0	1.545
1627.0	1.235
1628.0	1.224
1629.0	1.01
1630.0	0.328
1631.0	0.678
1632.0	0.71
1633.0	0.593
1634.0	0.62
1635.0	0.779
1636.0	0.936
1637.0	0.911
1638.0	1.235
1639.0	1.465
1640.0	1.698
1641.0	1.495
1642.0	1.317
1643.0	1.256
1644.0	1.127
1645.0	1.408
1646.0	1.296
1647.0	1.136
1648.0	0.574
1649.0	0.862
1650.0	0.808
1651.0	0.849
1652.0	0.816
1653.0	1.058
1654.0	0.649
1655.0	1.103
1656.0	1.322
1657.0	0.863
1658.0	0.85
1659.0	0.945
1660.0	1.568
1661.0	1.723
1662.0	1.568
1663.0	1.42
1664.0	0.931
1665.0	1.402
1666.0	0.946
1667.0	0.919
1668.0	1.13
1669.0	0.838
1670.0	1.081
1671.0	1.058
1672.0	0.85
1673.0	0.907
1674.0	1.046
1675.0	0.944
1676.0	0.93
1677.0	1.093
1678.0	0.844
1679.0	0.843
1680.0	0.827
1681.0	0.691
1682.0	0.844
1683.0	0.734
1684.0	0.99
1685.0	1.262
1686.0	1.282
1687.0	1.174
1688.0	0.948
1689.0	0.766
1690.0	0.155
1691.0	0.498
1692.0	0.513
1693.0	0.654
1694.0	0.753
1695.0	0.871
1696.0	0.662
1697.0	0.708
1698.0	0.872
1699.0	0.691
1700.0	0.979
1701.0	0.956
1702.0	0.663
1703.0	0.849
1704.0	0.836
1705.0	0.88
1706.0	0.713
1707.0	0.751
1708.0	0.537
1709.0	0.613
1710.0	0.763
1711.0	0.823
