# Aus_8 - PAGES 2K North Island_LIBI_Composite_1 Tree ring width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Aus_8 - North Island_LIBI_Composite_1
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Xiong, L. and Palmer, J. (2000). Reconstruction of New Zealand Temperature Back to AD 1720 Using Libocedrus Bidwillii Tree rings. Climatic Change 45: 339-359.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: North Island_LIBI_Composite_1
#	Location: Australasia
#	Country: New Zealand
#	Northernmost_Latitude: -39
#	Southernmost_Latitude: -39
#	Easternmost_Longitude: 175
#	Westernmost_Longitude: 175
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Aus_8
#	Earliest_Year: 1527.0
#	Most_Recent_Year: 1992.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"database":"LMR_FM"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1527.0	-0.605
1528.0	-0.767
1529.0	-0.68
1530.0	-0.93
1531.0	-0.976
1532.0	-0.892
1533.0	-0.384
1534.0	-0.213
1535.0	-0.142
1536.0	-0.317
1537.0	0.092
1538.0	0.196
1539.0	-0.279
1540.0	-0.625
1541.0	-0.534
1542.0	-0.967
1543.0	-1.284
1544.0	-1.668
1545.0	-1.651
1546.0	-1.167
1547.0	-0.821
1548.0	-0.271
1549.0	0.108
1550.0	0.809
1551.0	0.859
1552.0	1.163
1553.0	-1.067
1554.0	-0.475
1555.0	-0.225
1556.0	-0.35
1557.0	-0.646
1558.0	-0.621
1559.0	-0.726
1560.0	0.259
1561.0	-0.067
1562.0	0.471
1563.0	0.154
1564.0	-0.096
1565.0	-0.167
1566.0	0.146
1567.0	-0.967
1568.0	-1.147
1569.0	-0.913
1570.0	-1.072
1571.0	-0.951
1572.0	-0.058
1573.0	-0.221
1574.0	0.234
1575.0	0.446
1576.0	0.217
1577.0	-0.534
1578.0	-0.267
1579.0	-0.304
1580.0	-1.172
1581.0	-0.709
1582.0	-1.084
1583.0	-1.072
1584.0	-0.521
1585.0	-0.392
1586.0	-0.542
1587.0	-0.133
1588.0	0.5
1589.0	0.488
1590.0	0.138
1591.0	0.3
1592.0	-0.104
1593.0	-0.563
1594.0	0.092
1595.0	-0.417
1596.0	-0.088
1597.0	-0.138
1598.0	-0.826
1599.0	-1.201
1600.0	-0.642
1601.0	-0.976
1602.0	-0.655
1603.0	-1.718
1604.0	-1.272
1605.0	-0.805
1606.0	-0.296
1607.0	-0.067
1608.0	-0.208
1609.0	-0.138
1610.0	-0.442
1611.0	-0.025
1612.0	-0.984
1613.0	-1.076
1614.0	-0.884
1615.0	-1.251
1616.0	-0.863
1617.0	-1.047
1618.0	-0.479
1619.0	-0.692
1620.0	-0.063
1621.0	-0.063
1622.0	0.046
1623.0	-1.551
1624.0	-0.955
1625.0	-0.421
1626.0	-1.092
1627.0	-0.233
1628.0	0.438
1629.0	0.108
1630.0	0.796
1631.0	0.817
1632.0	0.892
1633.0	0.947
1634.0	-0.342
1635.0	-0.463
1636.0	-0.4
1637.0	0.259
1638.0	-0.73
1639.0	-0.584
1640.0	-0.613
1641.0	-0.592
1642.0	0.15
1643.0	0.259
1644.0	0.017
1645.0	-0.033
1646.0	0.192
1647.0	0.075
1648.0	0.613
1649.0	0.505
1650.0	0.542
1651.0	0.338
1652.0	0.071
1653.0	-1.797
1654.0	-1.138
1655.0	-1.226
1656.0	-0.951
1657.0	-0.584
1658.0	-1.055
1659.0	-0.592
1660.0	-0.846
1661.0	-0.938
1662.0	-0.801
1663.0	-1.151
1664.0	-0.83
1665.0	-0.855
1666.0	-0.926
1667.0	-0.834
1668.0	-0.584
1669.0	0.1
1670.0	0.563
1671.0	-0.163
1672.0	0.997
1673.0	1.067
1674.0	-0.079
1675.0	-0.004
1676.0	-0.15
1677.0	0.046
1678.0	0.384
1679.0	-1.026
1680.0	-0.108
1681.0	-0.146
1682.0	0.042
1683.0	-0.817
1684.0	-0.179
1685.0	-0.217
1686.0	-0.054
1687.0	-0.534
1688.0	-0.429
1689.0	0.267
1690.0	0.763
1691.0	0.625
1692.0	0.671
1693.0	0.801
1694.0	1.176
1695.0	0.605
1696.0	0.342
1697.0	-0.142
1698.0	-0.25
1699.0	-0.096
1700.0	-0.233
1701.0	-0.208
1702.0	0.013
1703.0	-0.021
1704.0	0.642
1705.0	0.004
1706.0	-0.425
1707.0	1.005
1708.0	0.6
1709.0	-0.321
1710.0	-0.309
1711.0	-0.65
1712.0	0.246
1713.0	0.955
1714.0	0.217
1715.0	0.6
1716.0	0.425
1717.0	0.475
1718.0	-0.288
1719.0	-0.559
1720.0	-0.142
1721.0	0.183
1722.0	0.334
1723.0	-0.279
1724.0	-0.225
1725.0	0.121
1726.0	0.571
1727.0	0.371
1728.0	0.58
1729.0	1.801
1730.0	0.325
1731.0	1.147
1732.0	-0.338
1733.0	-0.634
1734.0	-0.188
1735.0	-0.179
1736.0	-0.188
1737.0	0.346
1738.0	-0.246
1739.0	-0.179
1740.0	0.063
1741.0	0.208
1742.0	-1.434
1743.0	-0.817
1744.0	-0.075
1745.0	-0.813
1746.0	-0.329
1747.0	-0.851
1748.0	-0.663
1749.0	-0.213
1750.0	0.038
1751.0	-0.183
1752.0	0.133
1753.0	-1.309
1754.0	-0.713
1755.0	-0.542
1756.0	-0.304
