# NAm-TR_104 - PAGES 2K nv511 PIFL Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_104 - nv511
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Graybill, D.A.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: nv511
#	Location: North America
#	Country: Nevada USA
#	Northernmost_Latitude: 38.47
#	Southernmost_Latitude: 38.47
#	Easternmost_Longitude: -116.57
#	Westernmost_Longitude: -116.57
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_104
#	Earliest_Year: 1500.0
#	Most_Recent_Year: 1979.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1500	978
1501	1003
1502	1033
1503	1118
1504	940
1505	731
1506	569
1507	734
1508	662
1509	797
1510	788
1511	766
1512	883
1513	837
1514	829
1515	882
1516	1051
1517	1035
1518	1165
1519	1045
1520	1228
1521	956
1522	964
1523	981
1524	1062
1525	1229
1526	1201
1527	1406
1528	1222
1529	1015
1530	1113
1531	1296
1532	1370
1533	1087
1534	1070
1535	1365
1536	1030
1537	1117
1538	1043
1539	1301
1540	979
1541	974
1542	973
1543	904
1544	1024
1545	957
1546	684
1547	819
1548	1182
1549	1260
1550	1254
1551	1008
1552	1096
1553	1135
1554	1183
1555	992
1556	1076
1557	951
1558	769
1559	803
1560	1071
1561	1074
1562	1262
1563	1203
1564	991
1565	963
1566	1165
1567	1417
1568	1247
1569	1368
1570	1351
1571	1244
1572	1303
1573	1084
1574	1307
1575	1103
1576	1273
1577	1061
1578	863
1579	443
1580	282
1581	653
1582	688
1583	1027
1584	911
1585	795
1586	837
1587	865
1588	976
1589	884
1590	707
1591	773
1592	996
1593	791
1594	904
1595	861
1596	900
1597	807
1598	954
1599	521
1600	381
1601	946
1602	662
1603	905
1604	803
1605	782
1606	772
1607	935
1608	1038
1609	1054
1610	966
1611	945
1612	1050
1613	853
1614	1022
1615	674
1616	966
1617	761
1618	590
1619	1145
1620	1047
1621	1046
1622	1058
1623	1064
1624	936
1625	1191
1626	1005
1627	1131
1628	1020
1629	1272
1630	1109
1631	1023
1632	661
1633	1044
1634	1541
1635	1234
1636	1358
1637	1211
1638	1536
1639	1016
1640	1567
1641	744
1642	803
1643	825
1644	500
1645	280
1646	440
1647	476
1648	984
1649	834
1650	1117
1651	1409
1652	1347
1653	1291
1654	655
1655	702
1656	741
1657	926
1658	983
1659	880
1660	1043
1661	943
1662	1054
1663	848
1664	1208
1665	1137
1666	884
1667	999
1668	1107
1669	856
1670	861
1671	816
1672	780
1673	676
1674	697
1675	685
1676	764
1677	844
1678	981
1679	962
1680	1027
1681	437
1682	1138
1683	790
1684	816
1685	554
1686	654
1687	652
1688	622
1689	848
1690	784
1691	729
1692	716
1693	1022
1694	803
1695	995
1696	878
1697	1312
1698	1145
1699	914
1700	929
1701	1107
1702	1164
1703	1018
1704	1033
1705	916
1706	1291
1707	930
1708	815
1709	1039
1710	987
1711	1133
1712	1227
1713	1103
1714	1062
1715	1080
1716	1080
1717	1232
1718	1193
1719	1268
1720	1377
1721	1390
