# NAm-TR_111 - PAGES 2K nv518 JUOC Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_111 - nv518
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Meko, D.;Baisan, C.H.;Funkhouser, G.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: nv518
#	Location: North America
#	Country: Nevada USA
#	Northernmost_Latitude: 41.18
#	Southernmost_Latitude: 41.18
#	Easternmost_Longitude: -118.26
#	Westernmost_Longitude: -118.26
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_111
#	Earliest_Year: 1500.0
#	Most_Recent_Year: 1979.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1200	1.75697
1201	0.216865
1202	0.554189
1203	-0.144309
1204	0.319084
1205	-0.277193
1206	-0.56
1207	0.557596
1208	-1.74574
1209	0.789292
1210	-1.4425
1211	-1.43227
1212	0.799515
1213	-1.27894
1214	0.690481
1215	-0.246528
1216	-0.324896
1217	-0.447558
1218	-1.10857
1219	-0.376006
1220	-0.00120206
1221	0.697296
1222	-1.14606
1223	-0.93821
1224	-0.212455
1225	0.366787
1226	0.295234
1227	-0.638367
1228	-0.362376
1229	0.172571
1230	-0.011424
1231	-1.77641
1232	-1.29598
1233	0.0601295
1234	-0.226084
1235	-0.15453
1236	-0.570221
1237	-1.773
1238	-0.498669
1239	-0.703107
1240	-0.222676
1241	0.601891
1242	-0.641775
1243	-1.2108
1244	-0.805326
1245	-0.56
1246	0.250938
1247	-0.645182
1248	-1.3505
1249	-0.212455
1250	-1.41182
1251	-0.386227
1252	0.520116
1253	0.537152
1254	-1.50723
1255	-0.15453
1256	0.295234
1257	-0.798511
1258	-0.577036
1259	1.1198
1260	-0.0148313
1261	-0.348747
1262	-0.321489
1263	-1.31983
1264	-1.73211
1265	-1.03362
1266	-0.00120206
1267	0.0839806
1268	0.0601295
1269	-0.0489044
1270	1.02099
1271	-0.0591263
1272	-0.164753
1273	-0.352154
1274	0.281605
1275	-0.84962
1276	-1.72529
1277	1.26972
1278	-0.549778
1279	0.383824
1280	0.874475
1281	0.537152
1282	0.486043
1283	1.34809
1284	0.799515
1285	-1.43568
1286	0.445155
1287	1.3038
1288	-0.137494
1289	0.666629
1290	0.271382
1291	1.02439
1292	-1.13583
1293	0.622335
1294	1.2118
1295	0.693888
1296	-1.37775
1297	-1.57537
1298	-0.801918
1299	-1.05065
1300	-0.945025
1301	-1.15969
1302	-0.461188
1303	-0.709921
1304	0.145312
1305	1.73653
1306	0.506487
1307	0.639371
1308	1.18113
1309	-0.427115
1310	0.0635368
1311	0.584854
1312	0.295234
1313	-0.478225
1314	1.57979
1315	-1.10517
1316	-0.791697
1317	-0.975694
1318	0.267975
1319	-1.29257
1320	-0.355562
1321	-0.76103
1322	0.595076
1323	-0.478225
1324	-2.802
1325	-1.74574
1326	-2.24662
1327	-0.679255
1328	-1.95018
1329	-0.56
1330	0.506487
1331	1.4912
1332	0.860846
1333	1.04484
1334	1.20499
1335	-0.0420897
1336	-0.0352751
1337	1.22202
1338	2.01592
1339	0.908548
1340	2.03977
1341	2.5202
1342	1.77059
1343	2.48954
1344	1.7229
1345	0.843809
1346	1.11639
1347	1.16068
1348	0.141905
1349	1.35831
1350	-0.934803
1351	-0.355562
1352	-0.985912
1353	0.169163
1354	0.571225
1355	-0.358969
1356	0.629149
1357	1.23565
1358	-0.0352751
1359	0.482635
1360	-0.355562
1361	0.145312
1362	-1.22783
1363	0.148719
1364	-0.181789
1365	-0.767845
1366	-0.669034
1367	0.162348
1368	0.632556
1369	-0.192011
1370	-0.147716
1371	-0.140901
1372	0.966472
1373	2.04658
1374	1.91371
1375	0.428118
1376	0.264567
1377	-0.747401
1378	0.104424
1379	-0.577036
1380	-0.123865
1381	0.448562
1382	-0.393042
1383	-0.185197
1384	1.15728
1385	0.319084
1386	0.554189
1387	0.492857
1388	0.353157
1389	0.629149
1390	0.697296
