# NAm-TR_113 - PAGES 2K nm559 PIPO Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_113 - nm559
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Swetnam, T.W.;Caprio, A.C.;Lynch, A.M.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: nm559
#	Location: North America
#	Country: New Mexico USA
#	Northernmost_Latitude: 36.42
#	Southernmost_Latitude: 36.42
#	Easternmost_Longitude: -105.26
#	Westernmost_Longitude: -105.26
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_113
#	Earliest_Year: 1200.0
#	Most_Recent_Year: 1986.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"relationship":"Negative"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1200.0	0.577332
1201.0	0.69802
1202.0	0.504919
1203.0	0.899167
1204.0	0.488828
1205.0	1.12445
1206.0	0.0664193
1207.0	0.388254
1208.0	0.0945799
1209.0	-0.255415
1210.0	0.3963
1211.0	1.03192
1212.0	0.726181
1213.0	0.955488
1214.0	0.907213
1215.0	0.283658
1216.0	-0.170934
1217.0	-2.02148
1218.0	-2.95882
1219.0	0.529057
1220.0	0.380208
1221.0	0.436529
1222.0	0.512965
1223.0	-0.102544
1224.0	-0.396218
1225.0	0.187107
1226.0	0.529057
1227.0	-1.85252
1228.0	0.565263
1229.0	0.0181441
1230.0	-0.983567
1231.0	-0.00599352
1232.0	-0.263461
1233.0	-1.32551
1234.0	-1.42207
1235.0	-0.750236
1236.0	-0.762305
1237.0	-0.106567
1238.0	0.360094
1239.0	0.412392
1240.0	-0.17898
1241.0	-0.170934
1242.0	-0.303691
1243.0	0.235383
1244.0	-0.476677
1245.0	-0.251393
1246.0	-1.99332
1247.0	-0.34392
1248.0	0.858938
1249.0	0.60147
1250.0	-0.323805
1251.0	0.247451
1252.0	0.263543
1253.0	1.65145
1254.0	-2.0416
1255.0	-0.601388
1256.0	-0.227255
1257.0	1.42617
1258.0	-1.63528
1259.0	0.665837
1260.0	0.774456
1261.0	1.64744
1262.0	1.8003
1263.0	1.80835
1264.0	1.53881
1265.0	0.569286
1266.0	-0.355989
1267.0	0.593424
1268.0	0.742272
1269.0	0.287681
1270.0	1.01181
1271.0	1.11238
1272.0	1.51065
1273.0	-0.541044
1274.0	1.10434
1275.0	2.13823
1276.0	-0.512883
1277.0	1.21698
1278.0	0.802616
1279.0	1.14457
1280.0	0.677905
1281.0	0.16297
1282.0	0.154924
1283.0	0.854915
1284.0	0.384231
1285.0	-0.211163
1286.0	0.545149
1287.0	-0.742191
1288.0	-0.955406
1289.0	-0.504837
1290.0	-0.0864522
1291.0	-0.0623146
1292.0	0.187107
1293.0	0.295727
1294.0	-0.17898
1295.0	0.158947
1296.0	-0.464608
1297.0	-1.42608
1298.0	-1.01575
1299.0	-1.48643
1300.0	0.114695
1301.0	-0.512883
1302.0	-0.858856
1303.0	-0.0663375
1304.0	-0.722076
1305.0	0.146878
1306.0	0.187107
1307.0	-0.991613
1308.0	0.199176
1309.0	-0.283576
1310.0	0.710089
1311.0	0.673883
1312.0	0.500896
1313.0	1.41007
1314.0	1.23709
1315.0	-0.516906
1316.0	-0.718053
1317.0	0.436529
1318.0	0.335956
1319.0	0.577332
1320.0	1.49858
1321.0	2.45604
1322.0	0.951465
1323.0	-1.17667
1324.0	1.30146
1325.0	1.73996
1326.0	0.452621
1327.0	0.871006
1328.0	1.67962
1329.0	0.0543505
1330.0	0.500896
1331.0	1.12043
1332.0	0.529057
1333.0	1.26123
1334.0	-1.18873
1335.0	-1.04392
1336.0	-1.9008
1337.0	-0.183003
1338.0	-1.24908
1339.0	-1.67149
1340.0	-1.27724
1341.0	-1.36977
1342.0	-1.36977
1343.0	-0.368058
1344.0	-0.271507
1345.0	-0.146796
1346.0	0.496873
1347.0	-0.742191
1348.0	-0.0904751
1349.0	-0.20714
1350.0	-0.223232
1351.0	-0.935291
1352.0	-0.516906
1353.0	-0.887016
1354.0	-1.06805
1355.0	0.283658
1356.0	0.295727
1357.0	0.271589
1358.0	-0.0180623
1359.0	-0.372081
1360.0	-0.368058
1361.0	-1.51862
1362.0	-1.59908
1363.0	-0.955406
1364.0	-1.01173
1365.0	-0.677824
1366.0	0.339979
1367.0	0.344002
1368.0	0.621584
1369.0	1.26526
1370.0	0.979626
1371.0	0.110672
1372.0	-0.255415
1373.0	0.0664193
1374.0	-0.384149
1375.0	-0.585296
1376.0	-0.263461
1377.0	-2.37952
1378.0	-0.106567
1379.0	-2.59676
1380.0	-0.573227
1381.0	0.102626
1382.0	-1.42608
1383.0	-0.428402
1384.0	-0.862879
1385.0	0.46469
1386.0	0.380208
1387.0	0.380208
1388.0	0.782502
1389.0	0.424461
1390.0	0.802616
