# NAm-TR_115 - PAGES 2K nm572 PSME Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_115 - nm572
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Grissino-Mayer, H.D.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: nm572
#	Location: North America
#	Country: New Mexico USA
#	Northernmost_Latitude: 34.58
#	Southernmost_Latitude: 34.58
#	Easternmost_Longitude: -108.06
#	Westernmost_Longitude: -108.06
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_115
#	Earliest_Year: 1200.0
#	Most_Recent_Year: 1986.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"relationship":"Negative"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1200	3.28567
1201	1.92112
1202	1.71963
1203	0.856495
1204	0.0391396
1205	0.142168
1206	0.609227
1207	0.249774
1208	0.224589
1209	0.497042
1210	1.11979
1211	1.49298
1212	0.700808
1213	-0.338629
1214	-1.38036
1215	-1.59328
1216	-0.38442
1217	-2.18626
1218	-0.620239
1219	-0.19439
1220	-0.624818
1221	-1.0873
1222	-0.791953
1223	0.0757721
1224	0.341355
1225	-0.0455722
1226	0.916021
1227	-1.0438
1228	1.04881
1229	0.938917
1230	0.673333
1231	1.11063
1232	1.60287
1233	0.398593
1234	0.12843
1235	1.03966
1236	0.220011
1237	1.22968
1238	1.06484
1239	0.485594
1240	0.396303
1241	1.59372
1242	1.80893
1243	0.913732
1244	1.422
1245	-0.146311
1246	-0.441658
1247	0.0940874
1248	0.609227
1249	0.964102
1250	-0.714109
1251	-1.78102
1252	-0.1486
1253	0.153615
1254	-1.83368
1255	0.391724
1256	-0.306576
1257	-0.446236
1258	-1.12851
1259	0.927469
1260	-0.327182
1261	-0.150889
1262	1.18848
1263	0.45583
1264	0.851915
1265	0.620675
1266	0.632122
1267	0.0826405
1268	1.94859
1269	-1.00946
1270	0.0597453
1271	0.627544
1272	-0.766768
1273	-0.801111
1274	-0.533237
1275	0.0437186
1276	-1.64136
1277	-0.480579
1278	-0.560712
1279	0.105535
1280	-1.03693
1281	-0.0295456
1282	-0.446236
1283	-1.06669
1284	-0.258496
1285	-0.590475
1286	-1.05296
1287	-0.514922
1288	-2.113
1289	-0.672897
1290	-0.288261
1291	-0.867506
1292	-0.75761
1293	0.00937597
1294	-0.38213
1295	-1.46049
1296	-0.549265
1297	-0.835453
1298	0.26809
1299	0.00479699
1300	-0.260786
1301	0.659597
1302	1.44261
1303	0.531384
1304	0.233748
1305	1.93485
1306	1.52732
1307	0.700808
1308	-0.217285
1309	1.49069
1310	2.51868
1311	0.913732
1312	0.856495
1313	2.04018
1314	0.932048
1315	-0.798821
1316	-1.00946
1317	0.586332
1318	0.524516
1319	0.785519
1320	0.778651
1321	1.28006
1322	0.103246
1323	-0.535527
1324	-0.24018
1325	1.58914
1326	0.540543
1327	-0.482869
1328	-0.224153
1329	-0.38213
1330	0.272669
1331	1.23655
1332	1.32356
1333	1.03507
1334	0.416909
1335	-0.75761
1336	0.226879
1337	1.31211
1338	-1.38494
1339	0.307012
1340	-0.872085
1341	-1.49941
1342	-0.0318352
1343	-0.769058
1344	-0.386709
1345	-0.0982309
1346	-0.290549
1347	-1.83597
1348	-0.279102
1349	-0.359235
1350	-1.38264
1351	-0.89727
1352	-0.622529
1353	0.890838
1354	0.803835
1355	-0.853769
1356	-0.111968
1357	0.435225
1358	1.38995
1359	0.648149
1360	-1.14454
1361	-0.237891
1362	-0.139442
1363	-1.52688
1364	-0.840032
1365	-1.1743
1366	-0.118837
1367	-0.780505
1368	0.0643242
1369	-1.13996
1370	0.31388
1371	0.0643242
1372	-0.19439
1373	0.975549
1374	0.883968
1375	-0.164627
1376	-1.32083
1377	0.483305
1378	0.510778
1379	-0.466842
1380	1.71735
1381	0.149036
1382	-1.27275
1383	0.64128
1384	0.304723
1385	0.796967
1386	2.39276
1387	-0.0409932
1388	0.421487
1389	-0.453105
1390	0.165063
1391	0.0895088
1392	1.01447
1393	0.810704
1394	2.28743
1395	0.169641
1396	1.30982
1397	-0.533237
1398	0.0574557
1399	-0.501184
1400	0.261222
1401	-0.0409932
1402	0.0254026
1403	-0.693504
1404	0.517647
1405	-0.540107
1406	0.419198
1407	-0.492027
1408	-0.217285
1409	1.16787
1410	0.12843
1411	-1.40554
1412	0.728282
1413	-1.51773
1414	0.5497
1415	-0.8469
1416	-0.501184
1417	0.279538
1418	-1.64136
1419	-1.13538
1420	-0.10052
