# NAm-TR_116 - PAGES 2K or009 JUOC Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_116 - or009
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Holmes, R.L.;Adams, R.K.;Rose, M.R.;Wu, X.D.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: or009
#	Location: North America
#	Country: Oregon USA
#	Northernmost_Latitude: 43.59
#	Southernmost_Latitude: 43.59
#	Easternmost_Longitude: -118.48
#	Westernmost_Longitude: -118.48
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_116
#	Earliest_Year: 1200.0
#	Most_Recent_Year: 1986.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1500	1117
1501	1041
1502	635
1503	1177
1504	1122
1505	1011
1506	1362
1507	1096
1508	1210
1509	967
1510	1282
1511	754
1512	903
1513	829
1514	909
1515	581
1516	978
1517	1126
1518	490
1519	1352
1520	793
1521	1074
1522	885
1523	1334
1524	986
1525	1042
1526	1505
1527	844
1528	798
1529	626
1530	993
1531	704
1532	263
1533	852
1534	1020
1535	1448
1536	1819
1537	1484
1538	1297
1539	996
1540	648
1541	1250
1542	1202
1543	1093
1544	567
1545	916
1546	847
1547	922
1548	1274
1549	869
1550	977
1551	1035
1552	1016
1553	1135
1554	691
1555	849
1556	1285
1557	1873
1558	1469
1559	1205
1560	1379
1561	1077
1562	1085
1563	898
1564	1905
1565	801
1566	1191
1567	1167
1568	1535
1569	825
1570	621
1571	618
1572	1009
1573	1040
1574	1367
1575	1119
1576	964
1577	1422
1578	1059
1579	1368
1580	780
1581	765
1582	1177
1583	992
1584	691
1585	1006
1586	953
1587	1425
1588	1293
1589	1004
1590	868
1591	909
1592	1025
1593	843
1594	598
1595	636
1596	1348
1597	1724
1598	1001
1599	1309
1600	591
1601	1126
1602	1177
1603	1322
1604	1132
1605	1055
1606	1150
1607	1230
1608	1706
1609	1037
1610	1765
1611	1148
1612	1179
1613	481
1614	724
1615	976
1616	1205
1617	1576
1618	795
1619	903
1620	885
1621	1326
1622	944
1623	790
1624	1522
1625	1050
1626	723
1627	1371
1628	899
1629	999
1630	1068
1631	1205
1632	675
1633	1716
1634	1488
1635	1443
1636	1321
1637	1008
1638	931
1639	1069
1640	1304
1641	1500
1642	2118
1643	965
1644	1148
1645	865
1646	860
1647	817
1648	992
1649	1079
1650	922
1651	475
1652	433
1653	413
1654	504
1655	652
1656	1070
1657	446
1658	802
1659	802
1660	905
1661	794
1662	806
1663	1273
1664	911
1665	942
1666	1161
1667	731
1668	918
1669	958
1670	1040
1671	1372
1672	1203
1673	765
1674	769
1675	701
1676	1028
1677	676
1678	1056
1679	1004
1680	881
1681	2046
1682	808
1683	737
1684	1254
1685	1393
1686	1000
1687	1077
1688	1002
1689	1126
1690	757
1691	871
1692	683
1693	849
1694	1344
1695	859
1696	570
1697	962
1698	912
1699	1092
1700	1109
1701	1029
1702	1163
1703	650
1704	801
1705	616
1706	592
1707	894
1708	711
1709	747
1710	741
1711	800
1712	740
1713	1018
1714	856
1715	1112
1716	1124
1717	482
1718	845
1719	617
1720	762
1721	331
1722	917
1723	814
1724	913
1725	922
