# NAm-TR_127 - PAGES 2K ut508 PILO Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_127 - ut508
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Graybill, D.A.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: ut508
#	Location: North America
#	Country: Utah USA
#	Northernmost_Latitude: 39.25
#	Southernmost_Latitude: 39.25
#	Easternmost_Longitude: -111.04
#	Westernmost_Longitude: -111.04
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_127
#	Earliest_Year: 1500.0
#	Most_Recent_Year: 1979.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"relationship":"Negative"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1500	431
1501	749
1502	758
1503	828
1504	885
1505	436
1506	347
1507	1192
1508	972
1509	1261
1510	913
1511	1184
1512	1193
1513	1020
1514	1256
1515	981
1516	1181
1517	843
1518	783
1519	1045
1520	1156
1521	1145
1522	542
1523	1149
1524	1066
1525	868
1526	1273
1527	1311
1528	992
1529	1331
1530	1067
1531	1057
1532	556
1533	725
1534	597
1535	987
1536	1248
1537	1228
1538	725
1539	908
1540	950
1541	1010
1542	490
1543	792
1544	413
1545	735
1546	752
1547	696
1548	888
1549	1026
1550	1352
1551	1154
1552	1443
1553	1476
1554	1452
1555	1336
1556	1639
1557	1483
1558	1150
1559	903
1560	1048
1561	1042
1562	1088
1563	946
1564	1475
1565	1191
1566	1168
1567	1198
1568	1014
1569	1347
1570	1444
1571	1060
1572	978
1573	712
1574	1365
1575	1067
1576	859
1577	1266
1578	1197
1579	738
1580	698
1581	1044
1582	1193
1583	943
1584	302
1585	534
1586	877
1587	1040
1588	1027
1589	862
1590	690
1591	1366
1592	711
1593	833
1594	1288
1595	1036
1596	1238
1597	1363
1598	1220
1599	1365
1600	379
1601	832
1602	1033
1603	1086
1604	1252
1605	1468
1606	1239
1607	1023
1608	1065
1609	1267
1610	1347
1611	1096
1612	1091
1613	1060
1614	1095
1615	1235
1616	1312
1617	1436
1618	1130
1619	1370
1620	1569
1621	1724
1622	1097
1623	746
1624	835
1625	972
1626	715
1627	845
1628	908
1629	975
1630	1017
1631	597
1632	365
1633	1275
1634	1446
1635	1122
1636	1220
1637	741
1638	466
1639	1002
1640	1217
1641	1166
1642	1260
1643	1372
1644	1397
1645	496
1646	1323
1647	1037
1648	925
1649	1331
1650	1112
1651	1382
1652	562
1653	930
1654	804
1655	1165
1656	1179
1657	1398
1658	1022
1659	863
1660	946
1661	1443
1662	1012
1663	659
1664	1000
1665	926
1666	574
1667	1027
1668	591
1669	797
1670	338
1671	1095
1672	802
1673	1134
1674	1138
1675	961
1676	1025
1677	1227
1678	1057
1679	1071
1680	1179
1681	1163
1682	1192
1683	1159
1684	565
1685	469
1686	607
1687	1111
1688	997
1689	1170
1690	915
1691	1023
1692	1161
1693	1203
1694	1343
1695	1172
1696	953
1697	1004
1698	1081
1699	928
1700	904
1701	1044
1702	1066
1703	456
1704	721
1705	1022
1706	835
1707	548
1708	626
1709	623
1710	729
1711	833
1712	1168
1713	852
1714	849
1715	997
1716	740
1717	604
1718	987
1719	1127
1720	1181
1721	1118
1722	576
1723	962
1724	1147
1725	871
1726	975
1727	1072
1728	825
1729	264
1730	623
1731	1090
1732	867
1733	1023
1734	1146
1735	294
1736	897
1737	512
1738	934
1739	974
1740	686
1741	841
1742	781
1743	1004
1744	725
1745	614
1746	1050
1747	1100
1748	622
1749	1395
1750	983
1751	728
1752	303
1753	963
1754	769
1755	843
1756	813
1757	603
1758	867
1759	1055
1760	1082
1761	1007
1762	1038
1763	486
1764	989
1765	1227
1766	1165
1767	1231
1768	908
1769	1044
1770	1017
1771	1224
1772	858
1773	750
1774	487
1775	913
1776	859
1777	655
1778	446
1779	769
1780	487
1781	897
1782	405
1783	844
1784	999
1785	929
1786	866
1787	1217
1788	668
1789	340
1790	1105
1791	938
1792	1240
1793	995
1794	735
1795	627
1796	742
1797	860
1798	936
1799	1030
1800	657
1801	1183
1802	1042
1803	920
1804	827
1805	980
1806	713
1807	1034
1808	1137
1809	1080
1810	1244
1811	855
1812	805
1813	506
1814	973
1815	959
1816	1047
1817	1178
1818	669
1819	1010
1820	958
1821	1179
1822	687
1823	995
1824	676
1825	1119
1826	1078
1827	905
1828	1208
1829	1033
1830	769
1831	1155
1832	936
1833	1196
1834	1092
1835	1111
1836	781
1837	1310
1838	1125
1839	1188
1840	1196
1841	1352
1842	1001
1843	1383
1844	1042
1845	647
1846	809
1847	703
1848	1123
1849	1250
1850	1153
1851	1144
1852	857
1853	1107
1854	1282
1855	920
1856	892
1857	923
1858	1200
1859	428
1860	855
1861	655
1862	1288
1863	860
1864	801
1865	732
1866	1497
1867	1193
1868	1435
1869	1488
1870	1200
1871	574
1872	1078
1873	823
1874	1125
1875	819
1876	604
1877	1215
1878	967
1879	824
1880	598
1881	779
1882	380
1883	471
1884	1065
1885	1214
1886	1149
1887	700
1888	895
1889	945
1890	872
1891	1266
1892	975
1893	707
1894	1025
1895	1162
1896	746
1897	1329
1898	1812
1899	708
1900	1090
1901	615
1902	819
1903	1004
1904	1230
1905	1131
1906	1189
1907	1597
1908	1278
1909	981
1910	1424
1911	1562
1912	1279
1913	1338
1914	1905
1915	1637
1916	1001
1917	1276
1918	847
1919	1225
1920	1071
1921	1402
1922	1386
1923	1291
1924	865
1925	1411
1926	1245
1927	1083
1928	1299
1929	1142
1930	1200
1931	987
1932	591
1933	943
1934	500
1935	871
1936	710
1937	1258
1938	874
1939	1058
1940	964
1941	1298
1942	1366
1943	1080
1944	1512
1945	825
1946	732
1947	1124
1948	1018
1949	1294
1950	938
1951	884
1952	1171
1953	806
1954	1034
1955	743
1956	603
1957	1354
1958	1246
1959	775
1960	1115
1961	985
1962	1338
1963	919
1964	896
1965	1242
1966	1090
1967	1176
1968	992
1969	1214
1970	1143
1971	1067
1972	948
1973	1195
1974	685
1975	1201
1976	1069
1977	770
1978	1168
1979	1060
1980	1262
