# NAm-TR_130 - PAGES 2K ut527 PIED Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_130 - ut527
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Pederson, G.T., S.T. Gray, C.A. Woodhouse, J.L. Betancourt, D.B. Fagre, J.S. Littell, E. Watson, B.H. Luckman, and L.J. Graumlich. 2011. The unusual nature of recent snowpack declines in the North American Cordillera. Sciencexpress, Published online 9 June 2011. DOI: 10.1126/science.1201570  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: ut527
#	Location: North America
#	Country: Utah USA
#	Northernmost_Latitude: 39.83
#	Southernmost_Latitude: 39.83
#	Easternmost_Longitude: -110.17
#	Westernmost_Longitude: -110.17
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_130
#	Earliest_Year: 1200.0
#	Most_Recent_Year: 1986.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"relationship":"Negative"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##clim_signal	PIED, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	clim_signal
1200.0	-0.84555
1201.0	-1.02134
1202.0	0.238468
1203.0	-0.822112
1204.0	-0.034001
1205.0	-0.529134
1206.0	0.387887
1207.0	-0.70492
1208.0	-2.79678
1209.0	-0.775235
1210.0	-0.499836
1211.0	-0.485187
1212.0	-0.206858
1213.0	-0.18342
1214.0	-0.452959
1215.0	-0.608238
1216.0	0.0656114
1217.0	-2.87589
1218.0	-1.85925
1219.0	-1.58678
1220.0	-0.854339
1221.0	-1.3231
1222.0	-0.690271
1223.0	-0.655114
1224.0	-1.39049
1225.0	-0.116035
1226.0	-0.608238
1227.0	0.288275
1228.0	-1.01548
1229.0	-0.0398606
1230.0	0.329292
1231.0	0.258977
1232.0	-0.400223
1233.0	-2.87589
1234.0	-0.242015
1235.0	-1.38756
1236.0	0.317572
1237.0	-0.250805
1238.0	0.0509625
1239.0	0.130067
1240.0	1.21115
1241.0	1.19651
1242.0	0.382028
1243.0	0.622269
1244.0	0.0128754
1245.0	-0.690271
1246.0	0.127137
1247.0	1.57445
1248.0	0.472851
1249.0	0.182803
1250.0	-2.87589
1251.0	-1.6864
1252.0	-0.0691584
1253.0	-0.382645
1254.0	-1.14732
1255.0	-0.0925966
1256.0	0.730671
1257.0	-0.622887
1258.0	0.757039
1259.0	0.595901
1260.0	0.61055
1261.0	-1.12095
1262.0	-0.599448
1263.0	-1.65124
1264.0	-0.385574
1265.0	-1.09165
1266.0	-0.631676
1267.0	-0.297681
1268.0	0.61055
1269.0	-0.930513
1270.0	-2.87589
1271.0	-1.0477
1272.0	0.466991
1273.0	-1.3231
1274.0	-1.2147
1275.0	-0.165841
1276.0	0.75118
1277.0	0.739461
1278.0	1.33128
1279.0	0.604691
1280.0	-1.2147
1281.0	-1.26158
1282.0	-0.0457202
1283.0	-0.321119
1284.0	0.604691
1285.0	-2.02918
1286.0	-0.57308
1287.0	-0.0545095
1288.0	-0.734218
1289.0	0.490429
1290.0	1.82055
1291.0	0.803916
1292.0	-0.716639
1293.0	0.792197
1294.0	0.261907
1295.0	-1.89441
1296.0	0.162294
1297.0	1.02658
1298.0	1.37522
1299.0	0.168154
1300.0	0.449412
1301.0	0.437693
1302.0	0.803916
1303.0	1.05588
1304.0	1.04709
1305.0	1.25803
1306.0	-0.168771
1307.0	-2.87589
1308.0	0.0245945
1309.0	1.02365
1310.0	1.50999
1311.0	0.885949
1312.0	0.200381
1313.0	1.16135
1314.0	0.888879
1315.0	0.235539
1316.0	-1.12974
1317.0	-0.84262
1318.0	-0.614097
1319.0	0.305853
1320.0	1.02951
1321.0	0.203311
1322.0	-0.165841
1323.0	-0.567221
1324.0	-1.70397
1325.0	-0.918794
