# NAm-TR_133 - PAGES 2K ut530 PSME Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_133 - ut530
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Pederson, G.T., S.T. Gray, C.A. Woodhouse, J.L. Betancourt, D.B. Fagre, J.S. Littell, E. Watson, B.H. Luckman, and L.J. Graumlich. 2011. The unusual nature of recent snowpack declines in the North American Cordillera. Sciencexpress, Published online 9 June 2011. DOI: 10.1126/science.1201570  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: ut530
#	Location: North America
#	Country: Utah USA
#	Northernmost_Latitude: 39.6
#	Southernmost_Latitude: 39.6
#	Easternmost_Longitude: -110.33
#	Westernmost_Longitude: -110.33
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_133
#	Earliest_Year: 1200.0
#	Most_Recent_Year: 1986.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"relationship":"Negative"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1200	-0.199939
1201	-0.470574
1202	-0.214836
1203	0.852808
1204	1.86831
1205	1.13089
1206	0.515134
1207	-0.684103
1208	-0.622031
1209	-0.708932
1210	-0.366293
1211	0.61445
1212	0.964538
1213	1.14827
1214	0.780804
1215	0.477891
1216	-0.62948
1217	-0.991982
1218	-1.43394
1219	1.2749
1220	1.84597
1221	0.1427
1222	0.664108
1223	0.251948
1224	-1.97024
1225	0.455545
1226	1.41891
1227	-1.78403
1228	1.0862
1229	-0.0832431
1230	0.356229
1231	0.39099
1232	-0.0782773
1233	-0.684103
1234	-2.02983
1235	0.679005
1236	-1.32469
1237	-0.378707
1238	-0.699001
1239	-0.510301
1240	-0.358844
1241	0.492788
1242	0.989367
1243	0.0210384
1244	0.788252
1245	-0.309186
1246	-0.415951
1247	-0.554993
1248	0.716249
1249	0.634313
1250	0.120354
1251	-2.11673
1252	0.74356
1253	0.135252
1254	-1.34704
1255	0.209738
1256	0.827979
1257	0.619416
1258	-2.06459
1259	1.80872
1260	1.74665
1261	0.577207
1262	-0.465609
1263	-0.301738
1264	-1.03171
1265	-0.038551
1266	-1.1062
1267	0.224636
1268	0.192358
1269	-0.135384
1270	-0.820662
1271	-0.967153
1272	0.403404
1273	-0.885218
1274	-1.24027
1275	0.671557
1276	-0.892666
1277	-0.656791
1278	0.381058
1279	-1.0764
1280	-2.17881
1281	-0.92991
1282	-0.428365
1283	-1.87838
1284	0.579689
1285	-1.87341
1286	-1.47366
1287	-1.0764
1288	-0.927427
1289	-0.711415
1290	0.929777
1291	0.701351
1292	-0.942324
1293	0.552378
1294	-0.473057
1295	-1.91065
1296	0.112905
1297	0.25443
1298	0.346297
1299	-0.418434
1300	1.06882
1301	1.70692
1302	1.81369
1303	2.11163
1304	0.460511
1305	0.460511
1306	0.507686
1307	-2.16391
1308	-0.902598
1309	1.84348
1310	2.6827
1311	1.6672
1312	0.0980081
1313	0.746043
1314	0.919846
1315	-0.455677
1316	-1.46621
1317	-1.5407
1318	-1.11116
1319	0.599553
1320	0.343815
1321	0.810599
1322	0.510168
1323	-0.06338
1324	0.0210384
1325	1.36925
1326	0.338849
1327	-0.895149
1328	-1.46125
1329	-0.398571
1330	1.35932
1331	1.62002
1332	2.99306
1333	3.29597
1334	1.14827
1335	-0.170144
1336	-0.28684
1337	0.115388
1338	-0.557476
1339	0.736112
1340	0.415818
1341	1.26993
1342	0.341332
1343	-1.22786
1344	0.855291
1345	0.651693
1346	-0.271943
1347	-0.748659
1348	-0.473057
1349	-0.768522
1350	-2.09935
1351	-1.34704
1352	-1.34952
1353	1.34939
1354	0.582172
1355	0.522583
1356	0.979435
1357	1.89811
1358	1.04647
1359	0.728663
1360	-1.33214
1361	-1.67478
1362	-1.24524
1363	-1.28248
1364	-0.502852
1365	-0.761073
1366	0.120354
1367	-0.393605
1368	0.666591
1369	-0.361327
1370	1.48346
1371	0.616933
1372	1.98749
1373	0.572241
1374	2.08681
1375	-0.264494
1376	0.187392
1377	-0.262011
1378	-0.353878
1379	-1.04909
1380	1.07379
1381	-0.0608971
1382	0.636796
1383	1.10358
1384	0.835427
1385	0.860256
1386	1.65727
1387	0.773355
1388	0.246982
1389	-1.28496
1390	-0.465609
1391	-0.679138
1392	1.04399
1393	-0.085726
1394	1.3767
1395	0.197324
1396	0.472925
1397	-0.91253
1398	-0.517749
1399	-1.04661
1400	-0.0807602
1401	-0.0311023
1402	-1.94541
1403	-1.00688
1404	0.29664
1405	-0.309186
1406	0.361195
1407	-1.15834
1408	-0.47554
1409	-0.279392
1410	-0.721347
1411	-0.820662
1412	0.78577
1413	-0.428365
1414	1.51574
1415	-1.33462
1416	0.0806279
1417	0.157598
1418	1.57533
1419	0.100491
1420	-0.28684
1421	-1.28248
1422	0.0706963
1423	0.381058
1424	1.0862
1425	0.701351
1426	0.497754
1427	1.10855
1428	1.35187
1429	-0.969636
1430	0.152632
1431	0.214704
1432	1.44125
1433	0.281742
1434	0.778321
1435	-0.617065
1436	1.67713
1437	-0.515267
1438	-1.09626
1439	-0.132901
1440	0.61445
1441	1.54553
1442	-1.72444
1443	0.078145
1444	-0.949773
1445	-0.857906
1446	-1.04164
1447	0.865222
1448	0.698868
1449	-0.393605
1450	-1.54567
1451	1.60761
1452	1.33697
1453	1.83852
1454	0.304088
1455	-1.02923
1456	-0.81818
1457	-0.244631
1458	0.587138
1459	0.59707
1460	-1.59036
1461	-1.77161
1462	-0.122969
1463	0.790735
1464	0.311537
1465	-1.32717
1466	0.0334529
1467	0.74356
1468	-0.113038
1469	0.438165
1470	0.701351
1471	-1.33959
1472	-1.26758
1473	-1.36938
1474	-1.47863
1475	-2.06459
1476	-0.0360681
1477	0.279259
1478	1.18552
1479	0.0235213
1480	-1.40414
1481	-1.03667
1482	0.485339
1483	0.405887
1484	1.81369
1485	0.562309
1486	0.59707
1487	-0.14035
1488	-0.204905
1489	0.465476
1490	1.49091
1491	2.00487
1492	-1.08385
1493	0.157598
1494	0.177461
1495	-1.54318
1496	-1.80141
1497	-1.37435
1498	0.276776
1499	-0.68162
1500	-1.11116
1501	-1.00936
1502	-0.624514
1503	-0.430848
1504	-0.659274
1505	-1.28248
1506	-2.34516
1507	-0.485472
1508	-0.0832431
1509	0.42575
1510	-1.37435
1511	-0.0509655
1512	0.433199
1513	-0.194973
1514	2.01728
1515	-1.04164
1516	0.279259
1517	1.188
1518	-1.01929
1519	1.37422
1520	0.276776
1521	0.162563
1522	-1.05902
1523	0.835427
1524	-0.388639
1525	0.102974
1526	1.22028
1527	1.71685
1528	-0.66424
1529	0.942192
1530	0.363678
1531	-1.62512
1532	-2.12666
1533	0.00614107
1534	-0.281875
1535	-0.0981405
1536	1.04896
1537	-0.0435168
1538	-0.413468
1539	0.00365817
1540	0.634313
1541	0.266845
1542	-1.28
1543	-0.751141
1544	-1.85355
1545	-1.05902
1546	-0.279392
1547	-0.420917
1548	0.0980081
1549	0.539963
1550	1.33697
1551	0.388507
1552	0.234567
1553	1.68209
1554	0.490305
1555	0.7088
1556	1.51822
1557	1.73672
1558	-0.768522
1559	-0.180076
1560	0.654176
1561	0.969504
1562	0.957089
1563	-0.0459997
1564	1.14331
1565	0.758458
1566	-0.895149
1567	0.818047
1568	-0.56989
1569	-0.410985
1570	0.338849
1571	-0.32905
1572	0.197324
1573	-1.12854
1574	-0.108072
1575	-0.334015
1576	-0.696518
1577	0.790735
1578	0.865222
1579	-1.20055
1580	-1.88334
1581	0.450579
1582	-1.24524
1583	-0.865355
1584	-2.42213
1585	-0.748659
1586	-0.271943
1587	0.368644
1588	-0.0584142
1589	0.204773
1590	-0.686586
1591	-0.813214
1592	-1.48856
1593	-0.0410339
1594	0.21967
1595	0.266845
1596	1.08123
1597	-0.254563
1598	-0.689069
1599	-0.761073
1600	-1.80637
1601	0.162563
1602	0.589621
1603	1.23021
1604	1.56788
1605	1.22276
1606	0.564792
1607	-0.435814
1608	0.00365817
1609	2.12157
1610	1.5356
1611	0.569758
1612	-0.654309
1613	-0.654309
1614	1.0862
1615	1.50084
1616	1.60264
1617	1.90059
1618	1.89314
1619	1.75162
1620	1.2029
1621	2.2035
1622	-0.219802
1623	0.88012
1624	0.0334529
1625	0.0508331
1626	-1.5556
1627	-0.433331
1628	-1.34952
1629	-0.875286
1630	-0.294289
1631	-1.15337
1632	-2.35757
1633	0.227119
1634	0.746043
1635	-0.0882089
1636	-0.274426
1637	-1.8312
1638	-1.31476
1639	-0.495403
1640	0.0930423
1641	-0.644377
1642	0.805633
1643	0.368644
1644	0.261879
1645	-1.20799
1646	0.952123
1647	0.760941
1648	-1.35945
1649	1.72679
1650	-0.768522
1651	1.40401
1652	-0.219802
1653	-0.996948
1654	0.0185555
1655	0.656659
1656	0.105457
1657	1.5505
1658	0.952123
1659	-0.353878
1660	-1.09626
1661	-0.94729
1662	-0.813214
1663	-0.336498
1664	-0.902598
1665	-1.05405
1666	-1.40911
1667	-1.30979
1668	-1.51091
1669	-0.309186
1670	-1.67974
1671	-1.25517
1672	-0.957222
