# NAm-TR_57 - PAGES 2K co545 PIFL Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_57 - co545
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Graybill, D.A.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: co545
#	Location: North America
#	Country: ColoradoUSA
#	Northernmost_Latitude: 40.03
#	Southernmost_Latitude: 40.03
#	Easternmost_Longitude: -105.33
#	Westernmost_Longitude: -105.33
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_57
#	Earliest_Year: 1500.0
#	Most_Recent_Year: 1979.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1500	787
1501	983
1502	821
1503	1015
1504	1175
1505	1033
1506	1270
1507	1390
1508	1279
1509	1636
1510	1321
1511	1511
1512	1226
1513	1323
1514	1305
1515	1353
1516	1326
1517	1359
1518	1071
1519	1155
1520	930
1521	1031
1522	968
1523	1015
1524	1096
1525	1109
1526	1041
1527	943
1528	795
1529	1051
1530	1169
1531	977
1532	1042
1533	1037
1534	938
1535	1202
1536	1482
1537	1409
1538	1270
1539	1507
1540	1209
1541	1066
1542	993
1543	1055
1544	1093
1545	1115
1546	987
1547	862
1548	1007
1549	1183
1550	1262
1551	1186
1552	1080
1553	1047
1554	1179
1555	1109
1556	1007
1557	953
1558	914
1559	1031
1560	1097
1561	917
1562	1067
1563	984
1564	1099
1565	1241
1566	971
1567	811
1568	1159
1569	966
1570	1023
1571	930
1572	1227
1573	1170
1574	1202
1575	1009
1576	849
1577	914
1578	1018
1579	928
1580	967
1581	852
1582	1088
1583	1117
1584	760
1585	929
1586	969
1587	977
1588	1275
1589	1182
1590	1136
1591	1006
1592	1176
1593	1150
1594	1195
1595	1237
1596	1058
1597	1473
1598	1167
1599	1055
1600	1025
1601	1142
1602	1299
1603	1271
1604	1117
1605	1256
1606	1059
1607	1005
1608	1161
1609	927
1610	904
1611	1004
1612	891
1613	943
1614	1003
1615	977
1616	938
1617	1078
1618	833
1619	1134
1620	1169
1621	1014
1622	894
1623	1071
1624	829
1625	675
1626	943
1627	833
1628	894
1629	1012
1630	932
1631	919
1632	810
1633	765
1634	814
1635	619
1636	883
1637	989
1638	1015
1639	905
1640	1013
1641	964
1642	872
1643	1002
1644	924
1645	707
1646	875
1647	959
1648	990
1649	999
1650	939
1651	949
1652	753
1653	805
1654	577
1655	850
1656	800
1657	1051
1658	1029
1659	914
1660	932
1661	894
1662	884
1663	843
1664	645
1665	732
1666	766
1667	734
1668	687
1669	695
1670	672
1671	696
1672	648
1673	738
1674	680
1675	702
1676	760
1677	813
1678	797
1679	729
1680	634
1681	692
1682	642
1683	638
1684	635
1685	584
1686	659
1687	617
1688	812
1689	1149
1690	1000
1691	993
1692	915
1693	990
1694	769
1695	795
1696	912
1697	978
1698	943
1699	869
1700	919
1701	1022
1702	966
1703	848
1704	689
1705	729
1706	583
1707	627
1708	627
1709	632
1710	840
1711	733
1712	904
1713	729
1714	749
1715	821
1716	919
1717	1182
1718	1065
1719	943
1720	1117
1721	1160
1722	1132
1723	905
1724	1011
1725	1050
1726	1081
1727	1048
1728	1080
1729	812
1730	860
1731	890
1732	946
1733	1017
1734	937
1735	927
1736	883
1737	951
1738	1034
1739	1070
1740	948
1741	1081
1742	956
1743	1024
1744	1015
1745	998
1746	1125
1747	1371
1748	1107
1749	1213
1750	1124
1751	955
1752	1079
1753	955
1754	941
1755	1074
1756	958
1757	934
1758	874
1759	1082
1760	985
1761	803
1762	1044
1763	969
1764	784
1765	975
1766	967
1767	852
1768	768
1769	821
1770	690
1771	947
1772	889
1773	902
1774	967
1775	904
1776	910
1777	930
1778	891
1779	847
1780	955
1781	1035
1782	961
1783	1160
1784	1305
1785	1319
1786	1103
1787	1143
1788	1182
1789	1144
1790	1040
1791	853
1792	1062
1793	932
1794	988
1795	1005
1796	1073
1797	1154
1798	1278
1799	1245
1800	1078
1801	1280
1802	1238
1803	995
1804	1060
1805	1027
1806	891
1807	961
1808	885
1809	966
1810	917
1811	1057
1812	1105
1813	963
1814	924
1815	926
1816	1026
1817	1090
1818	899
1819	1091
1820	1025
1821	957
1822	1106
1823	1071
1824	864
1825	990
1826	1011
1827	1065
1828	1145
1829	1196
1830	1138
1831	1158
1832	1004
1833	1135
1834	908
1835	1061
1836	799
1837	1043
1838	656
1839	676
1840	774
1841	843
1842	700
1843	726
1844	791
1845	596
1846	604
1847	542
1848	646
1849	681
1850	685
1851	530
1852	695
1853	674
1854	708
1855	705
1856	680
1857	718
1858	737
1859	858
1860	934
1861	836
1862	907
1863	790
1864	841
1865	668
1866	911
1867	943
1868	879
1869	863
1870	848
1871	818
1872	842
1873	949
1874	873
1875	926
1876	1005
1877	976
1878	799
1879	760
1880	734
1881	909
1882	804
1883	736
1884	883
1885	1061
1886	1034
1887	843
1888	805
1889	763
1890	667
1891	935
1892	1090
1893	941
1894	1130
1895	1079
1896	1026
1897	1149
1898	1114
1899	1107
1900	1179
1901	1165
1902	1173
1903	1175
1904	1042
1905	1134
1906	840
1907	1124
1908	935
1909	980
1910	1009
1911	1078
1912	1101
1913	887
1914	1048
1915	954
1916	941
1917	1022
1918	932
1919	707
1920	785
1921	824
1922	959
1923	989
1924	988
1925	889
1926	1068
1927	1244
1928	1267
1929	1268
1930	1157
1931	1172
1932	1304
1933	1215
1934	997
1935	1068
1936	1162
1937	1249
1938	1114
1939	1131
1940	1266
1941	1072
1942	1198
1943	1133
1944	1126
1945	1122
1946	1264
1947	1357
1948	1255
1949	1315
1950	1244
1951	1482
1952	1496
1953	1445
1954	1203
1955	1278
1956	1183
1957	1495
1958	1435
1959	1318
1960	1121
1961	1433
1962	1271
1963	1318
1964	1410
1965	1420
1966	1128
1967	1065
1968	1062
1969	1330
1970	1249
1971	1031
1972	1232
1973	1290
1974	1444
1975	1470
1976	1293
1977	1268
1978	1378
1979	1283
1980	1430
