# NAm-TR_58 - PAGES 2K co547 PIFL Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_58 - co547
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Graybill, D.A.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: co547
#	Location: North America
#	Country: ColoradoUSA
#	Northernmost_Latitude: 40.24
#	Southernmost_Latitude: 40.24
#	Easternmost_Longitude: -105.4
#	Westernmost_Longitude: -105.4
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_58
#	Earliest_Year: 1500.0
#	Most_Recent_Year: 1979.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"relationship":"Negative"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1200	-0.597957
1201	0.0315522
1202	-0.924725
1203	-0.737314
1204	-0.492238
1205	-0.670038
1206	-0.530681
1207	0.305461
1208	-0.309633
1209	-0.8142
1210	0.0411631
1211	0.0796064
1212	-0.746925
1213	-0.900698
1214	-0.641206
1215	-0.0693614
1216	-0.559514
1217	-1.60229
1218	-1.26111
1219	-1.02083
1220	-0.8142
1221	-0.275994
1222	0.651451
1223	0.545732
1224	0.151688
1225	-0.223135
1226	-0.448989
1227	0.569759
1228	-0.737314
1229	-1.00161
1230	-0.621984
1231	-0.0981939
1232	-0.708481
1233	-2.054
1234	-1.40527
1235	-1.21786
1236	-1.00161
1237	-1.18422
1238	-1.07369
1239	-0.746925
1240	-1.14097
1241	-1.2515
1242	-1.12655
1243	-0.722898
1244	-0.987196
1245	-0.448989
1246	0.257407
1247	-0.391325
1248	-0.665233
1249	-1.06889
1250	-1.12175
1251	-0.8142
1252	-0.237551
1253	0.343905
1254	0.199742
1255	0.468845
1256	0.488067
1257	0.699505
1258	-2.08283
1259	0.0315522
1260	0.675478
1261	0.459234
1262	-0.612373
1263	-0.0165018
1264	0.108439
1265	0.372736
1266	-0.0453343
1267	0.584175
1268	-0.218329
1269	0.627424
1270	2.28529
1271	2.15554
1272	2.18437
1273	2.22762
1274	1.86242
1275	1.86242
1276	1.73267
1277	1.88645
1278	1.05991
1279	1.80956
1280	0.214159
1281	0.190131
1282	0.97822
1283	0.58898
1284	0.536121
1285	0.142077
1286	1.37226
1287	-0.362492
1288	-0.0741669
1289	0.63223
1290	0.97822
1291	0.372736
1292	0.382347
1293	-0.444183
1294	-1.44852
1295	-0.487433
1296	-0.919919
1297	-1.20825
1298	-0.905504
1299	-1.46293
1300	-0.756536
1301	-0.862255
1302	-1.17461
1303	-0.977585
1304	-1.74645
1305	-1.03525
1306	-1.59268
1307	-0.963169
1308	-0.242356
1309	-0.617179
1310	-0.0549452
1311	0.170909
1312	-0.703677
1313	0.0844118
1314	0.627424
1315	-0.0165018
1316	-0.0357235
1317	0.449624
1318	-0.34327
1319	0.315072
1320	0.28624
1321	0.483261
1322	0.944581
1323	0.665867
1324	0.468845
1325	0.867695
1326	0.425596
1327	0.656257
1328	1.01666
1329	0.377542
1330	-1.33799
1331	0.507288
1332	1.38187
1333	-0.444183
1334	-1.17941
1335	-2.07321
1336	-2.31349
1337	-1.90983
1338	-2.00114
1339	-1.33799
