# NAm-TR_75 - PAGES 2K co617 -- alt. standardization PSME Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_75 - co617 -- alt. standardization
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Woodhouse, C.A.;Losleben, M.V.;Lukas, J.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: co617 -- alt. standardization
#	Location: North America
#	Country: ColoradoUSA
#	Northernmost_Latitude: 38.8
#	Southernmost_Latitude: 38.8
#	Easternmost_Longitude: -106.23
#	Westernmost_Longitude: -106.23
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_75
#	Earliest_Year: 1200.0
#	Most_Recent_Year: 1986.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"relationship":"Negative"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1200	0.159195
1201	1.18246
1202	0.530353
1203	0.231365
1204	-0.552189
1205	-0.00576335
1206	-0.165567
1207	-1.36925
1208	0.0457863
1209	0.744283
1210	1.30617
1211	1.55877
1212	0.306112
1213	1.1206
1214	-0.307329
1215	0.285492
1216	-1.63731
1217	-1.5007
1218	-0.585696
1219	0.159195
1220	0.589635
1221	-1.1347
1222	1.81652
1223	-0.211962
1224	-0.106285
1225	0.429831
1226	0.648917
1227	0.409211
1228	0.311267
1229	0.947904
1230	0.380859
1231	0.308689
1232	-0.242892
1233	-0.50064
1234	-0.779007
1235	0.288069
1236	-1.42338
1237	-0.498062
1238	-0.0856652
1239	-0.606316
1240	-1.71979
1241	-0.454245
1242	-0.0366931
1243	-0.619204
1244	-0.825402
1245	-0.946544
1246	-1.32286
1247	-1.88732
1248	-0.508372
1249	0.710776
1250	-0.590851
1251	-0.678486
1252	0.277759
1253	1.97632
1254	-1.37441
1255	2.41449
1256	1.12833
1257	1.06131
1258	-1.71206
1259	0.525198
1260	1.10771
1261	-0.11144
1262	0.460761
1263	1.34226
1264	0.489113
1265	0.973679
1266	0.355084
1267	-0.278976
1268	2.03302
1269	0.965947
1270	-1.27904
1271	0.57417
1272	1.85518
1273	-1.33317
1274	0.112801
1275	2.04076
1276	-0.683641
1277	-0.992938
1278	-1.24295
1279	-1.4208
1280	-0.779007
1281	-2.11156
1282	-0.00318587
1283	0.373126
1284	-0.436203
1285	-1.53163
1286	0.945327
1287	-0.413005
1288	1.81909
1289	-1.48524
1290	0.0354763
1291	-1.37441
1292	-0.521259
1293	-0.72488
1294	-0.644978
1295	-0.907881
1296	-0.114018
1297	-0.0212282
1298	1.29586
1299	1.24689
1300	1.41958
1301	1.66702
1302	0.648917
1303	-1.00325
1304	-0.505795
1305	0.360239
1306	0.453028
1307	-0.928501
1308	0.26745
1309	1.85775
1310	3.12845
1311	-0.433625
1312	-1.10119
1313	1.98405
1314	1.88868
1315	0.777791
1316	0.960792
1317	-0.294441
1318	0.447873
1319	0.396324
1320	-0.343413
1321	0.442718
1322	-1.08831
1323	-0.48002
1324	0.904087
1325	1.31648
1326	-0.0495805
1327	-0.227427
1328	0.18497
1329	0.123111
1330	1.06905
1331	0.718509
1332	0.455606
1333	0.842228
1334	0.373126
1335	1.20307
1336	-1.45688
1337	1.55877
1338	1.234
1339	0.00970153
1340	0.623142
1341	0.00712405
1342	-1.37956
1343	-0.0856652
1344	-0.124327
1345	-0.230004
1346	0.138576
1347	-1.59607
1348	0.360239
1349	0.548395
1350	-0.0959752
1351	-0.0624679
1352	-1.08315
1353	0.929862
1354	1.26751
1355	-0.48002
1356	0.00454657
1357	-0.181032
1358	1.51495
1359	0.169505
1360	-1.13212
1361	-0.650133
1362	0.156618
1363	-1.05995
1364	-1.94145
1365	1.41958
1366	0.447873
1367	-0.882107
1368	0.316422
1369	-0.668176
1370	0.0741385
1371	0.8912
1372	1.61032
1373	0.656649
1374	0.442718
1375	-1.62184
1376	-1.627
1377	1.77785
1378	-0.742923
1379	1.71342
1380	0.661804
1381	0.17466
1382	1.06389
1383	1.75981
1384	1.31391
1385	1.61805
1386	1.93508
1387	1.55619
1388	1.47371
1389	-0.727458
1390	-1.15274
1391	-0.0805103
1392	0.633452
1393	-0.570232
1394	0.906665
1395	0.648917
1396	0.721086
1397	1.14379
1398	-0.608894
1399	-2.25075
1400	-0.248046
1401	-0.562499
1402	-0.851177
1403	-0.70426
1404	0.251985
1405	-0.711993
1406	1.34226
1407	0.0432088
1408	-0.771275
1409	0.20559
1410	0.0406313
1411	-0.263511
1412	0.277759
1413	-0.972318
1414	0.49169
1415	-1.0084
1416	-0.49033
1417	-0.420738
1418	0.914397
1419	-0.242892
1420	-0.309906
1421	-0.820247
1422	-0.742923
1423	-0.614049
1424	-0.224849
1425	0.49169
1426	0.795833
1427	-0.379498
1428	0.360239
1429	-1.45173
1430	-0.155257
1431	-1.9131
1432	0.396324
1433	-1.39503
1434	0.942749
1435	0.816453
1436	0.599944
1437	0.0664061
1438	-1.19656
1439	-0.789317
1440	-0.108863
1441	-0.559922
1442	-1.16821
1443	0.0844485
1444	0.0870259
1445	-1.59091
1446	-0.606316
1447	-0.0134958
1448	-0.14237
1449	-1.35636
1450	-0.0289607
1451	-0.0856652
1452	0.151463
1453	-0.799627
1454	-0.461977
1455	-1.6837
1456	0.463338
1457	-1.65277
1458	0.0947584
1459	-1.06253
1460	-0.222272
1461	0.244252
1462	0.91182
1463	-0.436203
1464	-1.38214
1465	0.120533
1466	-0.943966
1467	-0.454245
1468	0.0303214
1469	-1.68113
1470	0.494268
1471	-1.69144
1472	-0.71457
1473	0.213322
1474	-0.0263832
1475	-2.18631
1476	0.659227
1477	-0.784162
1478	0.623142
1479	-0.13206
1480	-1.54452
1481	-0.969741
1482	-0.253201
1483	-0.951699
1484	1.11029
1485	0.821608
1486	1.19534
1487	0.764903
1488	0.26745
1489	0.117956
1490	0.321577
1491	1.26236
1492	0.904087
1493	-1.55998
1494	0.744283
1495	-1.06769
1496	-1.26357
1497	0.92213
1498	1.21854
1499	0.483958
1500	-0.539302
1501	-0.902726
1502	-1.232640
1503	-1.333170
1504	-1.578030
1505	-0.369188
1506	-2.181160
1507	0.862847
1508	-0.588274
1509	-0.480020
1510	0.795833
1511	0.947904
1512	-0.206807
1513	1.094820
1514	0.576747
1515	-1.075420
1516	1.540720
1517	1.069050
1518	1.056160
1519	2.272730
1520	2.357790
1521	3.579510
1522	-1.356360
1523	1.169570
1524	-1.621840
1525	-0.175877
1526	1.053580
1527	1.551030
1528	-0.443935
1529	1.491750
1530	0.293224
1531	-0.565077
1532	-0.034116
1533	-0.763543
1534	-0.438780
1535	0.334464
1536	0.654072
1537	0.473648
1538	-1.420800
1539	0.911820
1540	0.749438
1541	1.081930
1542	0.398901
1543	-0.861487
1544	-0.304751
1545	-1.047070
1546	0.367971
1547	0.045786
1548	1.721150
1549	1.038120
1550	1.532990
1551	0.749438
1552	-1.224910
1553	1.069050
1554	0.978834
1555	1.692800
1556	2.107770
1557	1.208230
1558	-1.078000
1559	-0.376920
1560	-0.722303
1561	-0.415583
1562	0.674691
1563	-0.572809
1564	0.520043
1565	0.329309
1566	-0.771275
1567	-0.278976
1568	1.342260
1569	1.672180
1570	1.187610
1571	0.130843
1572	0.935017
1573	-1.402760
1574	-0.583119
1575	1.267510
1576	-1.201710
1577	-0.255779
1578	0.365394
1579	-0.224849
1580	-0.178455
1581	-0.724880
1582	-1.456880
1583	-1.242950
1584	-1.505860
1585	-1.742980
1586	-0.266089
1587	-0.846022
1588	0.190125
1589	-0.297019
1590	-0.675908
1591	-0.730035
1592	-0.526414
1593	-0.799627
1594	0.612832
1595	0.855115
1596	0.597367
1597	0.483958
1598	-1.941450
1599	-0.065045
1600	0.079294
1601	0.370549
1602	0.978834
1603	0.942749
1604	0.989144
1605	0.880890
1606	-0.431048
1607	-0.910459
1608	-0.773852
1609	-0.887262
1610	0.032899
1611	-0.748078
1612	-0.794472
1613	-0.369188
1614	-0.302174
1615	0.690156
1616	-0.972318
1617	1.004610
1618	0.978834
1619	1.556190
1620	0.316422
1621	0.478803
1622	-0.436203
1623	-1.737830
1624	-0.812515
1625	-2.204350
1626	-0.962008
1627	-1.456880
1628	-0.464555
1629	-1.366670
1630	1.012340
1631	-1.021290
1632	-1.242950
1633	-0.557344
1634	0.200435
1635	0.617987
1636	1.071620
1637	0.744283
1638	0.744283
1639	1.821670
1640	1.947970
1641	-0.562499
1642	-0.758388
1643	0.007124
1644	0.545817
1645	-2.016200
1646	0.123111
1647	0.154040
1648	-1.330590
1649	-0.160412
1650	-0.431048
1651	0.543240
1652	-0.670753
1653	-0.335681
1654	-1.338320
1655	1.380920
1656	0.502000
1657	1.174720
1658	-0.528992
1659	-1.088310
1660	0.636029
1661	1.161840
1662	0.236520
1663	0.308689
