# NAm-TR_78 - PAGES 2K id010 PIAL Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_78 - id010
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Perkins, D. L. and Swetnam, T.W. 1996. A dendroecological assessment of whitebark pine in the Sawtooth - Salmon River region, Idaho. Canadian Journal of Forest Research. 26:2123-2133.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: id010
#	Location: North America
#	Country: Idaho USA
#	Northernmost_Latitude: 43.58
#	Southernmost_Latitude: 43.58
#	Easternmost_Longitude: -114.58
#	Westernmost_Longitude: -114.58
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_78
#	Earliest_Year: 1200.0
#	Most_Recent_Year: 1986.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"relationship":"Negative"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1200	-4.21449
1201	-1.01578
1202	-0.856141
1203	-0.0579404
1204	0.1017
1205	-0.312182
1206	-2.00318
1207	-2.64174
1208	-0.0283775
1209	-1.15177
1210	-1.77259
1211	1.02998
1212	1.41429
1213	0.26134
1214	-0.288531
1215	-1.45331
1216	1.44977
1217	-0.146629
1218	0.137175
1219	-0.643287
1220	-0.158455
1221	0.166738
1222	3.05208
1223	4.25825
1224	3.74977
1225	-0.731977
1226	1.40246
1227	2.79193
1228	2.93975
1229	1.69218
1230	1.1364
1231	2.98704
1232	0.76391
1233	2.1711
1234	-0.661025
1235	2.21841
1236	1.02998
1237	2.12381
1238	2.21841
1239	1.30786
1240	0.8999
1241	0.929462
1242	-1.76669
1243	1.54437
1244	-0.282619
1245	-1.63661
1246	1.10093
1247	1.49708
1248	1.1364
1249	-0.489559
1250	-0.737889
1251	-0.773365
1252	-1.42966
1253	-1.02169
1254	-0.530948
1255	-0.211668
1256	-0.51321
1257	1.1837
1258	-0.300356
1259	0.0662241
1260	1.26057
1261	1.34925
1262	0.852599
1263	0.415067
1264	2.34257
1265	0.893988
1266	0.255427
1267	1.2724
1268	-0.619637
1269	1.50298
1270	1.84592
1271	0.415067
1272	1.95825
1273	1.25466
1274	1.62124
1275	-0.0342901
1276	2.05877
1277	1.10093
1278	0.373679
1279	0.403242
1280	1.91096
1281	-0.619637
1282	1.30786
1283	1.12458
1284	1.01815
1285	2.31892
1286	2.29528
1287	2.19476
1288	1.41429
1289	0.143088
1290	0.580619
1291	1.4675
1292	0.734347
1293	0.184476
1294	1.81044
1295	1.45568
1296	-0.188018
1297	0.60427
1298	1.81636
1299	0.0603114
1300	-0.164367
1301	0.781647
1302	1.367
1303	1.07137
1304	0.0130107
1305	-0.501384
1306	1.6981
1307	-0.205755
1308	2.08833
1309	1.97008
1310	0.8999
1311	1.08319
1312	-0.607811
1313	2.18885
1314	0.474192
1315	1.37882
1316	1.19553
1317	0.645658
1318	0.409155
1319	0.586533
1320	-0.182105
1321	0.0366611
1322	0.562882
1323	1.76314
1324	0.160825
1325	0.787561
1326	0.917637
1327	1.75722
1328	2.34849
1329	2.00556
1330	-1.23455
1331	0.616095
1332	0.633833
1333	1.85182
1334	0.486018
1335	-1.78442
1336	-0.980305
1337	0.0130107
1338	0.497843
1339	-0.0224648
1340	0.823035
1341	1.12458
1342	-1.32324
1343	-1.00396
1344	-0.731977
1345	0.361854
1346	0.728434
1347	0.710697
1348	-1.34097
1349	-0.341744
1350	-1.77259
1351	0.0484862
1352	0.190388
1353	-0.51321
