# NAm-TR_81 - PAGES 2K la001 TADI Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_81 - la001
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Stahle, D.W.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: la001
#	Location: North America
#	Country: Louisiana USA
#	Northernmost_Latitude: 32.15
#	Southernmost_Latitude: 32.15
#	Easternmost_Longitude: -92.58
#	Westernmost_Longitude: -92.58
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_81
#	Earliest_Year: 1200.0
#	Most_Recent_Year: 1986.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"relationship":"Negative"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1200	-0.530742
1201	-0.875825
1202	-0.522525
1203	-1.00455
1204	-0.325335
1205	-0.199352
1206	-0.736147
1207	-0.894995
1208	-0.716977
1209	-0.626598
1210	-0.760796
1211	-1.26199
1212	0.0334419
1213	0.186812
1214	-0.218524
1215	-1.23187
1216	-1.38249
1217	-1.25377
1218	0.0800007
1219	0.994745
1220	0.879717
1221	0.110127
1222	-0.0541983
1223	-0.448579
1224	-1.1716
1225	-1.20995
1226	-0.733409
1227	0.0526132
1228	1.24123
1229	0.000576861
1230	-0.202091
1231	-0.812833
1232	-1.07849
1233	-1.2346
1234	-1.38523
1235	0.17038
1236	-1.05658
1237	-0.286992
1238	-0.465011
1239	0.260758
1240	-1.10588
1241	-1.19625
1242	-0.150054
1243	0.268975
1244	0.581192
1245	-0.251389
1246	-0.678634
1247	-0.574561
1248	-0.265082
1249	-0.629336
1250	-0.254127
1251	-0.506093
1252	0.0526132
1253	1.17824
1254	-0.284253
1255	-0.0268107
1256	-0.790923
1257	-0.812833
1258	-0.541697
1259	0.0279644
1260	0.635968
1261	-0.289731
1262	-0.339029
1263	-0.0733695
1264	0.605841
1265	1.55618
1266	1.19193
1267	3.23231
1268	2.28195
1269	-1.31677
1270	0.797554
1271	0.123821
1272	-0.404759
1273	0.775644
1274	0.19229
1275	-0.163748
1276	-1.63446
1277	-0.434885
1278	0.520941
1279	-0.0295494
1280	-0.193875
1281	-0.418452
1282	-0.319857
1283	-0.569084
1284	-0.716977
1285	-0.150054
1286	-0.270559
1287	-0.749841
1288	-0.763535
1289	-0.837482
1290	0.912582
1291	-1.42358
1292	-0.623859
1293	-1.63446
1294	-1.73306
1295	-0.396543
1296	-0.541697
1297	-1.22638
1298	-0.51157
1299	-0.799139
1300	0.140253
1301	-0.804617
1302	0.926276
1303	0.334705
1304	0.638707
1305	-0.404759
1306	1.03856
1307	-0.922383
1308	-0.848437
1309	-0.48966
1310	-0.867609
1311	-1.02645
1312	-1.42632
1313	-1.2209
1314	0.0882169
1315	-0.119928
1316	-0.0569369
1317	-0.303425
1318	-0.0596757
1319	0.824942
1320	-0.130883
1321	2.1861
1322	0.723608
1323	2.29839
1324	1.75337
1325	1.03856
1326	3.18849
1327	2.64073
1328	2.43533
1329	-0.0815862
1330	-0.415713
1331	-0.00216191
1332	0.734563
1333	0.688005
1334	1.00844
1335	0.468904
1336	-0.407498
1337	-0.695067
1338	-0.193875
1339	-0.369155
1340	-1.30033
1341	-0.727932
1342	0.41139
1343	0.633229
1344	0.619535
1345	-0.0651533
1346	-0.73067
1347	-0.922383
1348	1.27683
1349	0.296362
1350	0.652401
1351	-0.229479
1352	-0.73067
1353	0.0800007
1354	-0.128144
1355	0.959141
1356	1.06869
1357	2.07929
1358	1.30971
1359	1.43021
1360	-0.7115
1361	-0.00490068
1362	0.488075
1363	-0.270559
1364	-0.492399
1365	-0.725193
1366	-1.1853
1367	-0.916905
1368	-0.432146
1369	-1.97954
1370	-1.1004
1371	-0.656724
1372	-0.640292
1373	1.64931
1374	-0.92786
1375	-0.758058
1376	-1.12232
1377	-0.585516
1378	-1.39344
1379	-1.49478
1380	-0.0815862
1381	0.501769
1382	-0.528003
1383	-0.517048
1384	-0.497876
1385	0.238848
1386	-0.243173
1387	-0.215785
1388	0.698959
1389	1.71504
1390	0.392218
1391	1.53155
1392	1.36996
1393	2.01904
1394	2.63526
1395	1.21658
1396	1.16728
1397	1.10155
1398	1.29053
1399	0.277191
1400	-0.0980178
1401	-0.560868
1402	-0.273298
1403	0.0279644
1404	0.63049
1405	-0.0432432
1406	-0.391065
1407	-0.377371
1408	0.575715
1409	0.720869
1410	0.384002
1411	0.904365
1412	0.159425
1413	0.93997
1414	1.98618
1415	0.441516
1416	-0.152793
1417	1.11525
1418	0.578454
1419	0.162163
1420	0.364832
1421	-0.582777
1422	0.56476
1423	0.0389195
1424	-0.0131169
1425	-0.42393
1426	1.21658
1427	-0.410237
1428	1.55618
1429	2.11215
1430	0.493553
1431	-0.0322882
1432	1.6274
1433	0.200506
1434	-0.881302
1435	-0.7115
1436	-0.508831
1437	0.594886
1438	1.83829
1439	1.78351
1440	1.46581
1441	-0.580039
1442	-0.662202
1443	-0.407498
1444	-1.807
1445	-1.12232
1446	-2.03158
1447	-1.83439
1448	-0.122667
1449	-0.478705
1450	-1.03741
1451	0.644184
1452	0.0909557
1453	0.622274
1454	-0.829266
1455	-1.71115
1456	-1.25377
1457	-1.68102
1458	-2.48895
1459	-1.18804
