# NAm-TR_86 - PAGES 2K mt110 PSME Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_86 - mt110
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: King, J.C.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: mt110
#	Location: North America
#	Country: Montana USA
#	Northernmost_Latitude: 45.3
#	Southernmost_Latitude: 45.3
#	Easternmost_Longitude: -111.33
#	Westernmost_Longitude: -111.33
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_86
#	Earliest_Year: 1200.0
#	Most_Recent_Year: 1986.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"relationship":"Negative"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1200	-0.572634
1201	0.378476
1202	-0.631083
1203	-2.18262
1204	-0.636396
1205	-1.22088
1206	-1.17306
1207	-0.684217
1208	-0.976458
1209	-0.716098
1210	-0.439797
1211	2.68453
1212	-0.450425
1213	0.325342
1214	-0.806427
1215	0.139371
1216	-0.179438
1217	0.351909
1218	-0.402604
1219	-0.338841
1220	0.261581
1221	1.04797
1222	-0.572634
1223	-2.18262
1224	-0.854249
1225	-0.370722
1226	-1.34309
1227	0.160625
1228	-0.7958
1229	-0.997712
1230	0.52194
1231	-0.981772
1232	-1.04553
1233	-1.52906
1234	-0.237886
1235	-0.0678547
1236	-0.174124
1237	-1.8213
1238	-0.572634
1239	1.11173
1240	0.468806
1241	-0.0891085
1242	2.56232
1243	0.0277873
1244	-0.349469
1245	0.713226
1246	0.017161
1247	-0.524814
1248	1.02672
1249	0.532567
1250	1.25521
1251	0.203132
1252	2.08941
1253	0.36785
1254	-0.455738
1255	-0.376035
1256	2.06816
1257	0.426298
1258	0.66009
1259	1.79186
1260	2.96613
1261	1.18081
1262	-1.51844
1263	-0.843621
1264	-1.47592
1265	-0.115676
1266	1.56869
1267	1.44648
1268	1.27114
1269	0.771674
1270	-0.301647
1271	0.691972
1272	-0.0466004
1273	-0.923323
1274	-0.423858
1275	0.851375
1276	0.0543556
1277	0.420984
1278	-1.23682
1279	-0.179438
1280	-0.758606
1281	2.5995
1282	6.30831
1283	0.420984
1284	0.506
1285	1.74935
1286	1.21269
1287	0.994839
1288	-0.168811
1289	0.256266
1290	-0.631083
1291	0.516627
1292	-0.636396
1293	0.394417
1294	0.638837
1295	0.665404
1296	-0.476991
1297	1.39867
1298	0.702598
1299	1.28707
1300	0.553821
1301	-0.806427
1302	0.341283
1303	0.681344
1304	-1.80536
1305	-0.758606
1306	-1.11992
1307	-1.55032
1308	0.532567
1309	-0.115676
1310	0.479432
1311	-0.38135
1312	-0.902069
1313	-0.476991
1314	-0.00409279
1315	-0.227259
1316	0.176565
1317	-0.67359
1318	0.293461
1319	1.39335
1320	0.66009
1321	0.527254
1322	0.978899
1323	-1.14118
1324	-2.57581
1325	1.14361
1326	1.08517
1327	-0.27508
1328	0.915138
1329	1.40398
1330	-0.0359742
1331	1.52088
1332	2.67921
1333	2.01503
1334	0.0862357
1335	1.98315
1336	1.20206
1337	0.867316
1338	0.787613
1339	1.133
1340	0.442239
1341	-0.376035
