# NAm-TR_90 - PAGES 2K mt114 PSME Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_90 - mt114
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Graumlich, L.J., Pisaric, M. F. J., Waggoner, L. A, Littell, J., and King, J. 2003. Upper Yellowstone River Flow and Teleconnections with Pacific Basin Climate Variability During the Past Three Centuries. Climatic Change 59(1-2): 245-264  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: mt114
#	Location: North America
#	Country: Montana USA
#	Northernmost_Latitude: 45.3
#	Southernmost_Latitude: 45.3
#	Easternmost_Longitude: -111.32
#	Westernmost_Longitude: -111.32
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_90
#	Earliest_Year: 1500.0
#	Most_Recent_Year: 1979.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"relationship":"Negative"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##clim_signal	PSME, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	clim_signal
1500.0	764.0
1501.0	883.0
1502.0	918.0
1503.0	1140.0
1504.0	868.0
1505.0	718.0
1506.0	1047.0
1507.0	1085.0
1508.0	964.0
1509.0	1151.0
1510.0	1165.0
1511.0	1215.0
1512.0	1171.0
1513.0	952.0
1514.0	1113.0
1515.0	1110.0
1516.0	1325.0
1517.0	1337.0
1518.0	1309.0
1519.0	983.0
1520.0	1166.0
1521.0	1328.0
1522.0	1145.0
1523.0	1196.0
1524.0	1115.0
1525.0	1407.0
1526.0	1211.0
1527.0	1371.0
1528.0	1380.0
1529.0	1350.0
1530.0	1076.0
1531.0	1236.0
1532.0	995.0
1533.0	937.0
1534.0	750.0
1535.0	976.0
1536.0	703.0
1537.0	818.0
1538.0	615.0
1539.0	788.0
1540.0	788.0
1541.0	624.0
1542.0	807.0
1543.0	737.0
1544.0	742.0
1545.0	1025.0
1546.0	965.0
1547.0	962.0
1548.0	1124.0
1549.0	1014.0
1550.0	1025.0
1551.0	979.0
1552.0	1290.0
1553.0	1427.0
1554.0	1265.0
1555.0	1731.0
1556.0	1493.0
1557.0	1558.0
1558.0	1559.0
1559.0	1138.0
1560.0	1141.0
1561.0	1015.0
1562.0	1124.0
1563.0	1132.0
1564.0	1330.0
1565.0	1141.0
1566.0	1315.0
1567.0	1152.0
1568.0	1235.0
1569.0	1119.0
1570.0	1136.0
1571.0	1076.0
1572.0	1114.0
1573.0	1216.0
1574.0	1109.0
1575.0	1080.0
1576.0	1019.0
1577.0	1230.0
1578.0	844.0
1579.0	1199.0
1580.0	1107.0
1581.0	738.0
1582.0	772.0
1583.0	1128.0
1584.0	1069.0
1585.0	1009.0
1586.0	971.0
1587.0	861.0
1588.0	1012.0
1589.0	953.0
1590.0	792.0
1591.0	1124.0
1592.0	874.0
1593.0	823.0
1594.0	798.0
1595.0	937.0
1596.0	994.0
1597.0	1153.0
1598.0	1201.0
1599.0	877.0
1600.0	921.0
1601.0	996.0
1602.0	918.0
1603.0	1042.0
1604.0	746.0
1605.0	847.0
1606.0	964.0
1607.0	867.0
1608.0	1079.0
1609.0	1182.0
1610.0	913.0
1611.0	1282.0
1612.0	956.0
1613.0	873.0
1614.0	1172.0
1615.0	908.0
1616.0	1080.0
1617.0	1320.0
1618.0	829.0
1619.0	1426.0
1620.0	958.0
1621.0	1185.0
1622.0	1101.0
1623.0	1188.0
1624.0	973.0
1625.0	1020.0
1626.0	919.0
1627.0	632.0
1628.0	909.0
1629.0	936.0
1630.0	763.0
1631.0	1025.0
1632.0	775.0
1633.0	927.0
1634.0	1186.0
1635.0	926.0
