# NAm-TR_95 - PAGES 2K mt112 -- alt. standardization PIFL Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: NAm-TR_95 - mt112 -- alt. standardization
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: King, J.C.;Waggoner, L.;Graumlich, L.J.  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: mt112 -- alt. standardization
#	Location: North America
#	Country: Montana USA
#	Northernmost_Latitude: 45.3
#	Southernmost_Latitude: 45.3
#	Easternmost_Longitude: -111.32
#	Westernmost_Longitude: -111.32
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: NAm-TR_95
#	Earliest_Year: 1200.0
#	Most_Recent_Year: 1986.0
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"relationship":"Negative"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##TRW	total ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	TRW
1200	-1.69302
1201	0.898489
1202	-0.142959
1203	0.214282
1204	-0.766617
1205	-0.875606
1206	-0.94221
1207	-0.360937
1208	-1.37211
1209	-0.960375
1210	-1.29945
1211	1.35866
1212	0.735006
1213	0.922709
1214	-0.354882
1215	-1.4145
1216	-1.15413
1217	-0.766617
1218	-0.578914
1219	-1.00276
1220	-1.5477
1221	-2.51044
1222	-1.28734
1223	-1.69302
1224	-1.02092
1225	-1.54165
1226	-2.80713
1227	-1.06936
1228	-1.31762
1229	-1.90494
1230	-1.06331
1231	-0.754508
1232	-1.49321
1233	-1.25101
1234	-0.930101
1235	-0.778727
1236	0.202172
1237	-1.00881
1238	-0.645519
1239	0.129513
1240	-0.360937
1241	-1.24496
1242	0.0265787
1243	-0.445706
1244	-0.851386
1245	-0.863496
1246	-0.506255
1247	-0.663684
1248	-0.276168
1249	-0.663684
1250	0.202172
1251	0.220337
1252	0.480699
1253	-0.0824101
1254	-0.609189
1255	-1.03303
1256	-0.0279157
1257	-0.112685
1258	-0.318552
1259	0.583632
1260	0.220337
1261	-0.0460805
1262	-0.415431
1263	0.220337
1264	-0.203509
1265	-1.16624
1266	-0.97854
1267	-0.439651
1268	-0.0521354
1269	-0.0703002
1270	-0.924046
1271	-0.875606
1272	-0.0945199
1273	-0.597079
1274	0.262721
1275	-0.294333
1276	0.153732
1277	-0.354882
1278	-0.639464
1279	0.305106
1280	-0.591024
1281	-1.53559
1282	0.171897
1283	0.153732
1284	-0.724233
1285	0.644182
1286	0.559413
1287	-0.451761
1288	-1.37211
1289	-1.19046
1290	-1.59614
1291	-0.439651
1292	-1.48715
1293	-0.97854
1294	-0.475981
1295	-0.0218608
1296	0.0386886
1297	-0.415431
1298	-0.0642453
1299	-0.724233
1300	-0.215619
1301	-1.62642
1302	-0.427541
1303	-0.917991
1304	-1.22074
1305	-1.40239
1306	-0.984595
1307	-1.08147
1308	0.456479
1309	1.04381
1310	0.492808
1311	1.01353
1312	0.0750181
1313	1.286
1314	2.06709
1315	1.08014
1316	0.868214
1317	0.401984
1318	-0.0581904
1319	0.892434
1320	0.886379
1321	0.0568534
1322	0.910599
1323	0.31116
1324	-0.554695
1325	1.43738
1326	0.34749
1327	0.892434
1328	2.45461
1329	2.47277
1330	-2.23797
1331	0.819775
1332	0.523083
1333	-0.379102
1334	-1.68091
1335	-1.39633
1336	-1.89283
1337	-0.742398
1338	-0.917991
1339	-0.584969
1340	-0.421486
1341	-1.25707
1342	-1.44477
1343	-0.718178
1344	-1.37817
1345	-0.911936
1346	-0.936155
1347	-0.251948
1348	-1.51137
1349	-0.633409
1350	-1.35395
1351	-0.742398
1352	0.184007
1353	0.244556
1354	-0.633409
1355	0.438314
1356	0.716841
1357	-0.857441
1358	0.377765
1359	0.0992379
1360	-0.0824101
1361	0.492808
1362	0.529138
1363	0.34749
1364	1.11647
1365	0.523083
1366	0.680511
1367	-0.155069
1368	2.52121
1369	0.619962
1370	0.946928
1371	0.117403
1372	0.135567
1373	-0.258003
1374	0.353545
1375	-0.784782
1376	-0.136904
1377	0.450424
1378	0.414094
1379	-0.155069
1380	0.480699
1381	0.783445
1382	-0.270113
1383	-0.621299
1384	0.226391
1385	0.577577
1386	0.147677
1387	0.716841
1388	0.329325
1389	0.983258
1390	-0.155069
1391	1.55242
1392	0.414094
1393	0.111348
1394	1.41316
1395	0.946928
1396	0.607852
1397	1.04381
1398	0.165842
1399	-0.421486
1400	1.96416
1401	0.492808
1402	0.843994
1403	1.41316
1404	1.54637
1405	0.341435
1406	2.23057
1407	2.60598
1408	-0.373047
1409	1.58875
1410	1.32233
1411	1.91572
1412	2.11553
1413	1.3405
1414	-0.233783
1415	0.862159
1416	0.971148
1417	-1.46899
1418	0.952983
1419	1.75829
1420	0.7895
1421	0.480699
